Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1997-01-01,GAIL,23.8,38.0,22.76,24.85,65130500,956725,Wednesday,False,,,False
1998-01-01,GAIL,24.66,27.0,13.41,17.05,26283500,1645325,Thursday,True,-7.800000000000001,-31.39,False
1999-01-01,GAIL,16.4,21.3,10.76,13.56,145436215,630608,Friday,False,-3.49,-20.47,False
2000-01-01,GAIL,12.19,16.03,6.48,9.85,45976715,679209,Saturday,True,-3.710000000000001,-27.36,False
2001-01-01,GAIL,10.02,13.13,8.06,11.86,40732076,503850,Monday,False,2.01,20.41,True
2002-01-01,GAIL,11.97,18.0,10.36,13.17,340934746,4454693,Tuesday,True,1.3100000000000005,11.05,True
2003-01-01,GAIL,13.26,50.8,12.75,48.76,2084024434,2163321600,Wednesday,False,35.589999999999996,270.24,True
2004-01-01,GAIL,49.31,58.5,18.98,43.31,5773554936,78999688,Thursday,True,-5.449999999999996,-11.18,False
2005-01-01,GAIL,43.7,53.89,37.22,49.88,1673903663,202190320,Saturday,False,6.57,15.17,True
2006-01-01,GAIL,49.88,61.07,38.46,49.03,1342475754,64030628,Sunday,True,-0.8500000000000014,-1.7,False
2007-01-01,GAIL,49.63,103.47,47.07,101.93,1390365194,618676544,Monday,False,52.900000000000006,107.89,True
2008-01-01,GAIL,100.51,104.16,46.27,58.01,1847480059,292638240,Tuesday,True,-43.92000000000001,-43.09,False
2009-01-01,GAIL,58.64,123.37,52.31,116.24,1738258818,303665952,Thursday,False,58.23,100.38,True
2010-01-01,GAIL,116.16,146.32,107.58,144.18,1332992103,402202656,Friday,True,27.940000000000012,24.04,True
2011-01-01,GAIL,144.01,151.24,102.71,107.9,907242392,383580160,Saturday,False,-36.28,-25.16,False
2012-01-01,GAIL,108.0,112.74,84.94,100.34,965539217,295714368,Sunday,True,-7.560000000000002,-7.01,False
2013-01-01,GAIL,100.97,111.33,76.56,96.27,959037639,202643984,Tuesday,False,-4.070000000000007,-4.06,False
2014-01-01,GAIL,96.75,155.22,93.46,125.1,1294903422,534197664,Wednesday,True,28.83,29.95,True
2015-01-01,GAIL,124.59,126.8,73.14,105.5,1225934265,1265278720,Thursday,False,-19.599999999999994,-15.67,False
2016-01-01,GAIL,105.4,128.25,81.65,123.53,1538791539,1227973376,Friday,True,18.03,17.09,True
2017-01-01,GAIL,123.75,194.81,122.06,187.37,2547358120,1950697472,Sunday,False,63.84,51.68,True
2018-01-01,GAIL,188.55,199.7,147.63,180.15,2289137291,958364096,Monday,True,-7.219999999999999,-3.85,False
2019-01-01,GAIL,179.5,183.25,110.45,121.05,2328382587,1635251328,Tuesday,False,-59.10000000000001,-32.81,False
2020-01-01,GAIL,121.4,133.35,65.0,123.25,4230644147,1457998720,Wednesday,True,2.200000000000003,1.82,True
2021-01-01,GAIL,123.9,171.3,122.55,129.2,4246866864,537552640,Friday,False,5.949999999999989,4.83,True
2022-01-01,GAIL,129.5,164.0,83.0,96.05,5029473160,0,Saturday,True,-33.14999999999999,-25.66,False
2023-01-01,GAIL,96.5,112.8,91.05,107.3,1146889540,0,Sunday,False,11.25,11.71,True
