Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2000-02-07,GLENMARK,32.5,75.0,24.95,24.95,17109000,79565552,Monday,,,False,False,,,False,True,,,False,True,,,False
2000-02-14,GLENMARK,23.0,23.87,19.43,21.21,9376000,70722472,Monday,,,False,False,-3.7399999999999984,-14.99,False,True,,,False,True,,,False
2000-02-21,GLENMARK,21.5,21.5,16.98,17.3,5778000,8458478,Monday,,,False,False,-3.91,-18.43,False,True,,,False,True,,,False
2000-02-28,GLENMARK,16.51,17.35,12.96,13.39,5664000,21494962,Monday,,,False,False,-3.91,-22.6,False,True,,,False,True,,,False
2000-03-06,GLENMARK,13.53,14.9,12.38,12.95,5276000,5360266,Monday,1,,False,False,-0.4400000000000013,-3.29,False,False,-2.119999999999999,-14.05,False,True,,,False
2000-03-13,GLENMARK,13.25,14.46,11.81,13.88,3189000,10378500,Monday,2,,True,False,0.9300000000000015,7.18,True,False,-2.119999999999999,-14.05,False,True,,,False
2000-03-20,GLENMARK,13.78,14.65,12.81,13.99,2057000,6027536,Monday,3,,False,False,0.10999999999999943,0.79,True,False,-2.119999999999999,-14.05,False,True,,,False
2000-03-27,GLENMARK,13.7,14.0,12.6,12.97,1714000,3526480,Monday,4,,True,False,-1.0199999999999996,-7.29,False,False,-2.119999999999999,-14.05,False,True,,,False
2000-04-03,GLENMARK,13.25,13.25,11.53,12.93,2403000,7371525,Monday,1,,False,False,-0.040000000000000924,-0.31,False,True,0.879999999999999,6.78,True,True,,,False
2000-04-10,GLENMARK,13.0,13.85,12.01,12.95,2284000,7147021,Monday,2,,True,False,0.019999999999999574,0.15,True,True,0.879999999999999,6.78,True,True,,,False
2000-04-17,GLENMARK,12.81,13.1,12.0,13.0,2530000,8396385,Monday,3,,False,False,0.05000000000000071,0.39,True,True,0.879999999999999,6.78,True,True,,,False
2000-04-24,GLENMARK,12.9,15.66,12.06,13.85,2549000,8325352,Monday,4,,True,False,0.8499999999999996,6.54,True,True,0.879999999999999,6.78,True,True,,,False
2000-05-01,GLENMARK,13.6,15.25,12.15,15.15,1897000,10440072,Monday,1,,False,False,1.3000000000000007,9.39,True,False,0.7400000000000002,5.34,True,True,,,False
2000-05-08,GLENMARK,14.8,15.45,13.41,13.67,1430000,2091510,Monday,2,,True,False,-1.4800000000000004,-9.77,False,False,0.7400000000000002,5.34,True,True,,,False
2000-05-15,GLENMARK,13.85,14.49,12.65,13.08,1127000,1098510,Monday,3,,False,False,-0.5899999999999999,-4.32,False,False,0.7400000000000002,5.34,True,True,,,False
2000-05-22,GLENMARK,13.0,13.23,12.4,13.01,646000,1600230,Monday,4,,True,False,-0.07000000000000028,-0.54,False,False,0.7400000000000002,5.34,True,True,,,False
2000-05-29,GLENMARK,13.45,14.85,12.8,14.36,766000,1436250,Monday,5,,False,False,1.3499999999999996,10.38,True,False,0.7400000000000002,5.34,True,True,,,False
2000-06-05,GLENMARK,14.65,15.05,13.5,13.61,521000,938745,Monday,1,,False,False,-0.75,-5.22,False,True,-0.8399999999999999,-5.76,False,True,,,False
2000-06-12,GLENMARK,13.5,13.8,13.0,13.5,442000,945000,Monday,2,,True,False,-0.10999999999999943,-0.81,False,True,-0.8399999999999999,-5.76,False,True,,,False
2000-06-19,GLENMARK,14.0,14.74,13.5,13.91,1293000,2572425,Monday,3,,False,False,0.41000000000000014,3.04,True,True,-0.8399999999999999,-5.76,False,True,,,False
2000-06-26,GLENMARK,13.63,14.19,13.6,13.75,413000,371250,Monday,4,,True,False,-0.16000000000000014,-1.15,False,True,-0.8399999999999999,-5.76,False,True,,,False
2000-07-03,GLENMARK,13.9,14.15,13.6,13.74,524000,3902160,Monday,1,,False,False,-0.009999999999999787,-0.07,False,False,-0.8200000000000003,-5.96,False,True,,,False
2000-07-10,GLENMARK,13.25,13.75,13.0,13.01,350000,910350,Monday,2,,True,False,-0.7300000000000004,-5.31,False,False,-0.8200000000000003,-5.96,False,True,,,False
2000-07-17,GLENMARK,12.65,14.15,12.2,13.41,707160,1091778,Monday,3,,False,False,0.40000000000000036,3.07,True,False,-0.8200000000000003,-5.96,False,True,,,False
2000-07-24,GLENMARK,13.09,13.25,12.19,12.73,366200,263408,Monday,4,,True,False,-0.6799999999999997,-5.07,False,False,-0.8200000000000003,-5.96,False,True,,,False
2000-07-31,GLENMARK,12.7,13.41,12.05,12.56,469960,570111,Monday,5,,False,False,-0.16999999999999993,-1.34,False,False,-0.8200000000000003,-5.96,False,True,,,False
2000-08-07,GLENMARK,12.25,13.0,12.08,12.08,188920,126840,Monday,1,,False,False,-0.4800000000000004,-3.82,False,True,0.030000000000001137,0.23,True,True,,,False
2000-08-14,GLENMARK,12.16,13.0,12.16,12.57,142760,253361,Monday,2,,True,False,0.4900000000000002,4.06,True,True,0.030000000000001137,0.23,True,True,,,False
2000-08-21,GLENMARK,13.07,13.07,12.35,12.65,195900,489711,Monday,3,,False,False,0.08000000000000007,0.64,True,True,0.030000000000001137,0.23,True,True,,,False
2000-08-28,GLENMARK,13.0,13.8,12.6,12.96,493080,847680,Monday,4,,True,False,0.3100000000000005,2.45,True,True,0.030000000000001137,0.23,True,True,,,False
2000-09-04,GLENMARK,12.88,13.25,12.68,13.01,163880,700449,Monday,1,,False,False,0.049999999999998934,0.39,True,False,0.06999999999999851,0.54,True,True,,,False
2000-09-11,GLENMARK,13.14,13.19,12.4,13.02,367740,856620,Monday,2,,True,False,0.009999999999999787,0.08,True,False,0.06999999999999851,0.54,True,True,,,False
2000-09-18,GLENMARK,12.6,13.2,12.0,12.67,310400,522051,Monday,3,,False,False,-0.34999999999999964,-2.69,False,False,0.06999999999999851,0.54,True,True,,,False
2000-09-25,GLENMARK,12.5,13.18,12.5,13.03,204800,836687,Monday,4,,True,False,0.35999999999999943,2.84,True,False,0.06999999999999851,0.54,True,True,,,False
2000-10-02,GLENMARK,13.05,13.45,12.5,13.22,318200,1632361,Monday,1,,False,False,0.19000000000000128,1.46,True,True,-0.7599999999999998,-5.83,False,True,,,False
2000-10-09,GLENMARK,13.08,13.4,12.38,12.5,277360,725000,Monday,2,,True,False,-0.7200000000000006,-5.45,False,True,-0.7599999999999998,-5.83,False,True,,,False
2000-10-16,GLENMARK,12.75,13.1,11.78,12.26,557840,1457714,Monday,3,,False,False,-0.2400000000000002,-1.92,False,True,-0.7599999999999998,-5.83,False,True,,,False
2000-10-23,GLENMARK,12.25,12.95,12.0,12.5,244800,77719,Monday,4,,True,False,0.2400000000000002,1.96,True,True,-0.7599999999999998,-5.83,False,True,,,False
2000-10-30,GLENMARK,12.35,12.65,12.1,12.49,131380,619380,Monday,5,,False,False,-0.009999999999999787,-0.08,False,True,-0.7599999999999998,-5.83,False,True,,,False
2000-11-06,GLENMARK,12.27,13.1,11.75,11.97,526220,1828777,Monday,1,,False,False,-0.5199999999999996,-4.16,False,False,-0.5,-4.07,False,True,,,False
2000-11-13,GLENMARK,11.5,11.91,11.2,11.72,470300,390276,Monday,2,,True,False,-0.25,-2.09,False,False,-0.5,-4.07,False,True,,,False
2000-11-20,GLENMARK,11.66,12.05,11.31,11.48,177920,110160,Monday,3,,False,False,-0.2400000000000002,-2.05,False,False,-0.5,-4.07,False,True,,,False
2000-11-27,GLENMARK,11.4,12.1,11.16,11.59,348920,592713,Monday,4,,True,False,0.10999999999999943,0.96,True,False,-0.5,-4.07,False,True,,,False
2000-12-04,GLENMARK,11.5,11.64,11.01,11.4,262560,415507,Monday,1,,False,False,-0.1899999999999995,-1.64,False,True,-1.5599999999999987,-13.25,False,True,,,False
2000-12-11,GLENMARK,11.45,12.9,11.38,11.4,438240,933637,Monday,2,,True,False,0.0,0.0,False,True,-1.5599999999999987,-13.25,False,True,,,False
2000-12-18,GLENMARK,11.4,11.68,10.25,10.33,370700,1190679,Monday,3,,False,False,-1.0700000000000003,-9.39,False,True,-1.5599999999999987,-13.25,False,True,,,False
2000-12-25,GLENMARK,10.0,10.44,9.4,10.21,203400,258046,Monday,4,,True,False,-0.11999999999999922,-1.16,False,True,-1.5599999999999987,-13.25,False,True,,,False
2001-01-01,GLENMARK,10.45,10.48,9.86,10.16,262620,320898,Monday,1,1,False,False,-0.05000000000000071,-0.49,False,False,-0.6700000000000017,-6.56,False,False,-0.75,-7.35,False
2001-01-08,GLENMARK,10.01,10.05,9.3,9.47,168700,301335,Monday,2,2,True,True,-0.6899999999999995,-6.79,False,False,-0.6700000000000017,-6.56,False,False,-0.75,-7.35,False
2001-01-15,GLENMARK,9.69,9.99,9.0,9.72,320280,598712,Monday,3,3,False,False,0.25,2.64,True,False,-0.6700000000000017,-6.56,False,False,-0.75,-7.35,False
2001-01-22,GLENMARK,9.95,9.99,9.26,9.56,251080,351900,Monday,4,4,True,True,-0.16000000000000014,-1.65,False,False,-0.6700000000000017,-6.56,False,False,-0.75,-7.35,False
2001-01-29,GLENMARK,9.25,9.69,9.1,9.15,541520,835029,Monday,5,5,False,False,-0.41000000000000014,-4.29,False,False,-0.6700000000000017,-6.56,False,False,-0.75,-7.35,False
2001-02-05,GLENMARK,9.2,9.79,9.0,9.5,413940,1616285,Monday,1,6,False,True,0.34999999999999964,3.83,True,True,-1.3699999999999992,-14.36,False,False,-0.75,-7.35,False
2001-02-12,GLENMARK,9.5,9.65,9.13,9.19,464460,616817,Monday,2,7,True,False,-0.3100000000000005,-3.26,False,True,-1.3699999999999992,-14.36,False,False,-0.75,-7.35,False
