Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
2000-01-01,GLENMARK,32.5,75.0,9.4,10.21,77276640,258046,Saturday,True,,,False
2001-01-01,GLENMARK,10.45,12.0,4.62,9.46,29860080,1438295,Monday,False,-0.75,-7.35,False
2002-01-01,GLENMARK,9.5,15.55,9.25,12.0,23475420,876595,Tuesday,True,2.539999999999999,26.85,True
2003-01-01,GLENMARK,12.45,38.56,10.0,35.78,146777616,31579452,Wednesday,False,23.78,198.17,True
2004-01-01,GLENMARK,36.25,121.23,31.75,121.23,273389852,659334016,Thursday,True,85.45,238.82,True
2005-01-01,GLENMARK,124.75,180.0,109.45,156.78,236838440,101146520,Saturday,False,35.55,29.32,True
2006-01-01,GLENMARK,157.2,322.0,113.0,301.35,151074926,353001984,Sunday,True,144.57000000000002,92.21,True
2007-01-01,GLENMARK,304.0,624.0,246.5,596.0,121784247,147390800,Monday,False,294.65,97.78,True
2008-01-01,GLENMARK,590.0,736.0,211.1,296.1,94371497,72450344,Tuesday,True,-299.9,-50.32,False
2009-01-01,GLENMARK,299.8,311.5,119.2,275.85,406220247,108415400,Thursday,False,-20.25,-6.84,False
2010-01-01,GLENMARK,275.0,389.9,233.35,362.1,181111000,150314960,Friday,True,86.25,31.27,True
2011-01-01,GLENMARK,363.9,372.2,241.1,293.55,149270724,143501024,Saturday,False,-68.55000000000001,-18.93,False
2012-01-01,GLENMARK,295.0,550.7,285.0,528.55,120801877,152210768,Sunday,True,234.99999999999994,80.05,True
2013-01-01,GLENMARK,530.0,613.35,458.0,533.85,137581616,204465072,Tuesday,False,5.300000000000068,1.0,True
2014-01-01,GLENMARK,534.0,841.0,496.1,770.2,160465938,501689024,Wednesday,True,236.35000000000002,44.27,True
2015-01-01,GLENMARK,783.25,1262.9,702.6,921.9,245926439,377633312,Thursday,False,151.69999999999993,19.7,True
2016-01-01,GLENMARK,921.9,994.0,671.1,888.45,152689189,341103488,Friday,True,-33.44999999999993,-3.63,False
2017-01-01,GLENMARK,894.0,972.95,525.85,594.75,242607910,611599872,Sunday,False,-293.70000000000005,-33.06,False
2018-01-01,GLENMARK,596.15,711.9,493.5,693.05,245873566,687114688,Monday,True,98.29999999999995,16.53,True
2019-01-01,GLENMARK,690.5,697.6,267.25,347.45,391418157,210957408,Tuesday,False,-345.59999999999997,-49.87,False
2020-01-01,GLENMARK,347.7,573.05,161.65,493.5,1149485643,1539214592,Wednesday,True,146.05,42.03,True
2021-01-01,GLENMARK,493.75,690.95,442.05,528.55,539748746,390801952,Friday,False,35.049999999999955,7.1,True
2022-01-01,GLENMARK,530.0,531.2,348.5,424.15,591863479,0,Saturday,True,-104.39999999999998,-19.75,False
2023-01-01,GLENMARK,423.3,568.75,369.05,563.45,86650856,0,Sunday,False,139.30000000000007,32.84,True
