Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-10,GNFC,88.75,89.0,85.0,85.0,10600,110500,Thursday,1994-11-04,,,False,False,,,False,False,,,False,True,,,False
1994-11-17,GNFC,82.75,84.0,81.5,81.5,650,16300,Thursday,1994-11-11,,,False,False,-3.5,-4.12,False,False,,,False,True,,,False
1994-11-24,GNFC,84.0,85.0,82.0,84.75,850,63563,Thursday,1994-11-18,,,False,False,3.25,3.99,True,False,,,False,True,,,False
1994-12-01,GNFC,85.0,85.0,77.0,82.0,6050,16400,Thursday,1994-11-25,1,,False,False,-2.75,-3.24,False,True,-9.0,-10.78,False,True,,,False
1994-12-08,GNFC,81.0,82.0,75.5,75.5,4750,71725,Thursday,1994-12-02,2,,True,False,-6.5,-7.93,False,True,-9.0,-10.78,False,True,,,False
1994-12-15,GNFC,75.0,75.0,71.5,71.75,1500,35875,Thursday,1994-12-09,3,,False,False,-3.75,-4.97,False,True,-9.0,-10.78,False,True,,,False
1994-12-22,GNFC,73.0,75.0,72.0,75.0,7050,11250,Thursday,1994-12-16,4,,True,False,3.25,4.53,True,True,-9.0,-10.78,False,True,,,False
1994-12-29,GNFC,74.3,74.65,72.5,74.5,1350,11175,Thursday,1994-12-23,5,,False,False,-0.5,-0.67,False,True,-9.0,-10.78,False,True,,,False
1995-01-05,GNFC,71.5,73.75,71.0,71.05,1950,14210,Thursday,1994-12-30,1,1,False,False,-3.450000000000003,-4.63,False,False,-4.049999999999997,-5.44,False,False,-30.5,-40.94,False
1995-01-12,GNFC,70.0,70.0,62.0,65.0,3100,39000,Thursday,1995-01-06,2,2,True,True,-6.049999999999997,-8.52,False,False,-4.049999999999997,-5.44,False,False,-30.5,-40.94,False
1995-01-19,GNFC,66.05,70.0,63.25,68.0,2750,105400,Thursday,1995-01-13,3,3,False,False,3.0,4.62,True,False,-4.049999999999997,-5.44,False,False,-30.5,-40.94,False
