Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2010-01-14,GODREJPROP,266.5,269.13,251.25,256.85,1938908,36758832,Thursday,2010-01-08,,,False,False,,,False,False,,,False,True,,,False
2010-01-21,GODREJPROP,256.0,264.2,249.75,250.45,822096,43316828,Thursday,2010-01-15,,,False,False,-6.400000000000034,-2.49,False,False,,,False,True,,,False
2010-01-28,GODREJPROP,245.0,260.98,225.18,242.2,768962,33022032,Thursday,2010-01-22,,,False,False,-8.25,-3.29,False,False,,,False,True,,,False
2010-02-04,GODREJPROP,242.2,247.5,230.7,239.25,209702,6299931,Thursday,2010-01-29,1,,False,False,-2.9499999999999886,-1.22,False,True,-0.9299999999999784,-0.39,False,True,,,False
2010-02-11,GODREJPROP,236.0,244.0,222.0,238.55,149610,6567282,Thursday,2010-02-05,2,,True,False,-0.6999999999999886,-0.29,False,True,-0.9299999999999784,-0.39,False,True,,,False
2010-02-18,GODREJPROP,240.0,244.95,235.05,239.55,134592,12298976,Thursday,2010-02-12,3,,False,False,1.0,0.42,True,True,-0.9299999999999784,-0.39,False,True,,,False
2010-02-25,GODREJPROP,236.03,242.5,227.5,238.1,95232,6055360,Thursday,2010-02-19,4,,True,False,-1.450000000000017,-0.61,False,True,-0.9299999999999784,-0.39,False,True,,,False
2010-03-04,GODREJPROP,239.0,263.5,235.4,258.98,555950,24176352,Thursday,2010-02-26,1,,False,False,20.880000000000024,8.77,True,False,18.72999999999999,7.9,True,True,,,False
2010-03-11,GODREJPROP,259.5,260.0,240.0,244.65,196614,10935365,Thursday,2010-03-05,2,,True,False,-14.330000000000013,-5.53,False,False,18.72999999999999,7.9,True,True,,,False
2010-03-18,GODREJPROP,244.5,252.5,241.0,250.1,145688,15338133,Thursday,2010-03-12,3,,False,False,5.449999999999989,2.23,True,False,18.72999999999999,7.9,True,True,,,False
2010-03-25,GODREJPROP,250.0,269.45,245.5,250.78,1225694,20072532,Thursday,2010-03-19,4,,True,False,0.6800000000000068,0.27,True,False,18.72999999999999,7.9,True,True,,,False
2010-04-01,GODREJPROP,250.5,259.4,242.5,258.13,587148,8248643,Thursday,2010-03-26,1,,False,False,7.349999999999994,2.93,True,True,-5.349999999999994,-2.09,False,True,,,False
2010-04-08,GODREJPROP,253.55,265.0,250.5,263.2,214970,13944863,Thursday,2010-04-02,2,,True,False,5.069999999999993,1.96,True,True,-5.349999999999994,-2.09,False,True,,,False
2010-04-15,GODREJPROP,265.0,268.5,254.7,261.08,243248,23837192,Thursday,2010-04-09,3,,False,False,-2.1200000000000045,-0.81,False,True,-5.349999999999994,-2.09,False,True,,,False
2010-04-22,GODREJPROP,261.0,266.45,250.98,251.78,232010,12478976,Thursday,2010-04-16,4,,True,False,-9.299999999999983,-3.56,False,True,-5.349999999999994,-2.09,False,True,,,False
2010-04-29,GODREJPROP,255.0,257.5,247.45,250.0,868880,2803000,Thursday,2010-04-23,5,,False,False,-1.7800000000000011,-0.71,False,True,-5.349999999999994,-2.09,False,True,,,False
2010-05-06,GODREJPROP,251.05,259.95,243.55,246.83,319460,32467854,Thursday,2010-04-30,1,,False,False,-3.1699999999999875,-1.27,False,False,11.099999999999966,4.43,True,True,,,False
