Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2005-06-23,GRANULES,11.6,11.7,9.9,10.17,663840,609488,Thursday,2005-06-17,,,False,False,,,False,True,,,False,False,,,False
2005-06-30,GRANULES,10.25,11.4,10.25,10.74,1686020,2432395,Thursday,2005-06-24,,,False,False,0.5700000000000003,5.6,True,True,,,False,False,,,False
2005-07-07,GRANULES,10.99,11.3,10.62,10.72,1300860,1930414,Thursday,2005-07-01,1,,False,False,-0.019999999999999574,-0.19,False,False,-0.16999999999999993,-1.58,False,False,,,False
2005-07-14,GRANULES,10.8,12.6,10.16,11.37,3471260,8713399,Thursday,2005-07-08,2,,True,False,0.6499999999999986,6.06,True,False,-0.16999999999999993,-1.58,False,False,,,False
2005-07-21,GRANULES,11.4,11.96,11.0,11.05,3127400,3366825,Thursday,2005-07-15,3,,False,False,-0.3199999999999985,-2.81,False,False,-0.16999999999999993,-1.58,False,False,,,False
2005-07-28,GRANULES,11.2,11.38,10.65,10.76,675270,766832,Thursday,2005-07-22,4,,True,False,-0.2900000000000009,-2.62,False,False,-0.16999999999999993,-1.58,False,False,,,False
2005-08-04,GRANULES,10.74,12.5,10.13,10.61,938230,1539846,Thursday,2005-07-29,1,,False,False,-0.15000000000000036,-1.39,False,True,0.5899999999999999,5.58,True,False,,,False
2005-08-11,GRANULES,10.7,10.7,9.9,10.43,2016660,7524724,Thursday,2005-08-05,2,,True,False,-0.17999999999999972,-1.7,False,True,0.5899999999999999,5.58,True,False,,,False
2005-08-18,GRANULES,10.5,11.1,10.0,10.34,3744940,10213564,Thursday,2005-08-12,3,,False,False,-0.08999999999999986,-0.86,False,True,0.5899999999999999,5.58,True,False,,,False
2005-08-25,GRANULES,10.4,10.8,9.87,10.14,3099080,1700884,Thursday,2005-08-19,4,,True,False,-0.1999999999999993,-1.93,False,True,0.5899999999999999,5.58,True,False,,,False
2005-09-01,GRANULES,10.23,11.6,10.05,11.14,7142850,15041826,Thursday,2005-08-26,1,,False,False,1.0,9.86,True,False,-1.6999999999999993,-15.23,False,False,,,False
2005-09-08,GRANULES,11.27,11.96,11.1,11.51,7359460,13804735,Thursday,2005-09-02,2,,True,False,0.3699999999999992,3.32,True,False,-1.6999999999999993,-15.23,False,False,,,False
2005-09-15,GRANULES,11.57,11.67,10.81,11.12,2843610,4614059,Thursday,2005-09-09,3,,False,False,-0.39000000000000057,-3.39,False,False,-1.6999999999999993,-15.23,False,False,,,False
