Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2005-06-01,GRANULES,11.6,11.7,9.9,10.74,2349860,2432395,Wednesday,True,,,False,False,,,False
2005-07-01,GRANULES,10.99,12.6,10.13,10.57,8736290,1707055,Friday,False,-0.16999999999999993,-1.58,False,False,,,False
2005-08-01,GRANULES,10.84,12.5,9.87,11.16,15429400,22727786,Monday,True,0.5899999999999999,5.58,True,False,,,False
2005-09-01,GRANULES,11.33,11.96,9.23,9.46,16600880,4507293,Thursday,False,-1.6999999999999993,-15.23,False,False,,,False
2005-10-01,GRANULES,9.6,9.99,8.01,8.92,3108490,979848,Saturday,True,-0.5400000000000009,-5.71,False,False,,,False
2005-11-01,GRANULES,9.0,10.4,8.4,9.58,3110570,2595510,Tuesday,False,0.6600000000000001,7.4,True,False,,,False
2005-12-01,GRANULES,9.5,11.9,9.18,11.08,25514830,3260290,Thursday,True,1.5,15.66,True,False,,,False
2006-01-01,GRANULES,11.38,12.8,11.15,11.24,33624780,5370023,Sunday,False,0.16000000000000014,1.44,True,True,-2.1899999999999995,-19.77,False
2006-02-01,GRANULES,11.37,11.85,9.53,9.7,9109280,1813159,Wednesday,True,-1.540000000000001,-13.7,False,True,-2.1899999999999995,-19.77,False
2006-03-01,GRANULES,10.4,10.4,8.33,9.33,8355330,4087054,Wednesday,False,-0.3699999999999992,-3.81,False,True,-2.1899999999999995,-19.77,False
2006-04-01,GRANULES,9.11,9.95,8.21,9.21,8188890,2146422,Saturday,True,-0.11999999999999922,-1.29,False,True,-2.1899999999999995,-19.77,False
2006-05-01,GRANULES,9.35,10.85,6.93,8.57,19672690,2393575,Monday,False,-0.6400000000000006,-6.95,False,True,-2.1899999999999995,-19.77,False
2006-06-01,GRANULES,8.77,9.4,6.33,8.22,8623120,729163,Thursday,True,-0.34999999999999964,-4.08,False,True,-2.1899999999999995,-19.77,False
2006-07-01,GRANULES,8.3,8.4,7.16,7.46,1609250,506982,Saturday,False,-0.7600000000000007,-9.25,False,True,-2.1899999999999995,-19.77,False
2006-08-01,GRANULES,7.6,11.54,7.3,10.65,38265560,17446516,Tuesday,True,3.1900000000000004,42.76,True,True,-2.1899999999999995,-19.77,False
2006-09-01,GRANULES,10.73,11.3,9.26,10.53,15835930,21902946,Friday,False,-0.120000000000001,-1.13,False,True,-2.1899999999999995,-19.77,False
2006-10-01,GRANULES,10.63,11.04,9.13,9.18,13046280,2138665,Sunday,True,-1.3499999999999996,-12.82,False,True,-2.1899999999999995,-19.77,False
2006-11-01,GRANULES,9.3,9.8,8.49,8.97,6794870,2016498,Wednesday,False,-0.20999999999999908,-2.29,False,True,-2.1899999999999995,-19.77,False
2006-12-01,GRANULES,9.14,9.6,8.4,8.89,5125950,1823913,Friday,True,-0.08000000000000007,-0.89,False,True,-2.1899999999999995,-19.77,False
2007-01-01,GRANULES,9.09,10.7,8.57,9.91,14353910,4108587,Monday,False,1.0199999999999996,11.47,True,False,2.9499999999999993,33.18,True
2007-02-01,GRANULES,10.0,11.65,8.21,9.45,15545410,3106177,Thursday,True,-0.46000000000000085,-4.64,False,False,2.9499999999999993,33.18,True
2007-03-01,GRANULES,9.7,9.95,8.6,9.44,4217290,1501904,Thursday,False,-0.009999999999999787,-0.11,False,False,2.9499999999999993,33.18,True
2007-04-01,GRANULES,9.4,12.48,9.2,11.88,31400610,12918456,Sunday,True,2.4400000000000013,25.85,True,False,2.9499999999999993,33.18,True
2007-05-01,GRANULES,11.9,13.4,11.9,12.78,17867020,3547217,Tuesday,False,0.8999999999999986,7.58,True,False,2.9499999999999993,33.18,True
2007-06-01,GRANULES,13.09,13.2,11.1,11.73,4490300,1564232,Friday,True,-1.049999999999999,-8.22,False,False,2.9499999999999993,33.18,True
2007-07-01,GRANULES,11.68,14.5,11.3,11.38,12529080,3127215,Sunday,False,-0.34999999999999964,-2.98,False,False,2.9499999999999993,33.18,True
2007-08-01,GRANULES,11.14,11.3,9.51,10.07,3622850,937517,Wednesday,True,-1.3100000000000005,-11.51,False,False,2.9499999999999993,33.18,True
2007-09-01,GRANULES,10.38,11.09,9.92,10.01,3717870,3076674,Saturday,False,-0.0600000000000005,-0.6,False,False,2.9499999999999993,33.18,True
2007-10-01,GRANULES,10.3,11.0,8.01,9.61,7721050,6446580,Monday,True,-0.40000000000000036,-4.0,False,False,2.9499999999999993,33.18,True
2007-11-01,GRANULES,9.6,10.85,9.53,9.72,6711110,4208441,Thursday,False,0.11000000000000121,1.14,True,False,2.9499999999999993,33.18,True
2007-12-01,GRANULES,9.8,12.2,9.2,11.84,30836270,48824344,Saturday,True,2.119999999999999,21.81,True,False,2.9499999999999993,33.18,True
2008-01-01,GRANULES,11.99,12.6,6.9,8.0,14056990,1043520,Tuesday,False,-3.84,-32.43,False,True,-8.0,-67.57,False
2008-02-01,GRANULES,8.0,9.9,7.9,8.93,6201670,1907719,Friday,True,0.9299999999999997,11.62,True,True,-8.0,-67.57,False
2008-03-01,GRANULES,9.0,9.3,6.48,7.22,5172760,1774746,Saturday,False,-1.71,-19.15,False,True,-8.0,-67.57,False
2008-04-01,GRANULES,7.07,8.4,7.07,8.11,1863840,633730,Tuesday,True,0.8899999999999997,12.33,True,True,-8.0,-67.57,False
2008-05-01,GRANULES,8.13,8.19,6.7,6.81,2525430,1024565,Thursday,False,-1.2999999999999998,-16.03,False,True,-8.0,-67.57,False
2008-06-01,GRANULES,6.8,7.2,5.15,5.38,2177210,530405,Sunday,True,-1.4299999999999997,-21.0,False,True,-8.0,-67.57,False
2008-07-01,GRANULES,5.3,6.0,4.5,5.46,6181440,602232,Tuesday,False,0.08000000000000007,1.49,True,True,-8.0,-67.57,False
2008-08-01,GRANULES,5.5,6.0,5.13,5.55,1354630,609779,Friday,True,0.08999999999999986,1.65,True,True,-8.0,-67.57,False
2008-09-01,GRANULES,5.6,6.06,4.5,4.8,1821370,508512,Monday,False,-0.75,-13.51,False,True,-8.0,-67.57,False
2008-10-01,GRANULES,5.0,5.16,2.53,3.18,1692360,410379,Wednesday,True,-1.6199999999999997,-33.75,False,True,-8.0,-67.57,False
