Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-12-19,GUJGASLTD,2.75,2.8,2.75,2.8,10000,14000.0,Monday,,,False,False,,,False,True,,,False,True,,,False
1994-12-26,,,,,,0,,Monday,,,False,False,,,False,True,,,False,True,,,False
1995-01-02,,,,,,0,,Monday,1,1,False,False,,,False,False,-0.11999999999999966,-4.29,False,False,-0.25,-8.93,False
1995-01-09,,,,,,0,,Monday,2,2,True,True,,,False,False,-0.11999999999999966,-4.29,False,False,-0.25,-8.93,False
1995-01-16,GUJGASLTD,2.63,2.7,2.6,2.64,90000,79200.0,Monday,3,3,False,False,,,False,False,-0.11999999999999966,-4.29,False,False,-0.25,-8.93,False
1995-01-23,GUJGASLTD,2.6,2.6,2.5,2.6,50000,39000.0,Monday,4,4,True,True,-0.040000000000000036,-1.52,False,False,-0.11999999999999966,-4.29,False,False,-0.25,-8.93,False
1995-01-30,GUJGASLTD,2.6,2.68,2.6,2.64,35000,13200.0,Monday,5,5,False,False,0.040000000000000036,1.54,True,False,-0.11999999999999966,-4.29,False,False,-0.25,-8.93,False
1995-02-06,GUJGASLTD,2.66,2.8,2.64,2.8,100000,56000.0,Monday,1,6,False,True,0.1599999999999997,6.06,True,True,0.0,0.0,False,False,-0.25,-8.93,False
1995-02-13,GUJGASLTD,2.7,2.7,2.6,2.66,115000,212800.0,Monday,2,7,True,False,-0.13999999999999968,-5.0,False,True,0.0,0.0,False,False,-0.25,-8.93,False
1995-02-20,GUJGASLTD,2.65,2.85,2.62,2.76,380000,82800.0,Monday,3,8,False,True,0.09999999999999964,3.76,True,True,0.0,0.0,False,False,-0.25,-8.93,False
1995-02-27,GUJGASLTD,2.68,2.7,2.66,2.7,50000,40500.0,Monday,4,9,True,False,-0.05999999999999961,-2.17,False,True,0.0,0.0,False,False,-0.25,-8.93,False
1995-03-06,GUJGASLTD,2.66,2.72,2.6,2.62,70000,65500.0,Monday,1,10,False,True,-0.08000000000000007,-2.96,False,False,-0.16000000000000014,-5.97,False,False,-0.25,-8.93,False
1995-03-13,GUJGASLTD,2.52,2.64,2.52,2.64,40000,52800.0,Monday,2,11,True,False,0.020000000000000018,0.76,True,False,-0.16000000000000014,-5.97,False,False,-0.25,-8.93,False
1995-03-20,GUJGASLTD,2.64,2.64,2.4,2.6,40000,52000.0,Monday,3,12,False,True,-0.040000000000000036,-1.52,False,False,-0.16000000000000014,-5.97,False,False,-0.25,-8.93,False
1995-03-27,GUJGASLTD,2.6,2.6,2.52,2.52,40000,12600.0,Monday,4,13,True,False,-0.08000000000000007,-3.08,False,False,-0.16000000000000014,-5.97,False,False,-0.25,-8.93,False
1995-04-03,GUJGASLTD,2.52,2.6,2.5,2.54,2675000,50800.0,Monday,1,14,False,True,0.020000000000000018,0.79,True,True,-0.2200000000000002,-8.73,False,False,-0.25,-8.93,False
1995-04-10,GUJGASLTD,2.54,2.7,2.54,2.66,195000,79800.0,Monday,2,15,True,False,0.1200000000000001,4.72,True,True,-0.2200000000000002,-8.73,False,False,-0.25,-8.93,False
1995-04-17,GUJGASLTD,2.64,2.8,2.6,2.6,195000,52000.0,Monday,3,16,False,True,-0.06000000000000005,-2.26,False,True,-0.2200000000000002,-8.73,False,False,-0.25,-8.93,False
1995-04-24,GUJGASLTD,2.5,2.5,2.3,2.3,140000,11500.0,Monday,4,17,True,False,-0.30000000000000027,-11.54,False,True,-0.2200000000000002,-8.73,False,False,-0.25,-8.93,False
1995-05-01,GUJGASLTD,2.25,2.25,2.1,2.2,55000,66000.0,Monday,1,18,False,True,-0.09999999999999964,-4.35,False,False,0.10000000000000009,4.35,True,False,-0.25,-8.93,False
1995-05-08,GUJGASLTD,2.36,2.42,2.2,2.2,30000,11000.0,Monday,2,19,True,False,0.0,0.0,False,False,0.10000000000000009,4.35,True,False,-0.25,-8.93,False
