Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-10,HDFC,27.5,28.0,27.5,28.0,8000,28000,Thursday,1994-11-04,,,False,False,,,False,False,,,False,True,,,False
1994-11-17,HDFC,27.5,27.75,27.5,27.75,7000,27750,Thursday,1994-11-11,,,False,False,-0.25,-0.89,False,False,,,False,True,,,False
1994-11-24,HDFC,26.75,27.1,26.75,27.1,3000,54200,Thursday,1994-11-18,,,False,False,-0.6499999999999986,-2.34,False,False,,,False,True,,,False
1994-12-01,HDFC,26.7,27.98,26.7,27.25,36000,54500,Thursday,1994-11-25,1,,False,False,0.14999999999999858,0.55,True,True,-2.0,-7.22,False,True,,,False
1994-12-08,HDFC,27.25,27.25,24.75,24.75,183000,49500,Thursday,1994-12-02,2,,True,False,-2.5,-9.17,False,True,-2.0,-7.22,False,True,,,False
1994-12-15,HDFC,25.0,25.0,23.42,24.45,26000,97800,Thursday,1994-12-09,3,,False,False,-0.3000000000000007,-1.21,False,True,-2.0,-7.22,False,True,,,False
1994-12-22,HDFC,25.0,25.97,25.0,25.13,1018000,50260,Thursday,1994-12-16,4,,True,False,0.6799999999999997,2.78,True,True,-2.0,-7.22,False,True,,,False
1994-12-29,HDFC,25.0,25.8,25.0,25.7,119000,2621400,Thursday,1994-12-23,5,,False,False,0.5700000000000003,2.27,True,True,-2.0,-7.22,False,True,,,False
1995-01-05,HDFC,25.7,25.8,24.55,24.55,111000,122750,Thursday,1994-12-30,1,1,False,False,-1.1499999999999986,-4.47,False,False,-3.219999999999999,-12.52,False,False,1.3200000000000003,5.13,True
1995-01-12,HDFC,24.4,24.4,21.3,21.75,81000,130500,Thursday,1995-01-06,2,2,True,True,-2.8000000000000007,-11.41,False,False,-3.219999999999999,-12.52,False,False,1.3200000000000003,5.13,True
1995-01-19,HDFC,21.75,23.6,21.6,23.42,54000,281100,Thursday,1995-01-13,3,3,False,False,1.6700000000000017,7.68,True,False,-3.219999999999999,-12.52,False,False,1.3200000000000003,5.13,True
1995-01-26,HDFC,23.75,24.0,22.0,22.05,59000,198450,Thursday,1995-01-20,4,4,True,True,-1.370000000000001,-5.85,False,False,-3.219999999999999,-12.52,False,False,1.3200000000000003,5.13,True
1995-02-02,HDFC,22.01,23.15,22.0,23.0,54000,368000,Thursday,1995-01-27,1,5,False,False,0.9499999999999993,4.31,True,True,-1.5199999999999996,-6.76,False,False,1.3200000000000003,5.13,True
1995-02-09,HDFC,22.99,23.0,21.25,21.73,88000,1412125,Thursday,1995-02-03,2,6,True,True,-1.2699999999999996,-5.52,False,True,-1.5199999999999996,-6.76,False,False,1.3200000000000003,5.13,True
1995-02-16,HDFC,21.9,21.95,20.5,20.5,1432000,61500,Thursday,1995-02-10,3,7,False,False,-1.2300000000000004,-5.66,False,True,-1.5199999999999996,-6.76,False,False,1.3200000000000003,5.13,True
1995-02-23,HDFC,20.6,20.65,18.8,20.3,97000,203000,Thursday,1995-02-17,4,8,True,True,-0.1999999999999993,-0.98,False,True,-1.5199999999999996,-6.76,False,False,1.3200000000000003,5.13,True
1995-03-02,HDFC,20.5,22.0,20.5,21.0,1678000,252000,Thursday,1995-02-24,1,9,False,False,0.6999999999999993,3.45,True,False,-0.6500000000000021,-3.1,False,False,1.3200000000000003,5.13,True
1995-03-09,HDFC,21.15,22.25,21.01,22.25,62000,356000,Thursday,1995-03-03,2,10,True,True,1.25,5.95,True,False,-0.6500000000000021,-3.1,False,False,1.3200000000000003,5.13,True
1995-03-16,HDFC,23.5,23.6,20.5,21.25,224000,42500,Thursday,1995-03-10,3,11,False,False,-1.0,-4.49,False,False,-0.6500000000000021,-3.1,False,False,1.3200000000000003,5.13,True
