Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1995-06-15,HDFCBANK,4.7,4.74,4.51,4.55,2818000,4714425,Thursday,1995-06-09,,,False,False,,,False,True,,,False,False,,,False
1995-06-22,HDFCBANK,4.57,4.66,4.43,4.45,5888000,3915945,Thursday,1995-06-16,,,False,False,-0.09999999999999964,-2.2,False,True,,,False,False,,,False
1995-06-29,HDFCBANK,4.5,4.5,4.05,4.22,3839000,2636400,Thursday,1995-06-23,,,False,False,-0.23000000000000043,-5.17,False,True,,,False,False,,,False
1995-07-06,HDFCBANK,4.2,4.2,3.88,3.95,4620000,3306150,Thursday,1995-06-30,1,,False,False,-0.2699999999999996,-6.4,False,False,0.020000000000000462,0.48,True,False,,,False
1995-07-13,HDFCBANK,3.98,4.19,3.85,4.17,3230000,1847310,Thursday,1995-07-07,2,,True,False,0.21999999999999975,5.57,True,False,0.020000000000000462,0.48,True,False,,,False
1995-07-20,HDFCBANK,4.2,4.53,4.18,4.46,5402000,3014960,Thursday,1995-07-14,3,,False,False,0.29000000000000004,6.95,True,False,0.020000000000000462,0.48,True,False,,,False
1995-07-27,HDFCBANK,4.41,4.48,4.35,4.39,2976000,1946985,Thursday,1995-07-21,4,,True,False,-0.07000000000000028,-1.57,False,False,0.020000000000000462,0.48,True,False,,,False
1995-08-03,HDFCBANK,4.3,4.3,4.1,4.18,1510000,1188540,Thursday,1995-07-28,1,,False,False,-0.20999999999999996,-4.78,False,True,-0.2400000000000002,-5.77,False,False,,,False
1995-08-10,HDFCBANK,4.0,4.2,4.0,4.13,954000,694680,Thursday,1995-08-04,2,,True,False,-0.04999999999999982,-1.2,False,True,-0.2400000000000002,-5.77,False,False,,,False
1995-08-17,HDFCBANK,4.15,4.2,4.1,4.13,621000,523875,Thursday,1995-08-11,3,,False,False,0.0,0.0,False,True,-0.2400000000000002,-5.77,False,False,,,False
1995-08-24,HDFCBANK,4.13,4.19,4.0,4.07,911000,684600,Thursday,1995-08-18,4,,True,False,-0.05999999999999961,-1.45,False,True,-0.2400000000000002,-5.77,False,False,,,False
1995-08-31,HDFCBANK,4.1,4.1,3.88,3.92,986000,561275,Thursday,1995-08-25,5,,False,False,-0.15000000000000036,-3.69,False,True,-0.2400000000000002,-5.77,False,False,,,False
1995-09-07,HDFCBANK,3.95,3.97,3.56,3.87,1225000,1578960,Thursday,1995-09-01,1,,False,False,-0.04999999999999982,-1.28,False,False,-0.2799999999999998,-7.14,False,False,,,False
1995-09-14,HDFCBANK,3.88,3.92,3.76,3.8,1208000,969000,Thursday,1995-09-08,2,,True,False,-0.07000000000000028,-1.81,False,False,-0.2799999999999998,-7.14,False,False,,,False
1995-09-21,HDFCBANK,3.65,3.8,3.6,3.62,2146000,2150280,Thursday,1995-09-15,3,,False,False,-0.17999999999999972,-4.74,False,False,-0.2799999999999998,-7.14,False,False,,,False
1995-09-28,HDFCBANK,3.6,3.7,3.58,3.64,3466000,1053405,Thursday,1995-09-22,4,,True,False,0.020000000000000018,0.55,True,False,-0.2799999999999998,-7.14,False,False,,,False
1995-10-05,HDFCBANK,3.65,3.89,3.63,3.8,1291000,2584395,Thursday,1995-09-29,1,,False,False,0.1599999999999997,4.4,True,True,-0.25,-6.87,False,False,,,False
1995-10-12,HDFCBANK,3.8,3.9,3.73,3.75,3213000,2286795,Thursday,1995-10-06,2,,True,False,-0.04999999999999982,-1.32,False,True,-0.25,-6.87,False,False,,,False
1995-10-19,HDFCBANK,3.75,3.77,3.48,3.5,3480000,3344715,Thursday,1995-10-13,3,,False,False,-0.25,-6.67,False,True,-0.25,-6.87,False,False,,,False
1995-10-26,HDFCBANK,3.5,3.51,3.2,3.35,2693000,1267755,Thursday,1995-10-20,4,,True,False,-0.1499999999999999,-4.29,False,True,-0.25,-6.87,False,False,,,False
1995-11-02,HDFCBANK,3.35,3.5,3.3,3.41,1877000,1162810,Thursday,1995-10-27,1,,False,False,0.06000000000000005,1.79,True,False,-0.3999999999999999,-11.8,False,False,,,False
1995-11-09,HDFCBANK,3.41,3.47,3.24,3.25,1407000,1472250,Thursday,1995-11-03,2,,True,False,-0.16000000000000014,-4.69,False,False,-0.3999999999999999,-11.8,False,False,,,False
1995-11-16,HDFCBANK,3.25,3.3,2.97,3.05,2609000,1213900,Thursday,1995-11-10,3,,False,False,-0.20000000000000018,-6.15,False,False,-0.3999999999999999,-11.8,False,False,,,False
1995-11-23,HDFCBANK,3.05,3.07,2.9,2.92,2057000,1567800,Thursday,1995-11-17,4,,True,False,-0.1299999999999999,-4.26,False,False,-0.3999999999999999,-11.8,False,False,,,False
1995-11-30,HDFCBANK,2.92,3.1,2.88,2.99,1695000,511290,Thursday,1995-11-24,5,,False,False,0.07000000000000028,2.4,True,False,-0.3999999999999999,-11.8,False,False,,,False
1995-12-07,HDFCBANK,2.99,3.05,2.88,2.97,2185000,1395275,Thursday,1995-12-01,1,,False,False,-0.020000000000000018,-0.67,False,True,0.03999999999999959,1.34,True,False,,,False
1995-12-14,HDFCBANK,2.97,3.0,2.93,2.95,1139000,404835,Thursday,1995-12-08,2,,True,False,-0.020000000000000018,-0.67,False,True,0.03999999999999959,1.34,True,False,,,False
1995-12-21,HDFCBANK,2.95,2.99,2.93,2.97,993000,464100,Thursday,1995-12-15,3,,False,False,0.020000000000000018,0.68,True,True,0.03999999999999959,1.34,True,False,,,False
1995-12-28,HDFCBANK,2.97,3.33,2.95,3.08,957000,984000,Thursday,1995-12-22,4,,True,False,0.10999999999999988,3.7,True,True,0.03999999999999959,1.34,True,False,,,False
1996-01-04,HDFCBANK,3.08,3.14,2.92,2.96,1601000,836130,Thursday,1995-12-29,1,1,False,False,-0.1200000000000001,-3.9,False,False,-0.43999999999999995,-14.52,False,True,0.8900000000000001,29.37,True
1996-01-11,HDFCBANK,2.96,2.98,2.8,2.83,1453000,899940,Thursday,1996-01-05,2,2,True,True,-0.1299999999999999,-4.39,False,False,-0.43999999999999995,-14.52,False,True,0.8900000000000001,29.37,True
1996-01-18,HDFCBANK,2.83,2.84,2.6,2.64,1729000,871200,Thursday,1996-01-12,3,3,False,False,-0.18999999999999995,-6.71,False,False,-0.43999999999999995,-14.52,False,True,0.8900000000000001,29.37,True
1996-01-25,HDFCBANK,2.64,2.64,2.41,2.43,2023000,949650,Thursday,1996-01-19,4,4,True,True,-0.20999999999999996,-7.95,False,False,-0.43999999999999995,-14.52,False,True,0.8900000000000001,29.37,True
1996-02-01,HDFCBANK,2.43,2.8,2.39,2.78,1531000,1178720,Thursday,1996-01-26,1,5,False,False,0.34999999999999964,14.4,True,True,0.48,18.53,True,True,0.8900000000000001,29.37,True
1996-02-08,HDFCBANK,2.78,3.15,2.8,3.05,3866000,2031015,Thursday,1996-02-02,2,6,True,True,0.27,9.71,True,True,0.48,18.53,True,True,0.8900000000000001,29.37,True
1996-02-15,HDFCBANK,3.05,3.8,3.33,3.68,9677000,4388835,Thursday,1996-02-09,3,7,False,False,0.6300000000000003,20.66,True,True,0.48,18.53,True,True,0.8900000000000001,29.37,True
1996-02-22,HDFCBANK,3.68,3.68,3.3,3.42,4902000,2904400,Thursday,1996-02-16,4,8,True,True,-0.26000000000000023,-7.07,False,True,0.48,18.53,True,True,0.8900000000000001,29.37,True
