Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-07,HINDALCO,75.0,76.67,72.67,72.67,14250,654000,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-14,HINDALCO,70.0,72.67,70.0,71.33,9000,53500,Monday,,,False,False,-1.3400000000000034,-1.84,False,False,,,False,True,,,False
1994-11-21,HINDALCO,71.67,75.67,71.67,75.67,6750,170250,Monday,,,False,False,4.340000000000003,6.08,True,False,,,False,True,,,False
1994-11-28,HINDALCO,76.67,79.0,76.67,76.67,9000,172500,Monday,,,False,False,1.0,1.32,True,False,,,False,True,,,False
1994-12-05,HINDALCO,76.67,76.67,73.33,73.33,90000,5610000,Monday,1,,False,False,-3.3400000000000034,-4.36,False,True,-4.790000000000006,-6.06,False,True,,,False
1994-12-12,HINDALCO,71.67,75.0,70.67,75.0,13500,112500,Monday,2,,True,False,1.6700000000000017,2.28,True,True,-4.790000000000006,-6.06,False,True,,,False
1994-12-19,HINDALCO,73.0,77.5,72.33,73.33,50250,110000,Monday,3,,False,False,-1.6700000000000017,-2.23,False,True,-4.790000000000006,-6.06,False,True,,,False
1994-12-26,HINDALCO,74.67,75.67,74.0,74.21,15000,500940,Monday,4,,True,False,0.8799999999999955,1.2,True,True,-4.790000000000006,-6.06,False,True,,,False
1995-01-02,HINDALCO,74.0,75.0,71.67,74.0,18750,55500,Monday,1,1,False,False,-0.20999999999999375,-0.28,False,False,-5.8799999999999955,-7.92,False,False,-12.669999999999995,-17.07,False
1995-01-09,HINDALCO,73.33,73.33,66.67,69.33,165750,5408000,Monday,2,2,True,True,-4.670000000000002,-6.31,False,False,-5.8799999999999955,-7.92,False,False,-12.669999999999995,-17.07,False
1995-01-16,HINDALCO,66.67,69.67,66.67,68.8,24000,1135200,Monday,3,3,False,False,-0.5300000000000011,-0.76,False,False,-5.8799999999999955,-7.92,False,False,-12.669999999999995,-17.07,False
1995-01-23,HINDALCO,66.67,67.93,64.0,66.33,13500,149250,Monday,4,4,True,True,-2.469999999999999,-3.59,False,False,-5.8799999999999955,-7.92,False,False,-12.669999999999995,-17.07,False
1995-01-30,HINDALCO,66.67,74.0,66.0,69.0,27750,310500,Monday,5,5,False,False,2.6700000000000017,4.03,True,False,-5.8799999999999955,-7.92,False,False,-12.669999999999995,-17.07,False
1995-02-06,HINDALCO,68.0,68.0,64.0,67.07,14250,201200,Monday,1,6,False,True,-1.9300000000000068,-2.8,False,True,-3.6599999999999966,-5.36,False,False,-12.669999999999995,-17.07,False
1995-02-13,HINDALCO,66.33,66.33,62.33,62.33,7500,46750,Monday,2,7,True,False,-4.739999999999995,-7.07,False,True,-3.6599999999999966,-5.36,False,False,-12.669999999999995,-17.07,False
1995-02-20,HINDALCO,62.0,63.33,60.0,62.67,162000,987000,Monday,3,8,False,True,0.3400000000000034,0.55,True,True,-3.6599999999999966,-5.36,False,False,-12.669999999999995,-17.07,False
1995-02-27,HINDALCO,62.67,65.07,62.67,65.0,173250,7848750,Monday,4,9,True,False,2.3299999999999983,3.72,True,True,-3.6599999999999966,-5.36,False,False,-12.669999999999995,-17.07,False
1995-03-06,HINDALCO,61.67,65.0,61.67,63.38,162750,1806235,Monday,1,10,False,True,-1.6199999999999974,-2.49,False,False,-5.200000000000003,-8.04,False,False,-12.669999999999995,-17.07,False
1995-03-13,HINDALCO,61.33,64.33,60.33,63.33,64500,190000,Monday,2,11,True,False,-0.05000000000000426,-0.08,False,False,-5.200000000000003,-8.04,False,False,-12.669999999999995,-17.07,False
1995-03-20,HINDALCO,62.0,63.0,60.0,60.13,18750,360800,Monday,3,12,False,True,-3.1999999999999957,-5.05,False,False,-5.200000000000003,-8.04,False,False,-12.669999999999995,-17.07,False
1995-03-27,HINDALCO,60.0,64.33,59.4,59.47,24000,178400,Monday,4,13,True,False,-0.6600000000000037,-1.1,False,False,-5.200000000000003,-8.04,False,False,-12.669999999999995,-17.07,False
1995-04-03,HINDALCO,59.0,62.0,58.67,62.0,113250,372000,Monday,1,14,False,True,2.530000000000001,4.25,True,True,-8.07,-13.57,False,False,-12.669999999999995,-17.07,False
1995-04-10,HINDALCO,60.67,60.73,60.2,60.67,12750,182000,Monday,2,15,True,False,-1.3299999999999983,-2.15,False,True,-8.07,-13.57,False,False,-12.669999999999995,-17.07,False
