Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-10,HINDALCO,75.0,76.67,75.0,75.0,5250,112500,Thursday,1994-11-04,,,False,False,,,False,False,,,False,True,,,False
1994-11-17,HINDALCO,72.67,72.67,70.0,71.33,18000,53500,Thursday,1994-11-11,,,False,False,-3.6700000000000017,-4.89,False,False,,,False,True,,,False
1994-11-24,HINDALCO,71.67,72.33,71.67,72.33,4500,54250,Thursday,1994-11-18,,,False,False,1.0,1.4,True,False,,,False,True,,,False
1994-12-01,HINDALCO,72.33,79.0,72.33,77.67,9000,233000,Thursday,1994-11-25,1,,False,False,5.340000000000003,7.38,True,True,-4.790000000000006,-6.06,False,True,,,False
1994-12-08,HINDALCO,79.0,79.0,73.33,73.33,92250,5610000,Thursday,1994-12-02,2,,True,False,-4.340000000000003,-5.59,False,True,-4.790000000000006,-6.06,False,True,,,False
1994-12-15,HINDALCO,71.67,72.33,70.67,72.33,12000,162750,Thursday,1994-12-09,3,,False,False,-1.0,-1.36,False,True,-4.790000000000006,-6.06,False,True,,,False
1994-12-22,HINDALCO,75.0,77.5,72.33,74.67,50250,56000,Thursday,1994-12-16,4,,True,False,2.3400000000000034,3.24,True,True,-4.790000000000006,-6.06,False,True,,,False
1994-12-29,HINDALCO,73.33,75.67,73.33,75.0,9750,112500,Thursday,1994-12-23,5,,False,False,0.3299999999999983,0.44,True,True,-4.790000000000006,-6.06,False,True,,,False
1995-01-05,HINDALCO,74.0,75.0,71.67,73.33,24750,165000,Thursday,1994-12-30,1,1,False,False,-1.6700000000000017,-2.23,False,False,-5.8799999999999955,-7.92,False,False,-12.669999999999995,-17.07,False
1995-01-12,HINDALCO,74.0,74.0,66.67,67.0,88500,5025000,Thursday,1995-01-06,2,2,True,True,-6.329999999999998,-8.63,False,False,-5.8799999999999955,-7.92,False,False,-12.669999999999995,-17.07,False
1995-01-19,HINDALCO,69.33,69.67,66.67,69.67,85500,261250,Thursday,1995-01-13,3,3,False,False,2.6700000000000017,3.99,True,False,-5.8799999999999955,-7.92,False,False,-12.669999999999995,-17.07,False
1995-01-26,HINDALCO,69.0,69.0,64.0,65.47,27750,147300,Thursday,1995-01-20,4,4,True,True,-4.200000000000003,-6.03,False,False,-5.8799999999999955,-7.92,False,False,-12.669999999999995,-17.07,False
1995-02-02,HINDALCO,66.6,74.0,66.0,69.33,25500,572000,Thursday,1995-01-27,1,5,False,False,3.8599999999999994,5.9,True,True,-3.6599999999999966,-5.36,False,False,-12.669999999999995,-17.07,False
1995-02-09,HINDALCO,69.67,69.67,64.0,67.33,15750,50500,Thursday,1995-02-03,2,6,True,True,-2.0,-2.88,False,True,-3.6599999999999966,-5.36,False,False,-12.669999999999995,-17.07,False
1995-02-16,HINDALCO,67.33,67.33,63.67,65.67,9750,98500,Thursday,1995-02-10,3,7,False,False,-1.6599999999999966,-2.47,False,True,-3.6599999999999966,-5.36,False,False,-12.669999999999995,-17.07,False
1995-02-23,HINDALCO,62.33,63.33,60.0,62.67,147000,47000,Thursday,1995-02-17,4,8,True,True,-3.0,-4.57,False,True,-3.6599999999999966,-5.36,False,False,-12.669999999999995,-17.07,False
1995-03-02,HINDALCO,62.0,65.07,62.0,64.67,68250,1552000,Thursday,1995-02-24,1,9,False,False,2.0,3.19,True,False,-5.200000000000003,-8.04,False,False,-12.669999999999995,-17.07,False
