Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-01,HINDALCO,75.0,79.0,70.0,79.0,33750,296250,Tuesday,False,,,False,True,,,False
1994-12-01,HINDALCO,77.67,79.0,70.67,74.21,174000,500940,Thursday,True,-4.790000000000006,-6.06,False,True,,,False
1995-01-01,HINDALCO,74.0,75.0,64.0,68.33,228000,358750,Sunday,False,-5.8799999999999955,-7.92,False,False,-12.669999999999995,-17.07,False
1995-02-01,HINDALCO,68.33,74.0,60.0,64.67,210000,291000,Wednesday,True,-3.6599999999999966,-5.36,False,False,-12.669999999999995,-17.07,False
1995-03-01,HINDALCO,62.67,65.07,59.4,59.47,438750,178400,Wednesday,False,-5.200000000000003,-8.04,False,False,-12.669999999999995,-17.07,False
1995-04-01,HINDALCO,59.0,62.0,50.67,51.4,273750,462600,Saturday,True,-8.07,-13.57,False,False,-12.669999999999995,-17.07,False
1995-05-01,HINDALCO,51.33,62.33,46.0,56.53,269250,424000,Monday,False,5.130000000000003,9.98,True,False,-12.669999999999995,-17.07,False
1995-06-01,HINDALCO,57.4,57.73,51.67,51.67,300750,77500,Thursday,True,-4.859999999999999,-8.6,False,False,-12.669999999999995,-17.07,False
1995-07-01,HINDALCO,51.33,62.0,50.0,60.4,3843000,182377792,Saturday,False,8.729999999999997,16.9,True,False,-12.669999999999995,-17.07,False
1995-08-01,HINDALCO,60.0,66.33,60.0,64.87,1392750,194600,Tuesday,True,4.470000000000006,7.4,True,False,-12.669999999999995,-17.07,False
1995-09-01,HINDALCO,65.0,66.6,61.33,64.67,2439000,145500,Friday,False,-0.20000000000000284,-0.31,False,False,-12.669999999999995,-17.07,False
1995-10-01,HINDALCO,63.33,68.0,62.0,64.92,773250,1899008,Sunday,True,0.25,0.39,True,False,-12.669999999999995,-17.07,False
1995-11-01,HINDALCO,64.47,64.67,54.33,57.7,484500,476025,Wednesday,False,-7.219999999999999,-11.12,False,False,-12.669999999999995,-17.07,False
1995-12-01,HINDALCO,58.0,61.9,57.42,61.54,1860000,600015,Friday,True,3.8399999999999963,6.66,True,False,-12.669999999999995,-17.07,False
1996-01-01,HINDALCO,61.54,67.67,58.0,60.4,1326750,951300,Monday,False,-1.1400000000000006,-1.85,False,True,4.289999999999999,6.97,True
1996-02-01,HINDALCO,60.4,82.0,60.67,75.24,5180250,6263453,Thursday,True,14.839999999999996,24.57,True,True,4.289999999999999,6.97,True
1996-03-01,HINDALCO,75.24,76.93,69.99,75.17,1449000,3326125,Friday,False,-0.06999999999999318,-0.09,False,True,4.289999999999999,6.97,True
1996-04-01,HINDALCO,75.17,89.99,75.0,87.21,1621500,15304770,Monday,True,12.039999999999992,16.02,True,True,4.289999999999999,6.97,True
1996-05-01,HINDALCO,87.21,98.93,83.34,88.95,1878750,9473530,Wednesday,False,1.740000000000009,2.0,True,True,4.289999999999999,6.97,True
1996-06-01,HINDALCO,88.95,94.99,80.93,83.13,2670750,4426673,Saturday,True,-5.820000000000007,-6.54,False,True,4.289999999999999,6.97,True
1996-07-01,HINDALCO,82.43,82.93,61.67,67.81,3615000,33213212,Monday,False,-15.319999999999993,-18.43,False,True,4.289999999999999,6.97,True
1996-08-01,HINDALCO,68.6,68.67,62.67,67.47,2212500,1012000,Thursday,True,-0.3400000000000034,-0.5,False,True,4.289999999999999,6.97,True
1996-09-01,HINDALCO,68.67,72.1,66.0,68.44,3460750,6912945,Sunday,False,0.9699999999999989,1.44,True,True,4.289999999999999,6.97,True
1996-10-01,HINDALCO,68.9,70.0,56.28,58.73,1534500,5021415,Tuesday,True,-9.71,-14.19,False,True,4.289999999999999,6.97,True
1996-11-01,HINDALCO,58.25,60.0,53.0,58.51,2184000,2194125,Friday,False,-0.21999999999999886,-0.37,False,True,4.289999999999999,6.97,True
1996-12-01,HINDALCO,58.7,67.38,55.8,65.83,1725000,4377695,Sunday,True,7.32,12.51,True,True,4.289999999999999,6.97,True
1997-01-01,HINDALCO,67.0,84.0,66.11,73.96,3299000,1627010,Wednesday,False,8.129999999999995,12.35,True,False,9.14,13.88,True
1997-02-01,HINDALCO,74.0,82.5,70.0,81.32,1382500,5245140,Saturday,True,7.359999999999999,9.95,True,False,9.14,13.88,True
1997-03-01,HINDALCO,82.5,99.2,82.5,90.62,4792000,4938790,Saturday,False,9.300000000000011,11.44,True,False,9.14,13.88,True
1997-04-01,HINDALCO,92.0,98.0,90.0,93.78,3955500,16552170,Tuesday,True,3.1599999999999966,3.49,True,False,9.14,13.88,True
1997-05-01,HINDALCO,93.0,95.5,86.6,92.95,2707000,1301300,Thursday,False,-0.8299999999999983,-0.89,False,False,9.14,13.88,True
1997-06-01,HINDALCO,93.3,98.9,92.5,97.43,4585000,61968660,Sunday,True,4.480000000000004,4.82,True,False,9.14,13.88,True
1997-07-01,HINDALCO,98.01,115.95,94.0,115.25,8001500,96521872,Tuesday,False,17.819999999999993,18.29,True,False,9.14,13.88,True
1997-08-01,HINDALCO,114.4,118.5,94.0,96.2,3658500,18374200,Friday,True,-19.049999999999997,-16.53,False,False,9.14,13.88,True
1997-09-01,HINDALCO,96.4,107.5,95.0,106.29,2149500,35502528,Monday,False,10.090000000000003,10.49,True,False,9.14,13.88,True
1997-10-01,HINDALCO,103.0,103.32,90.0,93.96,1948500,1409400,Wednesday,True,-12.330000000000013,-11.6,False,False,9.14,13.88,True
1997-11-01,HINDALCO,94.85,97.8,81.5,83.4,3389500,8923800,Saturday,False,-10.559999999999988,-11.24,False,False,9.14,13.88,True
1997-12-01,HINDALCO,82.4,83.5,67.2,74.97,3304500,9146340,Monday,True,-8.430000000000007,-10.11,False,False,9.14,13.88,True
1998-01-01,HINDALCO,74.5,81.7,57.1,59.82,3717500,10976053,Thursday,False,-15.149999999999999,-20.21,False,True,-23.769999999999996,-31.71,False
1998-02-01,HINDALCO,60.03,65.99,59.8,64.03,3037500,20167876,Sunday,True,4.210000000000001,7.04,True,True,-23.769999999999996,-31.71,False
1998-03-01,HINDALCO,65.5,70.8,62.63,66.75,4590500,22693300,Sunday,False,2.719999999999999,4.25,True,True,-23.769999999999996,-31.71,False
1998-04-01,HINDALCO,67.3,88.47,66.7,75.68,16541500,26414064,Wednesday,True,8.930000000000007,13.38,True,True,-23.769999999999996,-31.71,False
1998-05-01,HINDALCO,77.18,82.0,60.0,61.33,17225500,155361552,Friday,False,-14.350000000000009,-18.96,False,True,-23.769999999999996,-31.71,False
1998-06-01,HINDALCO,62.9,68.6,55.79,66.99,10167500,5124353,Monday,True,5.659999999999997,9.23,True,True,-23.769999999999996,-31.71,False
1998-07-01,HINDALCO,66.01,66.7,60.31,61.34,4901000,2085560,Wednesday,False,-5.6499999999999915,-8.43,False,True,-23.769999999999996,-31.71,False
1998-08-01,HINDALCO,60.5,61.0,41.6,42.92,6816500,12509722,Saturday,True,-18.42,-30.03,False,True,-23.769999999999996,-31.71,False
1998-09-01,HINDALCO,41.1,54.0,40.1,51.26,18612500,27424098,Tuesday,False,8.339999999999996,19.43,True,True,-23.769999999999996,-31.71,False
1998-10-01,HINDALCO,49.1,54.9,47.9,50.86,14634000,3839930,Thursday,True,-0.3999999999999986,-0.78,False,True,-23.769999999999996,-31.71,False
1998-11-01,HINDALCO,50.9,56.3,48.75,49.91,12835000,8085420,Sunday,False,-0.9500000000000028,-1.87,False,True,-23.769999999999996,-31.71,False
1998-12-01,HINDALCO,49.95,53.9,48.95,51.2,8845000,40908800,Tuesday,True,1.2900000000000063,2.58,True,True,-23.769999999999996,-31.71,False
1999-01-01,HINDALCO,51.7,59.28,48.8,49.6,10867500,12499200,Friday,False,-1.6000000000000014,-3.13,False,False,30.14999999999999,58.89,True
1999-02-01,HINDALCO,49.88,50.0,42.81,43.6,5644000,17963200,Monday,True,-6.0,-12.1,False,False,30.14999999999999,58.89,True
1999-03-01,HINDALCO,43.1,47.52,38.4,46.3,23204820,45388816,Monday,False,2.6999999999999957,6.19,True,False,30.14999999999999,58.89,True
1999-04-01,HINDALCO,47.2,62.5,44.5,56.5,21497150,40729156,Thursday,True,10.200000000000003,22.03,True,False,30.14999999999999,58.89,True
1999-05-01,HINDALCO,56.6,68.25,53.95,57.4,22889810,18200966,Saturday,False,0.8999999999999986,1.59,True,False,30.14999999999999,58.89,True
1999-06-01,HINDALCO,57.0,69.7,54.3,63.1,15691460,99270472,Tuesday,True,5.700000000000003,9.93,True,False,30.14999999999999,58.89,True
1999-07-01,HINDALCO,63.6,96.8,63.6,85.04,52131600,55009828,Thursday,False,21.940000000000005,34.77,True,False,30.14999999999999,58.89,True
1999-08-01,HINDALCO,84.01,102.5,83.0,90.01,16825630,68113456,Sunday,True,4.969999999999999,5.84,True,False,30.14999999999999,58.89,True
1999-09-01,HINDALCO,92.3,96.5,87.03,89.49,10689350,36875252,Wednesday,False,-0.5200000000000102,-0.58,False,False,30.14999999999999,58.89,True
1999-10-01,HINDALCO,89.5,94.9,73.0,73.54,16232900,41537480,Friday,True,-15.949999999999989,-17.82,False,False,30.14999999999999,58.89,True
1999-11-01,HINDALCO,72.6,90.69,72.0,84.85,10527170,54916616,Monday,False,11.309999999999988,15.38,True,False,30.14999999999999,58.89,True
1999-12-01,HINDALCO,86.5,88.9,77.5,81.35,7782360,6060203,Wednesday,True,-3.5,-4.12,False,False,30.14999999999999,58.89,True
