Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-10,HINDUNILVR,65.0,66.0,65.0,66.0,1500,99000,Thursday,1994-11-04,,,False,False,,,False,False,,,False,True,,,False
1994-11-17,HINDUNILVR,64.5,65.0,63.5,65.0,32500,130000,Thursday,1994-11-11,,,False,False,-1.0,-1.52,False,False,,,False,True,,,False
1994-11-24,HINDUNILVR,65.0,67.0,64.4,64.47,52500,2836900,Thursday,1994-11-18,,,False,False,-0.5300000000000011,-0.82,False,False,,,False,True,,,False
1994-12-01,HINDUNILVR,65.0,65.5,64.0,64.25,6000,64250,Thursday,1994-11-25,1,,False,False,-0.21999999999999886,-0.34,False,True,-6.0,-9.16,False,True,,,False
1994-12-08,HINDUNILVR,65.0,65.0,59.0,59.0,41500,2065000,Thursday,1994-12-02,2,,True,False,-5.25,-8.17,False,True,-6.0,-9.16,False,True,,,False
1994-12-15,HINDUNILVR,59.5,60.0,58.0,60.0,90000,210000,Thursday,1994-12-09,3,,False,False,1.0,1.69,True,True,-6.0,-9.16,False,True,,,False
1994-12-22,HINDUNILVR,60.0,60.5,58.0,58.7,25500,58700,Thursday,1994-12-16,4,,True,False,-1.2999999999999972,-2.17,False,True,-6.0,-9.16,False,True,,,False
1994-12-29,HINDUNILVR,59.8,60.0,58.5,58.6,7000,58600,Thursday,1994-12-23,5,,False,False,-0.10000000000000142,-0.17,False,True,-6.0,-9.16,False,True,,,False
1995-01-05,HINDUNILVR,59.5,60.0,56.5,56.5,19000,141250,Thursday,1994-12-30,1,1,False,False,-2.1000000000000014,-3.58,False,False,-0.5,-0.84,False,False,2.700000000000003,4.54,True
1995-01-12,HINDUNILVR,56.3,58.0,53.5,57.0,32500,399000,Thursday,1995-01-06,2,2,True,True,0.5,0.88,True,False,-0.5,-0.84,False,False,2.700000000000003,4.54,True
1995-01-19,HINDUNILVR,56.0,61.0,56.0,60.0,42500,840000,Thursday,1995-01-13,3,3,False,False,3.0,5.26,True,False,-0.5,-0.84,False,False,2.700000000000003,4.54,True
1995-01-26,HINDUNILVR,60.25,60.25,56.8,57.0,50500,370500,Thursday,1995-01-20,4,4,True,True,-3.0,-5.0,False,False,-0.5,-0.84,False,False,2.700000000000003,4.54,True
1995-02-02,HINDUNILVR,57.25,61.0,55.0,59.9,189500,3534100,Thursday,1995-01-27,1,5,False,False,2.8999999999999986,5.09,True,True,-1.8400000000000034,-3.12,False,False,2.700000000000003,4.54,True
1995-02-09,HINDUNILVR,59.2,60.5,58.5,59.5,79000,327250,Thursday,1995-02-03,2,6,True,True,-0.3999999999999986,-0.67,False,True,-1.8400000000000034,-3.12,False,False,2.700000000000003,4.54,True
1995-02-16,HINDUNILVR,59.5,60.0,56.5,58.0,100500,3480000,Thursday,1995-02-10,3,7,False,False,-1.5,-2.52,False,True,-1.8400000000000034,-3.12,False,False,2.700000000000003,4.54,True
1995-02-23,HINDUNILVR,56.0,58.5,55.0,57.5,23500,258750,Thursday,1995-02-17,4,8,True,True,-0.5,-0.86,False,True,-1.8400000000000034,-3.12,False,False,2.700000000000003,4.54,True
1995-03-02,HINDUNILVR,57.0,59.0,57.0,58.0,114500,3683000,Thursday,1995-02-24,1,9,False,False,0.5,0.87,True,False,-1.1599999999999966,-2.03,False,False,2.700000000000003,4.54,True
1995-03-09,HINDUNILVR,59.0,59.0,57.0,58.47,105000,1169500,Thursday,1995-03-03,2,10,True,True,0.46999999999999886,0.81,True,False,-1.1599999999999966,-2.03,False,False,2.700000000000003,4.54,True
1995-03-16,HINDUNILVR,57.95,59.0,50.0,57.5,191500,287500,Thursday,1995-03-10,3,11,False,False,-0.9699999999999989,-1.66,False,False,-1.1599999999999966,-2.03,False,False,2.700000000000003,4.54,True
1995-03-23,HINDUNILVR,56.0,58.5,55.5,56.6,63000,1047100,Thursday,1995-03-17,4,12,True,True,-0.8999999999999986,-1.57,False,False,-1.1599999999999966,-2.03,False,False,2.700000000000003,4.54,True
1995-03-30,HINDUNILVR,56.5,57.7,56.0,56.5,81500,1017000,Thursday,1995-03-24,5,13,False,False,-0.10000000000000142,-0.18,False,False,-1.1599999999999966,-2.03,False,False,2.700000000000003,4.54,True
1995-04-06,HINDUNILVR,56.7,58.5,55.5,57.0,166000,2422500,Thursday,1995-03-31,1,14,False,True,0.5,0.88,True,True,-1.5,-2.68,False,False,2.700000000000003,4.54,True
