Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1994-01-01,HINDUNILVR,65.0,67.0,58.0,59.5,257500,59500,Saturday,True,,,False
1995-01-01,HINDUNILVR,59.5,64.7,50.0,62.2,12773500,2363600,Sunday,False,2.700000000000003,4.54,True
1996-01-01,HINDUNILVR,62.2,95.5,61.5,79.17,65781000,41049644,Monday,True,16.97,27.28,True
1997-01-01,HINDUNILVR,80.5,157.9,80.3,139.74,250695500,294792064,Wednesday,False,60.57000000000001,76.51,True
1998-01-01,HINDUNILVR,139.3,178.5,126.8,166.51,519050500,77427152,Thursday,True,26.769999999999982,19.16,True
1999-01-01,HINDUNILVR,166.9,280.99,164.62,213.66,226128950,55944736,Friday,False,47.150000000000006,28.32,True
2000-01-01,HINDUNILVR,230.0,323.4,163.0,206.55,384210513,242922016,Saturday,True,-7.109999999999985,-3.33,False
2001-01-01,HINDUNILVR,207.9,239.15,176.5,222.95,360304527,335937696,Monday,False,16.399999999999977,7.94,True
2002-01-01,HINDUNILVR,220.0,266.0,152.15,181.7,236603840,79374008,Tuesday,True,-41.25,-18.5,False
2003-01-01,HINDUNILVR,182.0,210.95,135.15,204.45,496213819,658922304,Wednesday,False,22.75,12.52,True
2004-01-01,HINDUNILVR,205.9,245.3,100.5,143.4,611577500,173879664,Thursday,True,-61.04999999999998,-29.86,False
2005-01-01,HINDUNILVR,145.0,200.8,125.5,197.2,580829608,1024091520,Saturday,False,53.79999999999998,37.52,True
2006-01-01,HINDUNILVR,199.5,296.0,180.0,216.4,825432948,1017485504,Sunday,True,19.200000000000017,9.74,True
2007-01-01,HINDUNILVR,217.8,229.9,165.05,213.7,696735413,361913120,Monday,False,-2.700000000000017,-1.25,False
2008-01-01,HINDUNILVR,213.25,267.8,169.0,250.3,728373419,380643744,Tuesday,True,36.60000000000002,17.13,True
2009-01-01,HINDUNILVR,251.0,306.7,210.85,264.8,855626192,418612768,Thursday,False,14.5,5.79,True
2010-01-01,HINDUNILVR,264.8,320.85,218.0,312.9,595414623,549299072,Friday,True,48.099999999999966,18.16,True
2011-01-01,HINDUNILVR,310.05,420.25,264.45,407.4,596354423,410948448,Saturday,False,94.5,30.2,True
2012-01-01,HINDUNILVR,408.15,580.45,374.35,524.85,540141978,424051488,Sunday,True,117.45000000000005,28.83,True
2013-01-01,HINDUNILVR,525.55,725.0,432.15,570.65,606997591,218289040,Tuesday,False,45.799999999999955,8.73,True
2014-01-01,HINDUNILVR,570.65,829.75,537.2,760.1,281525913,794266496,Wednesday,True,189.45000000000005,33.2,True
2015-01-01,HINDUNILVR,759.3,981.0,752.65,862.75,380890211,641336448,Thursday,False,102.64999999999998,13.5,True
2016-01-01,HINDUNILVR,860.0,954.0,766.4,826.35,322614205,586208512,Friday,True,-36.39999999999998,-4.22,False
2017-01-01,HINDUNILVR,828.0,1382.8,816.55,1367.85,295438603,1092920320,Sunday,False,541.4999999999999,65.53,True
2018-01-01,HINDUNILVR,1367.0,1869.5,1281.1,1819.65,329722363,1377604224,Monday,True,451.8000000000002,33.03,True
2019-01-01,HINDUNILVR,1824.8,2190.0,1650.0,1923.0,350156432,1358778368,Tuesday,False,103.34999999999991,5.68,True
2020-01-01,HINDUNILVR,1930.0,2614.3,1757.3,2395.4,935348983,4095740928,Wednesday,True,472.4000000000001,24.57,True
2021-01-01,HINDUNILVR,2395.4,2859.3,2120.0,2360.15,440212601,2651857408,Friday,False,-35.25,-1.47,False
2022-01-01,HINDUNILVR,2378.0,2741.6,1901.55,2561.05,3419539753,0,Saturday,True,200.9000000000001,8.51,True
2023-01-01,HINDUNILVR,2573.9,2693.5,2393.0,2457.3,118903911,0,Sunday,False,-103.75,-4.05,False
