Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1995-01-01,HONAUT,117.0,117.0,69.0,71.0,14700,7100,Sunday,False,,,False
1996-01-01,HONAUT,70.0,95.0,50.5,62.0,80200,12400,Monday,True,-9.0,-12.68,False
1997-01-01,HONAUT,65.0,91.0,39.95,53.85,415400,26925,Wednesday,False,-8.149999999999999,-13.15,False
1998-01-01,HONAUT,53.3,101.0,44.0,97.0,203500,145500,Thursday,True,43.15,80.13,True
1999-01-01,HONAUT,90.2,603.95,90.1,510.7,971000,2042800,Friday,False,413.7,426.49,True
2000-01-01,HONAUT,550.0,580.0,176.0,192.0,490721,76800,Saturday,True,-318.7,-62.4,False
2001-01-01,HONAUT,190.0,210.0,90.0,134.05,151477,2681,Monday,False,-57.94999999999999,-30.18,False
2002-01-01,HONAUT,133.5,339.75,127.1,316.75,873745,43276284,Tuesday,True,182.7,136.29,True
2003-01-01,HONAUT,322.0,480.0,220.0,449.95,1739234,4038301,Wednesday,False,133.2,42.05,True
2004-01-01,HONAUT,443.0,690.0,309.25,580.65,948360,807104,Thursday,True,130.7,29.05,True
2005-01-01,HONAUT,595.0,1119.0,540.0,1088.8,548605,2051299,Saturday,False,508.15,87.51,True
2006-01-01,HONAUT,1100.0,2038.45,926.0,1741.35,422541,1187601,Sunday,True,652.55,59.93,True
2007-01-01,HONAUT,1760.0,2690.0,1439.55,2460.55,517473,9485420,Monday,False,719.2000000000003,41.3,True
2008-01-01,HONAUT,2440.0,2610.0,653.1,874.4,131206,518519,Tuesday,True,-1586.15,-64.46,False
2009-01-01,HONAUT,890.5,2340.0,652.0,2157.5,303474,1823088,Thursday,False,1283.1,146.74,True
2010-01-01,HONAUT,2160.0,3274.0,2118.3,2368.8,786724,2037168,Friday,True,211.30000000000018,9.79,True
2011-01-01,HONAUT,2358.25,2932.45,1617.0,1722.7,339280,1328202,Saturday,False,-646.1000000000001,-27.28,False
2012-01-01,HONAUT,1720.0,3399.9,1695.0,2771.45,2175647,34036176,Sunday,True,1048.7499999999998,60.88,True
2013-01-01,HONAUT,2750.65,2788.4,2230.0,2773.85,468567,17236704,Tuesday,False,2.400000000000091,0.09,True
2014-01-01,HONAUT,2773.85,7495.0,2496.05,6968.0,374339,5755568,Wednesday,True,4194.15,151.2,True
2015-01-01,HONAUT,6940.05,9822.0,6529.1,9131.25,339635,5350913,Thursday,False,2163.25,31.05,True
2016-01-01,HONAUT,9025.1,10162.9,7701.0,8971.55,151255,10487742,Friday,True,-159.70000000000073,-1.75,False
2017-01-01,HONAUT,8995.0,21944.0,7577.9,19433.6,277114,25205378,Sunday,False,10462.05,116.61,True
2018-01-01,HONAUT,19650.0,24242.0,14751.0,21995.65,379931,15001034,Monday,True,2562.050000000003,13.18,True
2019-01-01,HONAUT,21988.1,29495.0,20611.25,27315.05,462295,23518258,Tuesday,False,5319.399999999998,24.18,True
2020-01-01,HONAUT,27350.0,39524.95,20148.6,37105.1,1198307,188011552,Wednesday,True,9790.05,35.84,True
2021-01-01,HONAUT,37260.0,49990.0,36550.0,42170.95,1446111,402015680,Friday,False,5065.8499999999985,13.65,True
2022-01-01,HONAUT,42170.95,46397.7,30185.35,41701.95,129181711,0,Saturday,True,-469.0,-1.11,False
2023-01-01,HONAUT,41686.0,41686.0,34343.4,35595.4,468270,0,Sunday,False,-6106.549999999996,-14.64,False
