Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2013-07-22,IBULHSGFIN,290.0,290.0,244.6,244.6,987997,13732334,Monday,,,False,False,,,False,False,,,False,False,,,False
2013-07-29,IBULHSGFIN,233.0,234.15,193.65,205.25,2348265,87131088,Monday,,,False,False,-39.349999999999994,-16.09,False,False,,,False,False,,,False
2013-08-05,IBULHSGFIN,212.0,212.0,186.1,195.1,2303246,172269792,Monday,1,,False,False,-10.150000000000006,-4.95,False,True,-12.75,-6.08,False,False,,,False
2013-08-12,IBULHSGFIN,203.5,207.0,184.15,189.1,2370398,88692440,Monday,2,,True,False,-6.0,-3.08,False,True,-12.75,-6.08,False,False,,,False
2013-08-19,IBULHSGFIN,182.2,213.7,180.5,209.75,1500028,57796404,Monday,3,,False,False,20.650000000000006,10.92,True,True,-12.75,-6.08,False,False,,,False
2013-08-26,IBULHSGFIN,203.0,212.9,177.0,197.05,2693330,167802656,Monday,4,,True,False,-12.699999999999989,-6.05,False,True,-12.75,-6.08,False,False,,,False
2013-09-02,IBULHSGFIN,197.0,211.9,183.0,209.35,1053351,31247372,Monday,1,,False,False,12.299999999999983,6.24,True,False,-14.200000000000017,-7.21,False,False,,,False
2013-09-09,IBULHSGFIN,204.55,218.85,200.4,209.35,576497,32555810,Monday,2,,True,False,0.0,0.0,False,False,-14.200000000000017,-7.21,False,False,,,False
2013-09-16,IBULHSGFIN,211.0,231.9,200.25,214.1,2322351,285349504,Monday,3,,False,False,4.75,2.27,True,False,-14.200000000000017,-7.21,False,False,,,False
2013-09-23,IBULHSGFIN,210.0,213.35,165.25,181.65,3960064,34924756,Monday,4,,True,False,-32.44999999999999,-15.16,False,False,-14.200000000000017,-7.21,False,False,,,False
