Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1997-09-22,ICICIBANK,7.0,10.45,7.0,10.27,106006500,161244128,Monday,,,False,False,,,False,False,,,False,False,,,False
1997-09-29,ICICIBANK,10.36,10.38,9.27,9.42,46096500,120321656,Monday,,,False,False,-0.8499999999999996,-8.28,False,False,,,False,False,,,False
1997-10-06,ICICIBANK,9.5,9.9,9.42,9.69,15112500,53086664,Monday,1,,False,False,0.2699999999999996,2.87,True,True,0.05000000000000071,0.52,True,False,,,False
1997-10-13,ICICIBANK,9.61,9.95,9.3,9.75,33359000,40696500,Monday,2,,True,False,0.0600000000000005,0.62,True,True,0.05000000000000071,0.52,True,False,,,False
1997-10-20,ICICIBANK,9.75,10.9,9.7,10.15,28059500,25146624,Monday,3,,False,False,0.40000000000000036,4.1,True,True,0.05000000000000071,0.52,True,False,,,False
1997-10-27,ICICIBANK,10.01,10.31,8.9,9.67,11509000,6154955,Monday,4,,True,False,-0.4800000000000004,-4.73,False,True,0.05000000000000071,0.52,True,False,,,False
1997-11-03,ICICIBANK,9.67,9.74,9.42,9.54,3842000,10212570,Monday,1,,False,False,-0.13000000000000078,-1.34,False,False,-1.0500000000000007,-10.86,False,False,,,False
1997-11-10,ICICIBANK,9.59,9.59,7.96,8.49,9895500,51805980,Monday,2,,True,False,-1.049999999999999,-11.01,False,False,-1.0500000000000007,-10.86,False,False,,,False
1997-11-17,ICICIBANK,8.64,8.8,8.2,8.57,3644500,1782560,Monday,3,,False,False,0.08000000000000007,0.94,True,False,-1.0500000000000007,-10.86,False,False,,,False
1997-11-24,ICICIBANK,8.49,8.84,8.32,8.62,1487000,1495570,Monday,4,,True,False,0.049999999999998934,0.58,True,False,-1.0500000000000007,-10.86,False,False,,,False
1997-12-01,ICICIBANK,8.5,8.55,7.45,7.46,3252500,11596570,Monday,1,,False,False,-1.1599999999999993,-13.46,False,True,-0.08999999999999986,-1.04,False,False,,,False
1997-12-08,ICICIBANK,7.64,7.64,7.05,7.25,2869500,2649875,Monday,2,,True,False,-0.20999999999999996,-2.82,False,True,-0.08999999999999986,-1.04,False,False,,,False
1997-12-15,ICICIBANK,7.29,8.4,7.23,8.31,2197000,6548280,Monday,3,,False,False,1.0600000000000005,14.62,True,True,-0.08999999999999986,-1.04,False,False,,,False
1997-12-22,ICICIBANK,8.35,8.7,8.18,8.53,1900500,2695480,Monday,4,,True,False,0.21999999999999886,2.65,True,True,-0.08999999999999986,-1.04,False,False,,,False
1997-12-29,ICICIBANK,8.62,8.85,8.39,8.65,2514000,3953050,Monday,5,,False,False,0.120000000000001,1.41,True,True,-0.08999999999999986,-1.04,False,False,,,False
1998-01-05,ICICIBANK,8.8,8.94,7.5,7.67,4031000,13641094,Monday,1,1,False,False,-0.9800000000000004,-11.33,False,False,0.5800000000000001,6.8,True,True,-4.119999999999999,-48.3,False
