Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2007-03-01,IDEA,51.0,61.8,50.64,56.76,613710196,566616896,Thursday,False,,,False,False,,,False
2007-04-01,IDEA,55.74,72.15,54.6,68.52,239591578,528831744,Sunday,True,11.759999999999998,20.72,True,False,,,False
2007-05-01,IDEA,69.0,77.67,67.26,75.51,242196738,894822784,Tuesday,False,6.990000000000009,10.2,True,False,,,False
2007-06-01,IDEA,76.62,76.86,66.0,74.7,206861977,1387349376,Friday,True,-0.8100000000000023,-1.07,False,False,,,False
2007-07-01,IDEA,75.3,81.24,70.83,77.76,203825524,620070592,Sunday,False,3.0600000000000023,4.1,True,False,,,False
2007-08-01,IDEA,76.77,77.46,62.85,73.65,152995172,1185945216,Wednesday,True,-4.109999999999999,-5.29,False,False,,,False
2007-09-01,IDEA,73.95,79.14,71.04,75.18,149015352,884003072,Saturday,False,1.5300000000000011,2.08,True,False,,,False
2007-10-01,IDEA,75.72,96.54,72.69,81.09,304426262,1508903680,Monday,True,5.909999999999997,7.86,True,False,,,False
2007-11-01,IDEA,83.28,83.28,69.06,73.59,93464822,238758224,Thursday,False,-7.5,-9.25,False,False,,,False
2007-12-01,IDEA,74.4,90.06,74.1,83.46,161044139,468885824,Saturday,True,9.86999999999999,13.41,True,False,,,False
2008-01-01,IDEA,81.06,89.7,57.66,74.07,153911505,1222075776,Tuesday,False,-9.39,-11.25,False,True,-51.86999999999999,-62.15,False
2008-02-01,IDEA,75.0,77.7,60.21,65.97,59592991,94474208,Friday,True,-8.099999999999994,-10.94,False,True,-51.86999999999999,-62.15,False
2008-03-01,IDEA,64.8,64.8,52.8,61.59,108295622,219990352,Saturday,False,-4.3799999999999955,-6.64,False,True,-51.86999999999999,-62.15,False
2008-04-01,IDEA,62.22,67.5,57.93,63.33,312509992,1206765824,Tuesday,True,1.7399999999999949,2.83,True,True,-51.86999999999999,-62.15,False
2008-05-01,IDEA,64.2,68.4,60.0,65.34,477339237,447014144,Thursday,False,2.010000000000005,3.17,True,True,-51.86999999999999,-62.15,False
2008-06-01,IDEA,65.58,67.2,55.59,56.04,231676149,507597344,Sunday,True,-9.300000000000004,-14.23,False,True,-51.86999999999999,-62.15,False
2008-07-01,IDEA,56.52,58.56,44.4,52.83,288216229,537701760,Tuesday,False,-3.210000000000001,-5.73,False,True,-51.86999999999999,-62.15,False
2008-08-01,IDEA,53.4,56.07,47.7,49.44,162566908,479837280,Friday,True,-3.3900000000000006,-6.42,False,True,-51.86999999999999,-62.15,False
2008-09-01,IDEA,49.47,52.62,39.9,45.09,181217807,778702272,Monday,False,-4.349999999999994,-8.8,False,True,-51.86999999999999,-62.15,False
2008-10-01,IDEA,46.14,47.04,20.4,25.53,226351871,321586688,Wednesday,True,-19.560000000000002,-43.38,False,True,-51.86999999999999,-62.15,False
2008-11-01,IDEA,27.0,32.04,23.94,28.11,135105224,323014528,Saturday,False,2.5799999999999983,10.11,True,True,-51.86999999999999,-62.15,False
2008-12-01,IDEA,28.74,35.04,22.26,31.59,130547513,175100272,Monday,True,3.4800000000000004,12.38,True,True,-51.86999999999999,-62.15,False
2009-01-01,IDEA,32.28,32.94,24.72,28.2,129078906,297893472,Thursday,False,-3.3900000000000006,-10.73,False,False,3.2399999999999984,10.26,True
2009-02-01,IDEA,28.26,31.5,25.86,28.2,140327552,191182880,Sunday,True,0.0,0.0,False,False,3.2399999999999984,10.26,True
2009-03-01,IDEA,27.06,32.01,25.2,30.06,164667677,366692096,Sunday,False,1.8599999999999994,6.6,True,False,3.2399999999999984,10.26,True
2009-04-01,IDEA,30.3,38.88,28.92,34.83,219637952,615347264,Wednesday,True,4.77,15.87,True,False,3.2399999999999984,10.26,True
2009-05-01,IDEA,36.0,51.75,33.51,50.49,421577318,3536870400,Friday,False,15.660000000000004,44.96,True,False,3.2399999999999984,10.26,True
2009-06-01,IDEA,50.55,55.08,42.36,42.78,455934031,1118618880,Monday,True,-7.710000000000001,-15.27,False,False,3.2399999999999984,10.26,True
2009-07-01,IDEA,42.93,49.68,37.98,47.37,280638615,697849152,Wednesday,False,4.589999999999996,10.73,True,False,3.2399999999999984,10.26,True
2009-08-01,IDEA,47.88,50.88,43.35,48.66,238170505,293869504,Saturday,True,1.2899999999999991,2.72,True,False,3.2399999999999984,10.26,True
2009-09-01,IDEA,48.42,49.92,44.7,45.15,192896992,303614336,Tuesday,False,-3.509999999999998,-7.21,False,False,3.2399999999999984,10.26,True
2009-10-01,IDEA,45.45,45.84,30.93,31.23,374650717,567102208,Thursday,True,-13.919999999999998,-30.83,False,False,3.2399999999999984,10.26,True
2009-11-01,IDEA,31.08,32.82,28.68,30.57,258147349,506773824,Sunday,False,-0.6600000000000001,-2.11,False,False,3.2399999999999984,10.26,True
2009-12-01,IDEA,30.78,36.9,30.78,34.83,236887234,226960000,Tuesday,True,4.259999999999998,13.94,True,False,3.2399999999999984,10.26,True
2010-01-01,IDEA,34.92,37.8,33.6,35.07,148246093,261838816,Friday,False,0.240000000000002,0.69,True,True,6.899999999999999,19.81,True
2010-02-01,IDEA,34.98,37.11,33.06,36.66,89254806,368606464,Monday,True,1.5899999999999963,4.53,True,True,6.899999999999999,19.81,True
2010-03-01,IDEA,36.6,41.46,35.52,39.3,124977359,173245472,Monday,False,2.6400000000000006,7.2,True,True,6.899999999999999,19.81,True
2010-04-01,IDEA,39.6,41.46,36.33,36.69,151315115,273065952,Thursday,True,-2.6099999999999994,-6.64,False,True,6.899999999999999,19.81,True
2010-05-01,IDEA,36.6,39.42,29.1,30.3,306144081,132018720,Saturday,False,-6.389999999999997,-17.42,False,True,6.899999999999999,19.81,True
2010-06-01,IDEA,30.39,35.94,29.1,35.61,234453969,308003392,Tuesday,True,5.309999999999999,17.52,True,True,6.899999999999999,19.81,True
2010-07-01,IDEA,35.52,42.66,33.0,42.36,359775774,734317120,Thursday,False,6.75,18.96,True,True,6.899999999999999,19.81,True
2010-08-01,IDEA,42.66,45.24,40.29,42.93,180091496,334856960,Sunday,True,0.5700000000000003,1.35,True,True,6.899999999999999,19.81,True
2010-09-01,IDEA,43.05,48.0,42.39,44.19,195853096,635787584,Wednesday,False,1.259999999999998,2.94,True,True,6.899999999999999,19.81,True
2010-10-01,IDEA,44.4,45.54,38.52,40.47,161951388,231509696,Friday,True,-3.719999999999999,-8.42,False,True,6.899999999999999,19.81,True
2010-11-01,IDEA,40.65,45.78,39.6,43.53,159609753,688817344,Monday,False,3.0600000000000023,7.56,True,True,6.899999999999999,19.81,True
2010-12-01,IDEA,43.47,43.8,39.48,41.73,133468749,163463440,Wednesday,True,-1.8000000000000043,-4.14,False,True,6.899999999999999,19.81,True
2011-01-01,IDEA,41.88,43.62,39.06,41.88,95135642,179272656,Saturday,False,0.15000000000000568,0.36,True,False,7.650000000000006,18.33,True
2011-02-01,IDEA,42.03,43.62,31.23,34.53,187625412,566219136,Tuesday,True,-7.350000000000001,-17.55,False,False,7.650000000000006,18.33,True
2011-03-01,IDEA,34.53,41.04,34.08,40.47,109548595,273409856,Tuesday,False,5.939999999999998,17.2,True,False,7.650000000000006,18.33,True
2011-04-01,IDEA,40.5,48.54,37.8,41.34,116928522,199926720,Friday,True,0.8700000000000045,2.15,True,False,7.650000000000006,18.33,True
2011-05-01,IDEA,41.7,41.7,37.26,41.19,54240983,52191988,Sunday,False,-0.15000000000000568,-0.36,False,False,7.650000000000006,18.33,True
2011-06-01,IDEA,41.25,48.42,40.2,47.91,185557530,694016896,Wednesday,True,6.719999999999999,16.31,True,False,7.650000000000006,18.33,True
2011-07-01,IDEA,48.3,57.24,45.54,56.61,391271043,4001594368,Friday,False,8.700000000000003,18.16,True,False,7.650000000000006,18.33,True
2011-08-01,IDEA,57.0,61.05,53.82,59.97,344142729,1149453056,Monday,True,3.3599999999999994,5.94,True,False,7.650000000000006,18.33,True
2011-09-01,IDEA,60.3,62.22,55.89,59.1,177146071,765865600,Thursday,False,-0.8699999999999974,-1.45,False,False,7.650000000000006,18.33,True
2011-10-01,IDEA,58.8,60.0,51.63,56.76,153195942,532379552,Saturday,True,-2.3400000000000034,-3.96,False,False,7.650000000000006,18.33,True
2011-11-01,IDEA,56.52,61.89,53.52,58.77,291103689,5005661184,Tuesday,False,2.010000000000005,3.54,True,False,7.650000000000006,18.33,True
