Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
2007-01-01,IDEA,51.0,96.54,50.64,83.46,2367131760,468885824,Monday,False,,,False
2008-01-01,IDEA,81.06,89.7,20.4,31.59,2467331048,175100272,Tuesday,True,-51.86999999999999,-62.15,False
2009-01-01,IDEA,32.28,55.08,24.72,34.83,3112614848,226960000,Thursday,False,3.2399999999999984,10.26,True
2010-01-01,IDEA,34.92,48.0,29.1,41.73,2245141679,163463440,Friday,True,6.899999999999999,19.81,True
2011-01-01,IDEA,41.88,62.22,31.23,49.38,2354185486,299310304,Saturday,False,7.650000000000006,18.33,True
2012-01-01,IDEA,49.32,63.84,39.36,62.28,1281581484,117082352,Sunday,True,12.899999999999999,26.12,True
2013-01-01,IDEA,62.28,113.04,60.66,100.14,1982714051,317892256,Tuesday,False,37.86,60.79,True
2014-01-01,IDEA,100.74,106.86,75.06,92.28,2540404198,289431136,Wednesday,True,-7.859999999999999,-7.85,False
2015-01-01,IDEA,92.4,122.4,76.11,86.19,2091273821,680122240,Thursday,False,-6.090000000000003,-6.6,False
2016-01-01,IDEA,85.77,86.67,39.48,44.49,3247413152,456388000,Friday,True,-41.699999999999996,-48.38,False
2017-01-01,IDEA,44.7,74.1,39.78,64.89,7279394283,2507082752,Sunday,False,20.4,45.85,True
2018-01-01,IDEA,64.44,71.34,19.2,22.65,7931332715,276156704,Monday,True,-42.24,-65.09,False
2019-01-01,IDEA,22.8,22.86,2.4,6.15,38964546243,1046114624,Tuesday,False,-16.5,-72.85,False
2020-01-01,IDEA,6.2,13.5,2.7,10.65,110306755492,7815263744,Wednesday,True,4.5,73.17,True
2021-01-01,IDEA,10.75,16.8,4.55,15.35,84733187770,9757794304,Friday,False,4.699999999999999,44.13,True
2022-01-01,IDEA,15.35,16.05,7.6,7.9,38868934824,0,Saturday,True,-7.449999999999999,-48.53,False
2023-01-01,IDEA,7.9,8.6,5.7,6.95,8057493316,0,Sunday,False,-0.9500000000000002,-12.03,False
