Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2005-08-01,IDFC,30.0,36.2,25.13,33.08,979299554,324962080,Monday,True,,,False,False,,,False
2005-09-01,IDFC,33.45,38.33,32.8,35.47,386007476,166778688,Thursday,False,2.3900000000000006,7.22,True,False,,,False
2005-10-01,IDFC,35.72,36.6,29.9,32.47,131125312,227900128,Saturday,True,-3.0,-8.46,False,False,,,False
2005-11-01,IDFC,33.25,38.8,31.5,37.4,216754146,1631230080,Tuesday,False,4.93,15.18,True,False,,,False
2005-12-01,IDFC,37.75,38.9,33.5,36.58,230210592,213271312,Thursday,True,-0.8200000000000003,-2.19,False,False,,,False
2006-01-01,IDFC,37.0,37.2,33.0,34.85,104108004,201741344,Sunday,False,-1.7299999999999969,-4.73,False,True,2.3700000000000045,6.48,True
2006-02-01,IDFC,34.88,37.63,34.13,35.8,103508064,589664384,Wednesday,True,0.9499999999999957,2.73,True,True,2.3700000000000045,6.48,True
2006-03-01,IDFC,35.0,36.13,32.75,33.3,159591672,186580768,Wednesday,False,-2.5,-6.98,False,True,2.3700000000000045,6.48,True
2006-04-01,IDFC,34.0,39.0,32.5,36.6,134332738,34967052,Saturday,True,3.3000000000000043,9.91,True,True,2.3700000000000045,6.48,True
2006-05-01,IDFC,36.75,37.28,22.5,27.5,116983294,144741520,Monday,False,-9.100000000000001,-24.86,False,True,2.3700000000000045,6.48,True
2006-06-01,IDFC,28.0,29.73,23.52,27.02,83807434,36711464,Thursday,True,-0.4800000000000004,-1.75,False,True,2.3700000000000045,6.48,True
2006-07-01,IDFC,27.3,28.48,21.67,27.4,64149660,52682800,Saturday,False,0.379999999999999,1.41,True,True,2.3700000000000045,6.48,True
2006-08-01,IDFC,27.05,31.73,26.7,29.98,77042168,484625376,Tuesday,True,2.580000000000002,9.42,True,True,2.3700000000000045,6.48,True
2006-09-01,IDFC,30.75,34.0,26.4,33.78,50917818,212054192,Friday,False,3.8000000000000007,12.68,True,True,2.3700000000000045,6.48,True
2006-10-01,IDFC,34.0,41.75,32.5,39.35,232802942,556419840,Sunday,True,5.57,16.49,True,True,2.3700000000000045,6.48,True
