Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2015-11-01,IDFCFIRSTB,66.5,66.9,58.8,59.1,74747687,843932736,Sunday,False,,,False,False,,,False
2015-12-01,IDFCFIRSTB,59.5,62.4,54.05,60.85,62266317,73484040,Tuesday,True,1.75,2.96,True,False,,,False
2016-01-01,IDFCFIRSTB,61.4,61.4,43.1,52.55,70044463,158818816,Friday,False,-8.300000000000004,-13.64,False,True,-0.8000000000000043,-1.31,False
2016-02-01,IDFCFIRSTB,52.95,58.75,45.0,45.55,56668377,122530864,Monday,True,-7.0,-13.32,False,True,-0.8000000000000043,-1.31,False
2016-03-01,IDFCFIRSTB,46.0,51.05,43.9,48.2,81524514,132723424,Tuesday,False,2.6500000000000057,5.82,True,True,-0.8000000000000043,-1.31,False
2016-04-01,IDFCFIRSTB,48.2,55.1,46.8,47.85,68429753,265848800,Friday,True,-0.3500000000000014,-0.73,False,True,-0.8000000000000043,-1.31,False
2016-05-01,IDFCFIRSTB,47.9,50.4,46.0,48.15,100047078,84881184,Sunday,False,0.29999999999999716,0.63,True,True,-0.8000000000000043,-1.31,False
2016-06-01,IDFCFIRSTB,48.1,48.45,44.0,45.2,41829099,98362840,Wednesday,True,-2.9499999999999957,-6.13,False,True,-0.8000000000000043,-1.31,False
2016-07-01,IDFCFIRSTB,45.55,55.4,45.15,51.6,145468115,432718976,Friday,False,6.399999999999999,14.16,True,True,-0.8000000000000043,-1.31,False
2016-08-01,IDFCFIRSTB,52.4,56.8,48.05,56.05,110442490,398374528,Monday,True,4.449999999999996,8.62,True,True,-0.8000000000000043,-1.31,False
2016-09-01,IDFCFIRSTB,56.4,83.4,56.15,79.85,266352421,1542255104,Thursday,False,23.799999999999997,42.46,True,True,-0.8000000000000043,-1.31,False
2016-10-01,IDFCFIRSTB,81.3,81.45,72.8,79.55,215050888,251859280,Saturday,True,-0.29999999999999716,-0.38,False,True,-0.8000000000000043,-1.31,False
2016-11-01,IDFCFIRSTB,80.05,80.15,65.15,68.45,482366477,15845453824,Tuesday,False,-11.099999999999994,-13.95,False,True,-0.8000000000000043,-1.31,False
2016-12-01,IDFCFIRSTB,69.1,69.85,55.35,60.05,179495586,489101824,Thursday,True,-8.400000000000006,-12.27,False,True,-0.8000000000000043,-1.31,False
2017-01-01,IDFCFIRSTB,60.75,65.9,59.5,59.95,142347766,494036992,Sunday,False,-0.09999999999999432,-0.17,False,False,-5.799999999999997,-9.66,False
2017-02-01,IDFCFIRSTB,60.0,64.1,59.6,62.5,163141107,575244416,Wednesday,True,2.549999999999997,4.25,True,False,-5.799999999999997,-9.66,False
2017-03-01,IDFCFIRSTB,62.7,63.05,58.9,59.3,152530412,1226458240,Wednesday,False,-3.200000000000003,-5.12,False,False,-5.799999999999997,-9.66,False
2017-04-01,IDFCFIRSTB,59.5,66.95,57.95,65.75,275733833,1341248640,Saturday,True,6.450000000000003,10.88,True,False,-5.799999999999997,-9.66,False
2017-05-01,IDFCFIRSTB,66.1,67.0,56.3,57.55,239635968,429084224,Monday,False,-8.200000000000003,-12.47,False,False,-5.799999999999997,-9.66,False
2017-06-01,IDFCFIRSTB,57.55,59.6,54.55,54.7,136392662,347447616,Thursday,True,-2.8499999999999943,-4.95,False,False,-5.799999999999997,-9.66,False
