Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2017-10-26,IEX,50.0,55.33,50.0,52.09,113703716,136184944,Thursday,2017-10-20,,,False,False,,,False,True,,,False,False,,,False
2017-11-02,IEX,52.0,52.71,51.29,52.11,6711510,45148464,Thursday,2017-10-27,1,,False,False,0.01999999999999602,0.04,True,False,-0.6700000000000017,-1.29,False,False,,,False
2017-11-09,IEX,51.77,54.0,50.37,53.34,7360530,42210356,Thursday,2017-11-03,2,,True,False,1.230000000000004,2.36,True,False,-0.6700000000000017,-1.29,False,False,,,False
2017-11-16,IEX,52.73,53.67,49.67,50.28,4741560,158601488,Thursday,2017-11-10,3,,False,False,-3.0600000000000023,-5.74,False,False,-0.6700000000000017,-1.29,False,False,,,False
2017-11-23,IEX,50.5,52.63,50.0,51.89,2877780,59993660,Thursday,2017-11-17,4,,True,False,1.6099999999999994,3.2,True,False,-0.6700000000000017,-1.29,False,False,,,False
2017-11-30,IEX,51.54,52.33,50.39,51.14,1639080,10149275,Thursday,2017-11-24,5,,False,False,-0.75,-1.45,False,False,-0.6700000000000017,-1.29,False,False,,,False
2017-12-07,IEX,51.17,51.83,49.8,50.93,1111410,8441923,Thursday,2017-12-01,1,,False,False,-0.21000000000000085,-0.41,False,True,2.530000000000001,4.95,True,False,,,False
2017-12-14,IEX,50.67,55.0,50.67,52.9,13560090,20492284,Thursday,2017-12-08,2,,True,False,1.9699999999999989,3.87,True,True,2.530000000000001,4.95,True,False,,,False
2017-12-21,IEX,53.3,54.3,51.23,52.93,2110440,26496372,Thursday,2017-12-15,3,,False,False,0.030000000000001137,0.06,True,True,2.530000000000001,4.95,True,False,,,False
2017-12-28,IEX,53.0,54.67,52.67,54.0,10296720,276288608,Thursday,2017-12-22,4,,True,False,1.0700000000000003,2.02,True,True,2.530000000000001,4.95,True,False,,,False
2018-01-04,IEX,54.76,54.83,52.77,53.74,2128110,18872270,Thursday,2017-12-29,1,1,False,False,-0.259999999999998,-0.48,False,False,-0.28999999999999915,-0.54,False,True,1.6000000000000014,2.98,True
2018-01-11,IEX,54.03,55.9,52.67,53.52,9010080,32682416,Thursday,2018-01-05,2,2,True,True,-0.21999999999999886,-0.41,False,False,-0.28999999999999915,-0.54,False,True,1.6000000000000014,2.98,True
2018-01-18,IEX,53.67,55.67,52.72,53.82,6640830,91821456,Thursday,2018-01-12,3,3,False,False,0.29999999999999716,0.56,True,False,-0.28999999999999915,-0.54,False,True,1.6000000000000014,2.98,True
2018-01-25,IEX,53.67,54.5,52.5,53.49,2991990,13930400,Thursday,2018-01-19,4,4,True,True,-0.3299999999999983,-0.61,False,False,-0.28999999999999915,-0.54,False,True,1.6000000000000014,2.98,True
2018-02-01,IEX,53.47,54.17,53.0,53.56,1368300,16015474,Thursday,2018-01-26,1,5,False,False,0.07000000000000028,0.13,True,True,-4.740000000000002,-8.88,False,True,1.6000000000000014,2.98,True
2018-02-08,IEX,53.0,53.54,50.5,52.04,3989490,49104392,Thursday,2018-02-02,2,6,True,True,-1.5200000000000031,-2.84,False,True,-4.740000000000002,-8.88,False,True,1.6000000000000014,2.98,True
2018-02-15,IEX,51.52,52.5,51.29,51.52,1291110,15137040,Thursday,2018-02-09,3,7,False,False,-0.519999999999996,-1.0,False,True,-4.740000000000002,-8.88,False,True,1.6000000000000014,2.98,True
2018-02-22,IEX,52.16,52.16,49.57,49.66,1656750,13226000,Thursday,2018-02-16,4,8,True,True,-1.8600000000000065,-3.61,False,True,-4.740000000000002,-8.88,False,True,1.6000000000000014,2.98,True
2018-03-01,IEX,50.0,50.0,48.0,48.54,3883080,131219632,Thursday,2018-02-23,1,9,False,False,-1.1199999999999974,-2.26,False,False,4.789999999999999,9.85,True,True,1.6000000000000014,2.98,True
2018-03-08,IEX,48.67,49.0,46.73,47.77,1504770,42475604,Thursday,2018-03-02,2,10,True,True,-0.769999999999996,-1.59,False,False,4.789999999999999,9.85,True,True,1.6000000000000014,2.98,True
2018-03-15,IEX,48.33,49.8,47.5,49.27,1635480,22133050,Thursday,2018-03-09,3,11,False,False,1.5,3.14,True,False,4.789999999999999,9.85,True,True,1.6000000000000014,2.98,True
2018-03-22,IEX,49.33,50.34,48.04,48.69,1184850,21936042,Thursday,2018-03-16,4,12,True,True,-0.5800000000000054,-1.18,False,False,4.789999999999999,9.85,True,True,1.6000000000000014,2.98,True
2018-03-29,IEX,48.33,54.84,48.17,53.43,2105790,56575960,Thursday,2018-03-23,5,13,False,False,4.740000000000002,9.74,True,False,4.789999999999999,9.85,True,True,1.6000000000000014,2.98,True
2018-04-05,IEX,52.6,53.51,51.17,52.92,1446300,16903176,Thursday,2018-03-30,1,14,False,True,-0.509999999999998,-0.95,False,True,0.35999999999999943,0.67,True,True,1.6000000000000014,2.98,True
2018-04-12,IEX,52.9,55.0,52.0,53.38,2737170,18909922,Thursday,2018-04-06,2,15,True,False,0.46000000000000085,0.87,True,True,0.35999999999999943,0.67,True,True,1.6000000000000014,2.98,True
2018-04-19,IEX,53.5,55.13,53.0,54.94,3592230,88845024,Thursday,2018-04-13,3,16,False,True,1.5599999999999952,2.92,True,True,0.35999999999999943,0.67,True,True,1.6000000000000014,2.98,True
2018-04-26,IEX,54.89,55.96,54.17,55.41,2677440,25188074,Thursday,2018-04-20,4,17,True,False,0.46999999999999886,0.86,True,True,0.35999999999999943,0.67,True,True,1.6000000000000014,2.98,True
2018-05-03,IEX,55.02,55.44,52.17,52.56,2779680,8713673,Thursday,2018-04-27,1,18,False,True,-2.8499999999999943,-5.14,False,False,-1.1799999999999997,-2.19,False,True,1.6000000000000014,2.98,True
2018-05-10,IEX,52.46,54.83,52.0,54.74,1160940,20477610,Thursday,2018-05-04,2,19,True,False,2.1799999999999997,4.15,True,False,-1.1799999999999997,-2.19,False,True,1.6000000000000014,2.98,True
2018-05-17,IEX,54.34,54.83,53.22,54.75,1429110,11579978,Thursday,2018-05-11,3,20,False,True,0.00999999999999801,0.02,True,False,-1.1799999999999997,-2.19,False,True,1.6000000000000014,2.98,True
2018-05-24,IEX,54.69,55.0,52.67,53.23,1654230,9682692,Thursday,2018-05-18,4,21,True,False,-1.5200000000000031,-2.78,False,False,-1.1799999999999997,-2.19,False,True,1.6000000000000014,2.98,True
2018-05-31,IEX,53.33,54.67,51.37,52.61,3944520,114456744,Thursday,2018-05-25,5,22,False,True,-0.6199999999999974,-1.16,False,False,-1.1799999999999997,-2.19,False,True,1.6000000000000014,2.98,True
2018-06-07,IEX,52.08,53.8,51.63,53.12,2077620,4843103,Thursday,2018-06-01,1,23,False,False,0.509999999999998,0.97,True,True,2.719999999999999,5.17,True,True,1.6000000000000014,2.98,True
