Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2003-12-22,IGL,18.4,39.94,18.4,23.88,99224728,2369486336,Monday,,,False,False,,,False,True,,,False,False,,,False
2003-12-29,IGL,24.87,33.0,24.02,29.63,305735356,772318208,Monday,,,False,False,5.75,24.08,True,True,,,False,False,,,False
2004-01-05,IGL,29.76,29.93,24.0,25.76,177577778,534713472,Monday,1,1,False,False,-3.8699999999999974,-13.06,False,False,-9.669999999999998,-32.66,False,True,-11.36,-38.37,False
2004-01-12,IGL,25.92,25.94,22.84,22.96,63434515,294635456,Monday,2,2,True,True,-2.8000000000000007,-10.87,False,False,-9.669999999999998,-32.66,False,True,-11.36,-38.37,False
2004-01-19,IGL,23.18,23.8,19.34,21.06,78640629,298286272,Monday,3,3,False,False,-1.9000000000000021,-8.28,False,False,-9.669999999999998,-32.66,False,True,-11.36,-38.37,False
2004-01-26,IGL,21.6,22.13,19.8,19.94,28828975,105268344,Monday,4,4,True,True,-1.1199999999999974,-5.32,False,False,-9.669999999999998,-32.66,False,True,-11.36,-38.37,False
2004-02-02,IGL,20.14,20.14,17.72,18.32,52614640,150148336,Monday,1,5,False,False,-1.620000000000001,-8.12,False,True,-1.9299999999999997,-9.68,False,True,-11.36,-38.37,False
2004-02-09,IGL,18.48,20.85,18.3,20.57,76624866,462322976,Monday,2,6,True,True,2.25,12.28,True,True,-1.9299999999999997,-9.68,False,True,-11.36,-38.37,False
2004-02-16,IGL,20.67,21.1,18.8,19.05,44453790,153366032,Monday,3,7,False,False,-1.5199999999999996,-7.39,False,True,-1.9299999999999997,-9.68,False,True,-11.36,-38.37,False
2004-02-23,IGL,19.2,19.28,17.75,18.01,21680100,69304552,Monday,4,8,True,True,-1.0399999999999991,-5.46,False,True,-1.9299999999999997,-9.68,False,True,-11.36,-38.37,False
2004-03-01,IGL,18.36,19.18,18.0,18.73,25086825,92000264,Monday,1,9,False,False,0.7199999999999989,4.0,True,False,-1.4300000000000033,-7.94,False,True,-11.36,-38.37,False
2004-03-08,IGL,18.7,19.47,17.76,18.06,26251295,82912832,Monday,2,10,True,True,-0.6700000000000017,-3.58,False,False,-1.4300000000000033,-7.94,False,True,-11.36,-38.37,False
2004-03-15,IGL,18.1,18.4,15.52,15.62,20061790,67205672,Monday,3,11,False,False,-2.4399999999999995,-13.51,False,False,-1.4300000000000033,-7.94,False,True,-11.36,-38.37,False
2004-03-22,IGL,15.7,15.78,13.62,15.28,35171620,81024648,Monday,4,12,True,True,-0.33999999999999986,-2.18,False,False,-1.4300000000000033,-7.94,False,True,-11.36,-38.37,False
2004-03-29,IGL,15.4,18.36,15.3,17.97,32472050,158048208,Monday,5,13,False,False,2.6899999999999995,17.6,True,False,-1.4300000000000033,-7.94,False,True,-11.36,-38.37,False
2004-04-05,IGL,18.35,18.75,17.24,17.33,20670985,57325820,Monday,1,14,False,True,-0.6400000000000006,-3.56,False,True,0.2700000000000031,1.63,True,True,-11.36,-38.37,False
2004-04-12,IGL,17.4,18.47,16.67,18.31,20758225,181798720,Monday,2,15,True,False,0.9800000000000004,5.65,True,True,0.2700000000000031,1.63,True,True,-11.36,-38.37,False
2004-04-19,IGL,18.4,18.88,17.4,18.09,32497410,91689976,Monday,3,16,False,True,-0.21999999999999886,-1.2,False,True,0.2700000000000031,1.63,True,True,-11.36,-38.37,False
2004-04-26,IGL,17.4,18.09,16.35,16.85,14781210,39311556,Monday,4,17,True,False,-1.2399999999999984,-6.85,False,True,0.2700000000000031,1.63,True,True,-11.36,-38.37,False
