Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-07,INDHOTEL,61.5,61.5,59.0,60.0,112000,300000.0,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-14,INDHOTEL,60.0,60.0,57.5,57.5,2000,86250.0,Monday,,,False,False,-2.5,-4.17,False,False,,,False,True,,,False
1994-11-21,INDHOTEL,65.0,65.0,62.5,63.0,35500,31500.0,Monday,,,False,False,5.5,9.57,True,False,,,False,True,,,False
1994-11-28,INDHOTEL,63.0,64.0,63.0,64.0,2500,64000.0,Monday,,,False,False,1.0,1.59,True,False,,,False,True,,,False
1994-12-05,INDHOTEL,63.0,63.0,61.5,61.5,3000,92250.0,Monday,1,,False,False,-2.5,-3.91,False,True,0.0,0.0,False,True,,,False
1994-12-12,INDHOTEL,61.0,64.0,61.0,64.0,2500,96000.0,Monday,2,,True,False,2.5,4.07,True,True,0.0,0.0,False,True,,,False
1994-12-19,INDHOTEL,64.4,65.0,63.7,64.0,14000,32000.0,Monday,3,,False,False,0.0,0.0,False,True,0.0,0.0,False,True,,,False
1994-12-26,INDHOTEL,65.0,65.0,61.0,63.0,4500,157500.0,Monday,4,,True,False,-1.0,-1.56,False,True,0.0,0.0,False,True,,,False
1995-01-02,INDHOTEL,65.0,65.0,62.5,62.5,2500,62500.0,Monday,1,1,False,False,-0.5,-0.79,False,False,-1.0,-1.59,False,False,-4.560000000000002,-7.24,False
1995-01-09,INDHOTEL,63.0,65.0,61.0,63.0,63000,3591000.0,Monday,2,2,True,True,0.5,0.8,True,False,-1.0,-1.59,False,False,-4.560000000000002,-7.24,False
1995-01-16,INDHOTEL,64.25,65.9,63.0,64.89,70500,551565.0,Monday,3,3,False,False,1.8900000000000006,3.0,True,False,-1.0,-1.59,False,False,-4.560000000000002,-7.24,False
