Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1994-01-01,INDHOTEL,61.5,65.0,57.5,63.0,176000,157500,Saturday,True,,,False
1995-01-01,INDHOTEL,65.0,66.75,46.0,58.44,4603500,467560,Sunday,False,-4.560000000000002,-7.24,False
1996-01-01,INDHOTEL,58.6,92.5,57.0,69.56,16445000,4034480,Monday,True,11.120000000000005,19.03,True
1997-01-01,INDHOTEL,70.49,76.2,56.01,62.96,21468500,5949720,Wednesday,False,-6.600000000000001,-9.49,False
1998-01-01,INDHOTEL,61.45,62.3,29.33,36.47,34766500,2060555,Thursday,True,-26.490000000000002,-42.07,False
1999-01-01,INDHOTEL,35.33,58.8,27.5,31.64,37604800,1585546,Friday,False,-4.829999999999998,-13.24,False
2000-01-01,INDHOTEL,32.51,35.0,18.5,23.57,42048330,2022542,Saturday,True,-8.07,-25.51,False
2001-01-01,INDHOTEL,23.01,31.99,11.6,15.58,68849480,2337779,Monday,False,-7.99,-33.9,False
2002-01-01,INDHOTEL,15.7,19.99,12.39,18.99,67591720,2696960,Tuesday,True,3.4099999999999984,21.89,True
2003-01-01,INDHOTEL,18.91,48.0,16.93,44.9,126133940,22166680,Wednesday,False,25.91,136.44,True
2004-01-01,INDHOTEL,45.98,57.5,32.13,53.85,79006030,13245484,Thursday,True,8.950000000000003,19.93,True
2005-01-01,INDHOTEL,52.86,101.98,49.0,99.15,221937390,40670272,Saturday,False,45.300000000000004,84.12,True
2006-01-01,INDHOTEL,99.3,163.8,84.1,154.65,536937125,124313232,Sunday,True,55.5,55.98,True
2007-01-01,INDHOTEL,155.0,163.8,115.0,159.6,386906180,243851568,Monday,False,4.949999999999989,3.2,True
2008-01-01,INDHOTEL,159.95,177.45,36.2,45.15,296572698,10290272,Tuesday,True,-114.44999999999999,-71.71,False
2009-01-01,INDHOTEL,44.75,103.65,34.05,102.6,470520296,241628736,Thursday,False,57.449999999999996,127.24,True
2010-01-01,INDHOTEL,103.9,118.0,85.0,96.6,353733066,55694728,Friday,True,-6.0,-5.85,False
2011-01-01,INDHOTEL,97.0,102.8,50.6,54.35,229362400,33678464,Saturday,False,-42.24999999999999,-43.74,False
2012-01-01,INDHOTEL,54.5,80.0,53.0,63.05,185550000,21830494,Sunday,True,8.699999999999996,16.01,True
2013-01-01,INDHOTEL,63.15,68.2,37.5,61.75,133674510,39072252,Tuesday,False,-1.2999999999999972,-2.06,False
2014-01-01,INDHOTEL,61.1,127.5,56.0,125.4,212637959,143623248,Wednesday,True,63.650000000000006,103.08,True
2015-01-01,INDHOTEL,126.0,126.9,81.0,116.75,140099390,502290240,Thursday,False,-8.650000000000006,-6.9,False
2016-01-01,INDHOTEL,117.35,143.0,88.7,98.55,212841999,48452308,Friday,True,-18.200000000000003,-15.59,False
2017-01-01,INDHOTEL,98.85,145.5,94.9,117.8,167654851,260289952,Sunday,False,19.25,19.53,True
2018-01-01,INDHOTEL,117.1,160.95,109.3,147.7,303620088,83919152,Monday,True,29.89999999999999,25.38,True
2019-01-01,INDHOTEL,148.2,164.3,121.3,145.0,294474352,178455120,Tuesday,False,-2.6999999999999886,-1.83,False
2020-01-01,INDHOTEL,145.0,151.0,62.1,120.1,759682294,103450656,Wednesday,True,-24.900000000000006,-17.17,False
2021-01-01,INDHOTEL,120.1,237.4,93.75,180.75,1417992768,833352960,Friday,False,60.650000000000006,50.5,True
2022-01-01,INDHOTEL,179.8,349.0,178.05,318.65,3023946815,0,Saturday,True,137.89999999999998,76.29,True
2023-01-01,INDHOTEL,318.65,348.0,280.05,339.1,276716153,0,Sunday,False,20.450000000000045,6.42,True
