Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2013-01-03,INDUSTOWER,200.0,206.5,188.25,204.35,53088902,741000512,Thursday,2012-12-28,,,False,False,,,False,False,10.550000000000011,5.45,True,False,-25.149999999999977,-12.98,False
2013-01-10,INDUSTOWER,205.0,211.05,201.7,205.1,10509433,217769040,Thursday,2013-01-04,,,False,False,0.75,0.37,True,False,10.550000000000011,5.45,True,False,-25.149999999999977,-12.98,False
2013-01-17,INDUSTOWER,204.4,210.0,202.5,204.95,3416410,324640192,Thursday,2013-01-11,,,False,False,-0.15000000000000568,-0.07,False,False,10.550000000000011,5.45,True,False,-25.149999999999977,-12.98,False
2013-01-24,INDUSTOWER,206.35,210.4,203.15,206.1,4755781,341899296,Thursday,2013-01-18,,,False,False,1.1500000000000057,0.56,True,False,10.550000000000011,5.45,True,False,-25.149999999999977,-12.98,False
2013-01-31,INDUSTOWER,206.95,216.0,201.0,204.25,4095346,97455024,Thursday,2013-01-25,,,False,False,-1.8499999999999943,-0.9,False,False,10.550000000000011,5.45,True,False,-25.149999999999977,-12.98,False
2013-02-07,INDUSTOWER,202.25,211.9,202.25,207.55,2943284,11545592,Thursday,2013-02-01,1,,False,False,3.3000000000000114,1.62,True,True,-12.349999999999994,-6.05,False,False,-25.149999999999977,-12.98,False
2013-02-14,INDUSTOWER,207.95,208.75,191.5,192.8,1855381,37048256,Thursday,2013-02-08,2,,True,False,-14.75,-7.11,False,True,-12.349999999999994,-6.05,False,False,-25.149999999999977,-12.98,False
2013-02-21,INDUSTOWER,192.8,197.25,181.95,194.8,2182870,42279976,Thursday,2013-02-15,3,,False,False,2.0,1.04,True,True,-12.349999999999994,-6.05,False,False,-25.149999999999977,-12.98,False
2013-02-28,INDUSTOWER,195.9,199.0,175.55,191.9,6803699,615679488,Thursday,2013-02-22,4,,True,False,-2.9000000000000057,-1.49,False,True,-12.349999999999994,-6.05,False,False,-25.149999999999977,-12.98,False
2013-03-07,INDUSTOWER,181.0,197.95,181.0,195.95,2966542,50078156,Thursday,2013-03-01,1,,False,False,4.049999999999983,2.11,True,False,-12.950000000000017,-6.75,False,False,-25.149999999999977,-12.98,False
