Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1995-10-19,IOC,28.8,28.8,27.2,27.2,2500,68000.0,Thursday,1995-10-13,,,False,False,,,False,True,,,False,False,,,False
1995-10-26,,,,,,0,,Thursday,1995-10-20,,,False,False,,,False,True,,,False,False,,,False
1995-11-02,,,,,,0,,Thursday,1995-10-27,1,,False,False,,,False,False,0.0,0.0,False,False,,,False
1995-11-09,,,,,,0,,Thursday,1995-11-03,2,,True,False,,,False,False,0.0,0.0,False,False,,,False
1995-11-16,,,,,,0,,Thursday,1995-11-10,3,,False,False,,,False,False,0.0,0.0,False,False,,,False
1995-11-23,IOC,27.2,27.2,27.2,27.2,75000,2040000.0,Thursday,1995-11-17,4,,True,False,,,False,False,0.0,0.0,False,False,,,False
1995-11-30,,,,,,0,,Thursday,1995-11-24,5,,False,False,,,False,False,0.0,0.0,False,False,,,False
1995-12-07,,,,,,0,,Thursday,1995-12-01,1,,False,False,,,False,True,0.0,0.0,False,False,,,False
1995-12-14,,,,,,0,,Thursday,1995-12-08,2,,True,False,,,False,True,0.0,0.0,False,False,,,False
1995-12-21,IOC,27.2,27.2,27.2,27.2,2500,68000.0,Thursday,1995-12-15,3,,False,False,,,False,True,0.0,0.0,False,False,,,False
1995-12-28,,,,,,0,,Thursday,1995-12-22,4,,True,False,,,False,True,0.0,0.0,False,False,,,False
1996-01-04,,,,,,0,,Thursday,1995-12-29,1,1,False,False,,,False,False,,,False,True,-3.599999999999998,-13.24,False
1996-01-11,,,,,,0,,Thursday,1996-01-05,2,2,True,True,,,False,False,,,False,True,-3.599999999999998,-13.24,False
1996-01-18,,,,,,0,,Thursday,1996-01-12,3,3,False,False,,,False,False,,,False,True,-3.599999999999998,-13.24,False
1996-01-25,,,,,,0,,Thursday,1996-01-19,4,4,True,True,,,False,False,,,False,True,-3.599999999999998,-13.24,False
1996-02-01,,,,,,0,,Thursday,1996-01-26,1,5,False,False,,,False,True,,,False,True,-3.599999999999998,-13.24,False
1996-02-08,,,,,,0,,Thursday,1996-02-02,2,6,True,True,,,False,True,,,False,True,-3.599999999999998,-13.24,False
1996-02-15,,,,,,0,,Thursday,1996-02-09,3,7,False,False,,,False,True,,,False,True,-3.599999999999998,-13.24,False
1996-02-22,,,,,,0,,Thursday,1996-02-16,4,8,True,True,,,False,True,,,False,True,-3.599999999999998,-13.24,False
1996-02-29,,,,,,0,,Thursday,1996-02-23,5,9,False,False,,,False,True,,,False,True,-3.599999999999998,-13.24,False
1996-03-07,,,,,,0,,Thursday,1996-03-01,1,10,False,True,,,False,False,,,False,True,-3.599999999999998,-13.24,False
1996-03-14,,,,,,0,,Thursday,1996-03-08,2,11,True,False,,,False,False,,,False,True,-3.599999999999998,-13.24,False
1996-03-21,,,,,,0,,Thursday,1996-03-15,3,12,False,True,,,False,False,,,False,True,-3.599999999999998,-13.24,False
1996-03-28,,,,,,0,,Thursday,1996-03-22,4,13,True,False,,,False,False,,,False,True,-3.599999999999998,-13.24,False
1996-04-04,,,,,,0,,Thursday,1996-03-29,1,14,False,True,,,False,True,,,False,True,-3.599999999999998,-13.24,False
1996-04-11,,,,,,0,,Thursday,1996-04-05,2,15,True,False,,,False,True,,,False,True,-3.599999999999998,-13.24,False
1996-04-18,IOC,26.0,26.0,24.8,24.8,42500,248000.0,Thursday,1996-04-12,3,16,False,True,,,False,True,,,False,True,-3.599999999999998,-13.24,False
1996-04-25,IOC,24.8,25.6,24.8,25.6,12500,64000.0,Thursday,1996-04-19,4,17,True,False,0.8000000000000007,3.23,True,True,,,False,True,-3.599999999999998,-13.24,False
1996-05-02,IOC,25.6,30.0,25.6,28.8,647500,143990.0,Thursday,1996-04-26,1,18,False,True,3.1999999999999993,12.5,True,False,1.1400000000000006,3.84,True,True,-3.599999999999998,-13.24,False
1996-05-09,IOC,28.36,30.0,28.36,30.0,7500,75000.0,Thursday,1996-05-03,2,19,True,False,1.1999999999999993,4.17,True,False,1.1400000000000006,3.84,True,True,-3.599999999999998,-13.24,False
1996-05-16,IOC,29.36,29.86,28.8,28.8,135000,216000.0,Thursday,1996-05-10,3,20,False,True,-1.1999999999999993,-4.0,False,False,1.1400000000000006,3.84,True,True,-3.599999999999998,-13.24,False
1996-05-23,IOC,29.4,30.0,29.4,30.0,292500,7500000.0,Thursday,1996-05-17,4,21,True,False,1.1999999999999993,4.17,True,False,1.1400000000000006,3.84,True,True,-3.599999999999998,-13.24,False
1996-05-30,IOC,30.0,30.8,29.2,30.8,432500,1232000.0,Thursday,1996-05-24,5,22,False,True,0.8000000000000007,2.67,True,False,1.1400000000000006,3.84,True,True,-3.599999999999998,-13.24,False
1996-06-06,IOC,30.8,33.0,29.6,29.72,90000,1708785.0,Thursday,1996-05-31,1,23,False,False,-1.0800000000000018,-3.51,False,True,-0.8000000000000007,-2.6,False,True,-3.599999999999998,-13.24,False
1996-06-13,IOC,30.0,30.8,28.4,30.8,12500,77000.0,Thursday,1996-06-07,2,24,True,True,1.0800000000000018,3.63,True,True,-0.8000000000000007,-2.6,False,True,-3.599999999999998,-13.24,False
1996-06-20,IOC,30.8,30.8,29.8,29.8,7500,74500.0,Thursday,1996-06-14,3,25,False,False,-1.0,-3.25,False,True,-0.8000000000000007,-2.6,False,True,-3.599999999999998,-13.24,False
1996-06-27,IOC,30.4,30.4,29.2,30.0,12500,75000.0,Thursday,1996-06-21,4,26,True,True,0.1999999999999993,0.67,True,True,-0.8000000000000007,-2.6,False,True,-3.599999999999998,-13.24,False
1996-07-04,IOC,31.68,31.68,29.2,30.03,100000,225210.0,Thursday,1996-06-28,1,27,False,False,0.030000000000001137,0.1,True,False,-2.039999999999999,-6.8,False,True,-3.599999999999998,-13.24,False
1996-07-11,IOC,30.6,30.6,29.6,29.6,25000,74000.0,Thursday,1996-07-05,2,28,True,True,-0.4299999999999997,-1.43,False,False,-2.039999999999999,-6.8,False,True,-3.599999999999998,-13.24,False
1996-07-18,IOC,29.2,29.2,29.0,29.0,7500,145000.0,Thursday,1996-07-12,3,29,False,False,-0.6000000000000014,-2.03,False,False,-2.039999999999999,-6.8,False,True,-3.599999999999998,-13.24,False
1996-07-25,IOC,26.12,27.96,26.12,27.96,5000,69900.0,Thursday,1996-07-19,4,30,True,True,-1.0399999999999991,-3.59,False,False,-2.039999999999999,-6.8,False,True,-3.599999999999998,-13.24,False
