Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,CalenderMonthDay,CalenderYearDay,TradingMonthDay,TradingYearDay,EvenCalenderMonthDay,EvenCalenderYearDay,EvenTradingMonthDay,EvenTradingYearDay,ReturnPoints,ReturnPercentage,PositiveDay,MondayWeeklyDate,MondayWeekNumberMonthly,MondayWeekNumberYearly,EvenMondayWeekNumberMonthly,EvenMondayWeekNumberYearly,MondayWeeklyReturnPoints,MondayWeeklyReturnPercentage,PositiveMondayWeek,ExpiryWeeklyDate,ExpiryWeekNumberMonthly,ExpiryWeekNumberYearly,EvenExpiryWeekNumberMonthly,EvenExpiryWeekNumberYearly,ExpiryWeeklyReturnPoints,ExpiryWeeklyReturnPercentage,PositiveExpiryWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2019-10-14,IRCTC,125.2,148.76,125.0,145.55,226353040,32945684480,Monday,14,287,,,True,False,False,False,,,False,2019-10-14,,,,,,,False,2019-10-17,,,,,,,False,True,,,False,False,,,False
2019-10-15,IRCTC,147.2,149.48,139.21,142.63,52650204,7509498880,Tuesday,15,288,,,False,True,False,False,-2.920000000000016,-2.01,False,2019-10-14,,,,,,,False,2019-10-17,,,,,,,False,True,,,False,False,,,False
2019-10-16,IRCTC,142.8,144.2,139.65,140.13,17381530,2435673856,Wednesday,16,289,,,True,False,False,False,-2.5,-1.75,False,2019-10-14,,,,,,,False,2019-10-17,,,,,,,False,True,,,False,False,,,False
2019-10-17,IRCTC,140.02,146.6,137.43,144.86,25164650,3645351168,Thursday,17,290,,,False,True,False,False,4.730000000000018,3.38,True,2019-10-14,,,,,,,False,2019-10-17,,,,,,,False,True,,,False,False,,,False
2019-10-18,IRCTC,145.0,157.98,143.21,155.83,48666152,7583646208,Friday,18,291,,,True,False,False,False,10.969999999999999,7.57,True,2019-10-14,,,,,,,False,2019-10-24,,,,,35.54999999999998,24.54,True,True,,,False,False,,,False
2019-10-22,IRCTC,157.39,173.35,156.2,168.94,46733940,7895232000,Tuesday,22,295,,,True,False,False,False,13.109999999999985,8.41,True,2019-10-21,,,,,25.70999999999998,16.5,True,2019-10-24,,,,,35.54999999999998,24.54,True,True,,,False,False,,,False
2019-10-23,IRCTC,173.2,181.98,173.2,180.06,45116344,8123649024,Wednesday,23,296,,,False,True,False,False,11.120000000000005,6.58,True,2019-10-21,,,,,25.70999999999998,16.5,True,2019-10-24,,,,,35.54999999999998,24.54,True,True,,,False,False,,,False
2019-10-24,IRCTC,184.99,190.7,172.53,180.41,59356564,10708517888,Thursday,24,297,,,True,False,False,False,0.3499999999999943,0.19,True,2019-10-21,,,,,25.70999999999998,16.5,True,2019-10-24,,,,,35.54999999999998,24.54,True,True,,,False,False,,,False
2019-10-25,IRCTC,181.0,183.2,175.2,179.81,19247676,3460924416,Friday,25,298,,,False,True,False,False,-0.5999999999999943,-0.33,False,2019-10-21,,,,,25.70999999999998,16.5,True,2019-10-31,,,,,-4.069999999999993,-2.26,False,True,,,False,False,,,False
2019-10-27,IRCTC,182.2,185.0,179.0,181.54,6712470,1218581760,Sunday,27,300,,,False,True,False,False,1.7299999999999898,0.96,True,2019-10-21,,,,,25.70999999999998,16.5,True,2019-10-24,,,,,35.54999999999998,24.54,True,True,,,False,False,,,False
