Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2019-10-17,IRCTC,125.2,149.48,125.0,144.86,321549424,3645351168,Thursday,2019-10-11,,,False,False,,,False,True,,,False,False,,,False
2019-10-24,IRCTC,145.0,190.7,143.21,180.41,199873000,10708517888,Thursday,2019-10-18,,,False,False,35.54999999999998,24.54,True,True,,,False,False,,,False
2019-10-31,IRCTC,181.0,185.0,175.2,176.34,61658491,1622079360,Thursday,2019-10-25,,,False,False,-4.069999999999993,-2.26,False,True,,,False,False,,,False
2019-11-07,IRCTC,177.0,181.59,174.26,176.3,32623280,683252416,Thursday,2019-11-01,1,,False,False,-0.03999999999999204,-0.02,False,False,3.109999999999985,1.76,True,False,,,False
2019-11-14,IRCTC,175.95,196.18,174.46,181.46,77462551,2601588480,Thursday,2019-11-08,2,,True,False,5.159999999999997,2.93,True,False,3.109999999999985,1.76,True,False,,,False
2019-11-21,IRCTC,184.0,187.96,176.02,176.96,40021730,1147689984,Thursday,2019-11-15,3,,False,False,-4.5,-2.48,False,False,3.109999999999985,1.76,True,False,,,False
2019-11-28,IRCTC,177.8,179.0,174.48,176.49,16159800,366876832,Thursday,2019-11-22,4,,True,False,-0.46999999999999886,-0.27,False,False,3.109999999999985,1.76,True,False,,,False
2019-12-05,IRCTC,176.43,183.74,172.46,175.19,20425260,461604640,Thursday,2019-11-29,1,,False,False,-1.3000000000000114,-0.74,False,True,7.240000000000009,4.03,True,False,,,False
2019-12-12,IRCTC,175.4,175.73,171.06,173.98,9178735,252511968,Thursday,2019-12-06,2,,True,False,-1.210000000000008,-0.69,False,True,7.240000000000009,4.03,True,False,,,False
2019-12-19,IRCTC,174.85,180.68,173.24,173.94,14538525,263297328,Thursday,2019-12-13,3,,False,False,-0.03999999999999204,-0.02,False,True,7.240000000000009,4.03,True,False,,,False
2019-12-26,IRCTC,174.8,179.96,172.2,175.38,16930640,344236736,Thursday,2019-12-20,4,,True,False,1.4399999999999977,0.83,True,True,7.240000000000009,4.03,True,False,,,False
2020-01-02,IRCTC,176.39,190.94,175.4,186.08,48667300,611766848,Thursday,2019-12-27,1,1,False,False,10.700000000000017,6.1,True,False,55.370000000000005,29.66,True,True,100.87,54.03,True
2020-01-09,IRCTC,185.6,188.7,177.26,182.73,17520665,547641856,Thursday,2020-01-03,2,2,True,True,-3.3500000000000227,-1.8,False,False,55.370000000000005,29.66,True,True,100.87,54.03,True
2020-01-16,IRCTC,182.4,201.67,181.73,200.73,37115965,1526967168,Thursday,2020-01-10,3,3,False,False,18.0,9.85,True,False,55.370000000000005,29.66,True,True,100.87,54.03,True
