Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1994-01-01,ITC,9.5,9.72,8.76,9.1,1016666,303200,Saturday,True,,,False
1995-01-01,ITC,9.05,9.17,4.92,5.99,242029167,18281700,Sunday,False,-3.1099999999999994,-34.18,False
1996-01-01,ITC,5.99,8.28,4.48,7.99,30626854108,3115917312,Monday,True,2.0,33.39,True
1997-01-01,ITC,8.09,15.67,7.54,14.94,94870016787,6690023424,Wednesday,False,6.949999999999999,86.98,True
1998-01-01,ITC,14.87,19.92,13.09,18.02,50506158352,3580542720,Thursday,True,3.08,20.62,True
1999-01-01,ITC,18.19,27.38,13.92,15.74,16676704973,139174992,Friday,False,-2.2799999999999994,-12.65,False
2000-01-01,ITC,15.5,23.83,10.94,20.01,9687986843,539397504,Saturday,True,4.270000000000001,27.13,True
2001-01-01,ITC,20.08,21.44,12.81,15.13,7059556865,152528432,Monday,False,-4.880000000000001,-24.39,False
2002-01-01,ITC,15.14,17.48,12.78,14.76,3402156992,93212680,Tuesday,True,-0.370000000000001,-2.45,False
2003-01-01,ITC,14.9,23.21,12.51,21.96,3712538788,350510560,Wednesday,False,7.200000000000001,48.78,True
2004-01-01,ITC,22.11,29.9,18.14,29.27,3799277628,224439728,Thursday,True,7.309999999999999,33.29,True
2005-01-01,ITC,29.46,49.5,27.07,47.37,5060887128,830845824,Saturday,False,18.099999999999998,61.84,True
2006-01-01,ITC,47.33,70.83,44.0,58.7,4486326320,509587968,Sunday,True,11.330000000000005,23.92,True
2007-01-01,ITC,58.83,71.57,43.33,69.82,4226020885,1036433984,Monday,False,11.11999999999999,18.94,True
2008-01-01,ITC,70.67,79.8,44.02,57.23,4297473402,477335104,Tuesday,True,-12.589999999999996,-18.03,False
2009-01-01,ITC,57.43,90.33,52.0,83.6,3850790484,1281939840,Thursday,False,26.369999999999997,46.08,True
2010-01-01,ITC,84.33,121.2,76.27,116.43,2688497842,1212152320,Friday,True,32.83000000000001,39.27,True
2011-01-01,ITC,117.3,144.13,99.33,134.2,2714050666,465326496,Saturday,False,17.769999999999982,15.26,True
2012-01-01,ITC,134.57,204.33,131.33,191.2,2399674473,654657088,Sunday,True,57.0,42.47,True
2013-01-01,ITC,191.57,253.33,181.4,214.57,2707685774,1117200640,Tuesday,False,23.370000000000005,12.22,True
2014-01-01,ITC,214.87,266.87,206.9,245.8,2379196309,905170688,Wednesday,True,31.230000000000018,14.55,True
2015-01-01,ITC,245.07,273.3,196.0,218.53,2829173495,1755484288,Thursday,False,-27.27000000000001,-11.09,False
2016-01-01,ITC,218.4,265.9,178.67,241.65,2693458260,2518014208,Friday,True,23.120000000000005,10.58,True
2017-01-01,ITC,242.0,367.7,238.6,263.25,2912769037,1728398464,Sunday,False,21.599999999999994,8.94,True
2018-01-01,ITC,263.25,322.95,252.5,281.65,2855939224,1535669888,Monday,True,18.399999999999977,6.99,True
2019-01-01,ITC,282.2,310.0,234.05,237.7,3175356308,1697665536,Tuesday,False,-43.94999999999999,-15.6,False
2020-01-01,ITC,238.6,243.9,134.6,209.0,7076090716,3813261312,Wednesday,True,-28.69999999999999,-12.07,False
2021-01-01,ITC,209.9,265.3,199.1,218.05,7057346918,1653650816,Friday,False,9.050000000000011,4.33,True
2022-01-01,ITC,218.05,361.45,207.0,331.55,6474285232,0,Saturday,True,113.5,52.05,True
2023-01-01,ITC,330.9,428.25,326.0,425.55,997850208,0,Sunday,False,94.0,28.35,True
