Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1999-01-01,JINDALSTEL,3.13,6.78,3.04,4.77,58150000,1096870,Friday,False,,,False
2000-01-01,JINDALSTEL,4.94,7.68,2.74,3.58,197389300,1700429,Saturday,True,-1.1899999999999995,-24.95,False
2001-01-01,JINDALSTEL,3.56,8.29,2.26,3.11,931805500,749547,Monday,False,-0.4700000000000002,-13.13,False
2002-01-01,JINDALSTEL,3.16,7.06,2.93,6.96,754369500,88836512,Tuesday,True,3.85,123.79,True
2003-01-01,JINDALSTEL,6.98,26.2,6.1,24.78,1078667675,150378928,Wednesday,False,17.82,256.03,True
2004-01-01,JINDALSTEL,25.4,38.6,14.0,35.97,330698100,29107462,Thursday,True,11.189999999999998,45.16,True
2005-01-01,JINDALSTEL,36.68,63.6,33.2,63.24,256861000,36541228,Saturday,False,27.270000000000003,75.81,True
2006-01-01,JINDALSTEL,62.44,91.6,46.11,90.96,248089200,172445744,Sunday,True,27.71999999999999,43.83,True
2007-01-01,JINDALSTEL,90.92,661.6,80.12,615.82,454570099,1579829760,Monday,False,524.86,577.02,True
2008-01-01,JINDALSTEL,615.6,671.44,103.62,182.25,775962320,646530944,Tuesday,True,-433.57000000000005,-70.41,False
2009-01-01,JINDALSTEL,183.0,749.85,144.9,703.3,987620691,3325704448,Thursday,False,521.05,285.9,True
2010-01-01,JINDALSTEL,710.55,796.1,574.35,712.05,441942715,779679808,Friday,True,8.75,1.24,True
2011-01-01,JINDALSTEL,722.9,735.9,435.9,453.15,373408926,713737088,Saturday,False,-258.9,-36.36,False
2012-01-01,JINDALSTEL,454.2,664.0,320.4,447.85,562473408,514444864,Sunday,True,-5.2999999999999545,-1.17,False
2013-01-01,JINDALSTEL,451.0,475.0,181.6,261.0,704139601,224037696,Tuesday,False,-186.85000000000002,-41.72,False
2014-01-01,JINDALSTEL,263.0,351.0,125.1,151.85,1034113771,552646528,Wednesday,True,-109.15,-41.82,False
2015-01-01,JINDALSTEL,152.0,209.9,56.0,96.25,2077905769,1946518400,Thursday,False,-55.599999999999994,-36.62,False
2016-01-01,JINDALSTEL,96.5,97.3,48.1,69.2,2701367175,411580256,Friday,True,-27.049999999999997,-28.1,False
2017-01-01,JINDALSTEL,69.8,206.75,68.85,205.05,2743265572,1237666432,Sunday,False,135.85000000000002,196.32,True
2018-01-01,JINDALSTEL,204.5,294.3,140.75,164.9,2687014459,2110466176,Monday,True,-40.150000000000006,-19.58,False
2019-01-01,JINDALSTEL,165.9,191.2,91.05,167.7,4133450640,2734342656,Tuesday,False,2.799999999999983,1.7,True
2020-01-01,JINDALSTEL,167.8,287.35,62.0,266.45,4266496593,2118272000,Wednesday,True,98.75,58.88,True
2021-01-01,JINDALSTEL,268.3,501.7,257.15,377.25,2548730734,1026609280,Friday,False,110.80000000000001,41.58,True
2022-01-01,JINDALSTEL,379.25,597.95,304.2,580.6,3248416059,0,Saturday,True,203.35000000000002,53.9,True
2023-01-01,JINDALSTEL,585.0,622.75,530.6,582.85,189741084,0,Sunday,False,2.25,0.39,True
