Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2006-03-01,JKCEMENT,160.0,176.5,128.1,175.3,7405102,44834552,Wednesday,False,,,False,True,,,False
2006-04-01,JKCEMENT,178.0,225.1,151.25,206.85,3775782,71482400,Saturday,True,31.549999999999983,18.0,True,True,,,False
2006-05-01,JKCEMENT,211.9,211.9,133.6,142.25,2628524,6218886,Monday,False,-64.6,-31.23,False,True,,,False
2006-06-01,JKCEMENT,145.1,164.95,105.25,143.25,932676,2761717,Thursday,True,1.0,0.7,True,True,,,False
2006-07-01,JKCEMENT,140.5,159.4,129.25,153.3,957227,14251381,Saturday,False,10.050000000000011,7.02,True,True,,,False
2006-08-01,JKCEMENT,154.0,179.6,131.05,170.1,1891744,6483872,Tuesday,True,16.799999999999983,10.96,True,True,,,False
2006-09-01,JKCEMENT,170.0,206.0,163.0,197.9,2635057,10636729,Friday,False,27.80000000000001,16.34,True,True,,,False
2006-10-01,JKCEMENT,199.95,220.0,179.9,192.5,1127528,11163652,Sunday,True,-5.400000000000006,-2.73,False,True,,,False
2006-11-01,JKCEMENT,194.95,201.0,173.0,193.35,1828371,11408230,Wednesday,False,0.8499999999999943,0.44,True,True,,,False
2006-12-01,JKCEMENT,192.4,200.0,167.0,176.95,660629,8516780,Friday,True,-16.400000000000006,-8.48,False,True,,,False
2007-01-01,JKCEMENT,179.95,208.0,179.95,195.1,1582717,41134692,Monday,False,18.150000000000006,10.26,True,False,40.150000000000006,22.69,True
2007-02-01,JKCEMENT,198.85,200.9,158.0,161.7,1468522,7802995,Thursday,True,-33.400000000000006,-17.12,False,False,40.150000000000006,22.69,True
2007-03-01,JKCEMENT,163.4,163.5,125.05,144.95,2621094,8845139,Thursday,False,-16.75,-10.36,False,False,40.150000000000006,22.69,True
2007-04-01,JKCEMENT,140.65,158.0,136.0,152.75,773680,1583407,Sunday,True,7.800000000000011,5.38,True,False,40.150000000000006,22.69,True
2007-05-01,JKCEMENT,153.0,168.5,150.0,152.05,513094,3460354,Tuesday,False,-0.6999999999999886,-0.46,False,False,40.150000000000006,22.69,True
2007-06-01,JKCEMENT,152.0,163.0,136.55,156.8,474413,20477924,Friday,True,4.75,3.12,True,False,40.150000000000006,22.69,True
2007-07-01,JKCEMENT,155.05,177.8,145.15,172.95,2498916,23146072,Sunday,False,16.149999999999977,10.3,True,False,40.150000000000006,22.69,True
2007-08-01,JKCEMENT,168.95,178.0,142.9,165.1,1601040,4779315,Wednesday,True,-7.849999999999994,-4.54,False,False,40.150000000000006,22.69,True
2007-09-01,JKCEMENT,165.3,182.45,165.2,179.45,1216128,24198832,Saturday,False,14.349999999999994,8.69,True,False,40.150000000000006,22.69,True
2007-10-01,JKCEMENT,179.45,204.2,142.65,190.0,2814400,17229010,Monday,True,10.550000000000011,5.88,True,False,40.150000000000006,22.69,True
2007-11-01,JKCEMENT,191.8,239.0,175.1,235.35,5391956,113537784,Thursday,False,45.349999999999994,23.87,True,False,40.150000000000006,22.69,True
2007-12-01,JKCEMENT,238.9,252.9,210.0,217.1,3453876,31110648,Saturday,True,-18.25,-7.75,False,False,40.150000000000006,22.69,True
2008-01-01,JKCEMENT,218.15,224.75,130.0,170.8,2143576,8391917,Tuesday,False,-46.29999999999998,-21.33,False,True,-173.89999999999998,-80.1,False
2008-02-01,JKCEMENT,174.8,185.8,156.1,166.85,1160108,4150895,Friday,True,-3.950000000000017,-2.31,False,True,-173.89999999999998,-80.1,False
2008-03-01,JKCEMENT,164.1,169.8,123.25,164.65,1146635,6164990,Saturday,False,-2.1999999999999886,-1.32,False,True,-173.89999999999998,-80.1,False
2008-04-01,JKCEMENT,162.25,165.0,145.0,152.0,346449,872632,Tuesday,True,-12.650000000000006,-7.68,False,True,-173.89999999999998,-80.1,False
2008-05-01,JKCEMENT,152.05,159.9,140.1,141.7,704356,1489976,Thursday,False,-10.300000000000011,-6.78,False,True,-173.89999999999998,-80.1,False
2008-06-01,JKCEMENT,141.05,147.0,125.0,131.25,271334,848925,Sunday,True,-10.449999999999989,-7.37,False,True,-173.89999999999998,-80.1,False
2008-07-01,JKCEMENT,130.0,141.35,118.1,123.25,496478,952846,Tuesday,False,-8.0,-6.1,False,True,-173.89999999999998,-80.1,False
2008-08-01,JKCEMENT,122.0,132.9,121.0,129.55,283656,936517,Friday,True,6.300000000000011,5.11,True,True,-173.89999999999998,-80.1,False
2008-09-01,JKCEMENT,130.0,132.0,87.0,104.5,127405,808621,Monday,False,-25.05000000000001,-19.34,False,True,-173.89999999999998,-80.1,False
2008-10-01,JKCEMENT,105.0,105.0,46.15,54.9,329895,751581,Wednesday,True,-49.6,-47.46,False,True,-173.89999999999998,-80.1,False
2008-11-01,JKCEMENT,54.35,59.9,41.2,44.0,570428,188012,Saturday,False,-10.899999999999999,-19.85,False,True,-173.89999999999998,-80.1,False
2008-12-01,JKCEMENT,45.0,48.25,36.95,43.2,1221182,910008,Monday,True,-0.7999999999999972,-1.82,False,True,-173.89999999999998,-80.1,False
