Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2005-03-21,JSWSTEEL,45.5,45.85,35.75,36.92,33141890,452816064,Monday,,,False,False,,,False,False,,,False,False,,,False
2005-03-28,JSWSTEEL,37.67,39.65,35.67,39.16,45855200,413590336,Monday,,,False,False,2.239999999999995,6.07,True,False,,,False,False,,,False
2005-04-04,JSWSTEEL,39.3,39.4,36.03,36.21,12976920,63777760,Monday,1,,False,False,-2.9499999999999957,-7.53,False,True,-4.68,-12.91,False,False,,,False
2005-04-11,JSWSTEEL,36.15,37.45,35.1,35.42,8394780,58875836,Monday,2,,True,False,-0.7899999999999991,-2.18,False,True,-4.68,-12.91,False,False,,,False
2005-04-18,JSWSTEEL,34.5,36.85,34.2,35.82,18337150,51826168,Monday,3,,False,False,0.3999999999999986,1.13,True,True,-4.68,-12.91,False,False,,,False
2005-04-25,JSWSTEEL,35.9,36.0,31.25,31.57,9263770,68750776,Monday,4,,True,False,-4.25,-11.86,False,True,-4.68,-12.91,False,False,,,False
2005-05-02,JSWSTEEL,31.8,34.19,30.34,32.7,16490440,99598128,Monday,1,,False,False,1.1300000000000026,3.58,True,False,-0.08999999999999986,-0.29,False,False,,,False
2005-05-09,JSWSTEEL,32.65,34.2,30.29,33.75,9640240,44780512,Monday,2,,True,False,1.0499999999999972,3.21,True,False,-0.08999999999999986,-0.29,False,False,,,False
2005-05-16,JSWSTEEL,34.14,34.9,32.41,32.62,5258400,23148170,Monday,3,,False,False,-1.1300000000000026,-3.35,False,False,-0.08999999999999986,-0.29,False,False,,,False
2005-05-23,JSWSTEEL,32.51,32.79,29.5,30.71,13382000,146198160,Monday,4,,True,False,-1.9099999999999966,-5.86,False,False,-0.08999999999999986,-0.29,False,False,,,False
2005-05-30,JSWSTEEL,31.39,31.7,29.93,30.2,13324810,14681126,Monday,5,,False,False,-0.5100000000000016,-1.66,False,False,-0.08999999999999986,-0.29,False,False,,,False
2005-06-06,JSWSTEEL,30.25,30.58,28.61,28.72,8354550,42511920,Monday,1,,False,False,-1.4800000000000004,-4.9,False,True,-6.390000000000001,-20.3,False,False,,,False
2005-06-13,JSWSTEEL,29.1,29.2,27.27,27.34,8717000,36403484,Monday,2,,True,False,-1.379999999999999,-4.81,False,True,-6.390000000000001,-20.3,False,False,,,False
2005-06-20,JSWSTEEL,27.7,28.39,27.01,27.14,11242310,33118128,Monday,3,,False,False,-0.1999999999999993,-0.73,False,True,-6.390000000000001,-20.3,False,False,,,False
2005-06-27,JSWSTEEL,27.35,27.35,24.56,24.89,30784270,54948408,Monday,4,,True,False,-2.25,-8.29,False,True,-6.390000000000001,-20.3,False,False,,,False
2005-07-04,JSWSTEEL,24.92,27.99,24.8,26.72,13450730,93154472,Monday,1,,False,False,1.8299999999999983,7.35,True,False,2.080000000000002,8.29,True,False,,,False
2005-07-11,JSWSTEEL,27.14,27.4,25.51,25.63,5144620,19153554,Monday,2,,True,False,-1.0899999999999999,-4.08,False,False,2.080000000000002,8.29,True,False,,,False
2005-07-18,JSWSTEEL,25.74,28.23,25.74,27.54,11259170,76737296,Monday,3,,False,False,1.9100000000000001,7.45,True,False,2.080000000000002,8.29,True,False,,,False
2005-07-25,JSWSTEEL,27.8,28.18,26.0,27.17,11723490,126714096,Monday,4,,True,False,-0.36999999999999744,-1.34,False,False,2.080000000000002,8.29,True,False,,,False
2005-08-01,JSWSTEEL,27.27,28.44,26.1,27.75,10540200,111718448,Monday,1,,False,False,0.5799999999999983,2.13,True,True,0.3099999999999987,1.14,True,False,,,False
2005-08-08,JSWSTEEL,27.85,29.19,27.2,28.59,12961180,56326456,Monday,2,,True,False,0.8399999999999999,3.03,True,True,0.3099999999999987,1.14,True,False,,,False
2005-08-15,JSWSTEEL,28.66,29.63,27.7,28.37,8853770,64025420,Monday,3,,False,False,-0.21999999999999886,-0.77,False,True,0.3099999999999987,1.14,True,False,,,False
2005-08-22,JSWSTEEL,28.5,29.1,26.65,27.63,13541380,21605788,Monday,4,,True,False,-0.740000000000002,-2.61,False,True,0.3099999999999987,1.14,True,False,,,False
2005-08-29,JSWSTEEL,27.6,28.31,26.5,27.86,5531380,45947548,Monday,5,,False,False,0.23000000000000043,0.83,True,True,0.3099999999999987,1.14,True,False,,,False
2005-09-05,JSWSTEEL,27.83,28.5,26.95,28.26,8586930,84830584,Monday,1,,False,False,0.40000000000000213,1.44,True,False,1.5199999999999996,5.53,True,False,,,False
2005-09-12,JSWSTEEL,28.5,31.75,28.5,31.46,30158030,285160320,Monday,2,,True,False,3.1999999999999993,11.32,True,False,1.5199999999999996,5.53,True,False,,,False
2005-09-19,JSWSTEEL,31.5,32.3,27.52,28.45,16469730,58743764,Monday,3,,False,False,-3.0100000000000016,-9.57,False,False,1.5199999999999996,5.53,True,False,,,False
2005-09-26,JSWSTEEL,28.51,30.2,28.1,29.0,10747520,81231032,Monday,4,,True,False,0.5500000000000007,1.93,True,False,1.5199999999999996,5.53,True,False,,,False
2005-10-03,JSWSTEEL,29.0,29.94,28.04,28.13,5261250,30769436,Monday,1,,False,False,-0.870000000000001,-3.0,False,True,-8.030000000000001,-27.69,False,False,,,False
2005-10-10,JSWSTEEL,28.13,28.49,25.65,25.76,6539600,56079520,Monday,2,,True,False,-2.3699999999999974,-8.43,False,True,-8.030000000000001,-27.69,False,False,,,False
2005-10-17,JSWSTEEL,26.5,26.5,21.5,21.81,8396880,38742848,Monday,3,,False,False,-3.950000000000003,-15.33,False,True,-8.030000000000001,-27.69,False,False,,,False
2005-10-24,JSWSTEEL,21.85,22.13,19.95,20.16,7976890,37682996,Monday,4,,True,False,-1.6499999999999986,-7.57,False,True,-8.030000000000001,-27.69,False,False,,,False
2005-10-31,JSWSTEEL,20.2,21.47,20.12,21.24,2029510,13276122,Monday,5,,False,False,1.0799999999999983,5.36,True,True,-8.030000000000001,-27.69,False,False,,,False
2005-11-07,JSWSTEEL,21.48,21.98,20.81,21.42,8405300,23123702,Monday,1,,False,False,0.18000000000000327,0.85,True,False,-0.259999999999998,-1.24,False,False,,,False
2005-11-14,JSWSTEEL,21.77,22.94,21.51,22.16,7008850,44442768,Monday,2,,True,False,0.7399999999999984,3.45,True,False,-0.259999999999998,-1.24,False,False,,,False
2005-11-21,JSWSTEEL,22.2,22.2,20.11,20.23,6905380,12624329,Monday,3,,False,False,-1.9299999999999997,-8.71,False,False,-0.259999999999998,-1.24,False,False,,,False
2005-11-28,JSWSTEEL,20.35,21.45,20.27,20.92,5721200,18585328,Monday,4,,True,False,0.6900000000000013,3.41,True,False,-0.259999999999998,-1.24,False,False,,,False
2005-12-05,JSWSTEEL,21.0,21.45,20.36,21.34,5971290,37884772,Monday,1,,False,False,0.41999999999999815,2.01,True,True,2.2399999999999984,10.82,True,False,,,False
2005-12-12,JSWSTEEL,21.37,23.97,21.3,23.04,22643660,137515040,Monday,2,,True,False,1.6999999999999993,7.97,True,True,2.2399999999999984,10.82,True,False,,,False
2005-12-19,JSWSTEEL,23.1,23.89,21.51,22.04,24308250,130000072,Monday,3,,False,False,-1.0,-4.34,False,True,2.2399999999999984,10.82,True,False,,,False
2005-12-26,JSWSTEEL,22.0,23.07,20.74,22.95,10692910,101585312,Monday,4,,True,False,0.9100000000000001,4.13,True,True,2.2399999999999984,10.82,True,False,,,False
2006-01-02,JSWSTEEL,23.0,23.41,21.74,22.09,5281200,21626772,Monday,1,1,False,False,-0.8599999999999994,-3.75,False,False,-3.34,-14.55,False,True,15.720000000000002,68.5,True
2006-01-09,JSWSTEEL,23.0,23.98,20.55,21.69,4910880,16456096,Monday,2,2,True,True,-0.3999999999999986,-1.81,False,False,-3.34,-14.55,False,True,15.720000000000002,68.5,True
2006-01-16,JSWSTEEL,22.13,22.13,19.87,20.41,14326200,131427792,Monday,3,3,False,False,-1.2800000000000011,-5.9,False,False,-3.34,-14.55,False,True,15.720000000000002,68.5,True
2006-01-23,JSWSTEEL,20.4,21.07,19.61,20.87,13167530,102326024,Monday,4,4,True,True,0.46000000000000085,2.25,True,False,-3.34,-14.55,False,True,15.720000000000002,68.5,True
