Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
2010-01-01,JUBLFOOD,80.0,336.0,80.0,312.8,983763692,210994848,Friday,True,,,False
2011-01-01,JUBLFOOD,314.95,510.95,232.13,377.2,554575192,562292032,Saturday,False,64.39999999999998,20.59,True
2012-01-01,JUBLFOOD,379.03,698.7,365.55,644.23,289387424,81196824,Sunday,True,267.03000000000003,70.79,True
2013-01-01,JUBLFOOD,649.0,695.95,463.55,636.03,171669050,72454696,Tuesday,False,-8.200000000000045,-1.27,False
2014-01-01,JUBLFOOD,637.0,748.7,468.85,688.5,99761328,300051040,Wednesday,True,52.47000000000003,8.25,True
2015-01-01,JUBLFOOD,692.25,979.75,647.53,741.93,139552394,371238496,Thursday,False,53.42999999999995,7.76,True
2016-01-01,JUBLFOOD,743.4,756.45,380.25,426.73,298412892,482693408,Friday,True,-315.19999999999993,-42.48,False
2017-01-01,JUBLFOOD,427.25,915.95,408.6,880.55,395573258,1592088960,Sunday,False,453.81999999999994,106.35,True
2018-01-01,JUBLFOOD,875.13,1578.0,872.88,1252.0,467012455,1888792192,Monday,True,371.45000000000005,42.18,True
2019-01-01,JUBLFOOD,1256.6,1665.5,1077.9,1652.3,350105949,2690205440,Tuesday,False,400.29999999999995,31.97,True
2020-01-01,JUBLFOOD,1656.95,2924.0,1138.25,2791.15,297945063,5483457024,Wednesday,True,1138.8500000000001,68.93,True
2021-01-01,JUBLFOOD,2803.0,4590.0,2543.95,3591.1,170852839,1201011072,Friday,False,799.9499999999998,28.66,True
2022-01-01,JUBLFOOD,3603.0,4032.0,451.2,511.05,2849131482,0,Saturday,True,-3080.0499999999997,-85.77,False
2023-01-01,JUBLFOOD,512.0,515.0,412.1,446.45,164420390,0,Sunday,False,-64.60000000000002,-12.64,False
