Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-10,LT,32.11,32.11,30.89,31.0,67500,1046250.0,Thursday,1994-11-04,,,False,False,,,False,False,,,False,True,,,False
1994-11-17,LT,30.89,34.44,30.69,32.33,568350,2677200.0,Thursday,1994-11-11,,,False,False,1.3299999999999983,4.29,True,False,,,False,True,,,False
1994-11-24,LT,32.22,32.22,29.17,30.25,452250,1987425.0,Thursday,1994-11-18,,,False,False,-2.0799999999999983,-6.43,False,False,,,False,True,,,False
1994-12-01,LT,30.33,30.67,29.94,30.53,374850,2706288.0,Thursday,1994-11-25,1,,False,False,0.28000000000000114,0.93,True,True,-1.2200000000000024,-4.01,False,True,,,False
1994-12-08,LT,29.78,30.33,28.53,28.56,149850,1503450.0,Thursday,1994-12-02,2,,True,False,-1.9700000000000024,-6.45,False,True,-1.2200000000000024,-4.01,False,True,,,False
1994-12-15,LT,28.61,30.5,27.5,29.25,221400,342225.0,Thursday,1994-12-09,3,,False,False,0.6900000000000013,2.42,True,True,-1.2200000000000024,-4.01,False,True,,,False
1994-12-22,LT,29.33,29.67,28.33,29.19,188100,880213.0,Thursday,1994-12-16,4,,True,False,-0.05999999999999872,-0.21,False,True,-1.2200000000000024,-4.01,False,True,,,False
1994-12-29,LT,29.11,29.11,28.0,29.11,145350,628800.0,Thursday,1994-12-23,5,,False,False,-0.08000000000000185,-0.27,False,True,-1.2200000000000024,-4.01,False,True,,,False
1995-01-05,LT,28.89,29.22,27.47,27.49,110700,964860.0,Thursday,1994-12-30,1,1,False,False,-1.620000000000001,-5.57,False,False,-4.109999999999999,-14.07,False,False,0.019999999999999574,0.07,True
1995-01-12,LT,27.5,27.78,25.0,26.17,255600,2166600.0,Thursday,1995-01-06,2,2,True,True,-1.3199999999999967,-4.8,False,False,-4.109999999999999,-14.07,False,False,0.019999999999999574,0.07,True
1995-01-19,LT,26.11,26.94,25.95,26.65,260550,803498.0,Thursday,1995-01-13,3,3,False,False,0.4799999999999969,1.83,True,False,-4.109999999999999,-14.07,False,False,0.019999999999999574,0.07,True
