Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-01,LT,32.11,34.44,29.17,30.44,1374300,1698800,Tuesday,False,,,False,True,,,False
1994-12-01,LT,30.44,30.53,27.5,29.22,823500,881050,Thursday,True,-1.2200000000000024,-4.01,False,True,,,False
1995-01-01,LT,29.22,29.22,23.33,25.11,1493550,3954125,Sunday,False,-4.109999999999999,-14.07,False,False,0.019999999999999574,0.07,True
1995-02-01,LT,25.44,26.56,23.33,25.88,1551150,3330470,Wednesday,True,0.7699999999999996,3.07,True,False,0.019999999999999574,0.07,True
1995-03-01,LT,26.33,29.44,25.89,28.74,7234650,5056608,Wednesday,False,2.8599999999999994,11.05,True,False,0.019999999999999574,0.07,True
1995-04-01,LT,28.44,31.56,27.78,28.37,7500150,35729236,Saturday,True,-0.36999999999999744,-1.29,False,False,0.019999999999999574,0.07,True
1995-05-01,LT,27.78,30.11,26.83,29.84,8554050,8044570,Monday,False,1.4699999999999989,5.18,True,False,0.019999999999999574,0.07,True
1995-06-01,LT,30.11,30.61,28.33,29.02,8566200,8711020,Thursday,True,-0.8200000000000003,-2.75,False,False,0.019999999999999574,0.07,True
1995-07-01,LT,28.79,32.89,27.78,29.53,14458500,17964700,Saturday,False,0.5100000000000016,1.76,True,False,0.019999999999999574,0.07,True
1995-08-01,LT,29.28,31.83,28.83,29.44,3331350,3113750,Tuesday,True,-0.08999999999999986,-0.3,False,False,0.019999999999999574,0.07,True
1995-09-01,LT,29.22,31.59,29.02,30.87,8384850,11628023,Friday,False,1.4299999999999997,4.86,True,False,0.019999999999999574,0.07,True
1995-10-01,LT,31.11,33.33,29.56,30.01,13380300,16891626,Sunday,True,-0.8599999999999994,-2.79,False,False,0.019999999999999574,0.07,True
1995-11-01,LT,30.01,32.22,25.07,26.77,16633800,24420282,Wednesday,False,-3.240000000000002,-10.8,False,False,0.019999999999999574,0.07,True
1995-12-01,LT,26.77,30.44,26.0,29.24,19602900,39985640,Friday,True,2.469999999999999,9.23,True,False,0.019999999999999574,0.07,True
1996-01-01,LT,29.24,29.89,25.67,27.71,36153900,22882450,Monday,False,-1.5299999999999976,-5.23,False,True,-4.479999999999997,-15.32,False
1996-02-01,LT,27.71,32.22,27.63,27.79,37021500,65664372,Thursday,True,0.0799999999999983,0.29,True,True,-4.479999999999997,-15.32,False
1996-03-01,LT,27.79,28.33,25.06,26.94,24143400,114253872,Friday,False,-0.8499999999999979,-3.06,False,True,-4.479999999999997,-15.32,False
1996-04-01,LT,26.94,32.8,26.56,31.42,79340850,125124856,Monday,True,4.48,16.63,True,True,-4.479999999999997,-15.32,False
1996-05-01,LT,32.11,33.55,29.35,30.63,186316650,124938360,Wednesday,False,-0.7900000000000027,-2.51,False,True,-4.479999999999997,-15.32,False
1996-06-01,LT,30.89,35.33,30.44,32.17,578118602,985240896,Saturday,True,1.5400000000000027,5.03,True,True,-4.479999999999997,-15.32,False
1996-07-01,LT,32.11,32.96,26.25,27.76,842711848,588179072,Monday,False,-4.41,-13.71,False,True,-4.479999999999997,-15.32,False
1996-08-01,LT,28.0,28.74,26.46,28.42,278800200,283281472,Thursday,True,0.6600000000000001,2.38,True,True,-4.479999999999997,-15.32,False
1996-09-01,LT,28.43,28.62,25.25,25.78,115481250,259132400,Sunday,False,-2.6400000000000006,-9.29,False,True,-4.479999999999997,-15.32,False
1996-10-01,LT,25.75,26.66,22.5,24.86,259006950,326680288,Tuesday,True,-0.9200000000000017,-3.57,False,True,-4.479999999999997,-15.32,False
1996-11-01,LT,24.99,26.47,22.89,23.79,276367500,311269280,Friday,False,-1.0700000000000003,-4.3,False,True,-4.479999999999997,-15.32,False
1996-12-01,LT,23.86,25.44,20.81,24.76,337544100,141331472,Sunday,True,0.9700000000000024,4.08,True,True,-4.479999999999997,-15.32,False
1997-01-01,LT,25.0,31.28,24.56,26.17,381589650,304931264,Wednesday,False,1.4100000000000001,5.69,True,False,-1.9300000000000033,-7.79,False
1997-02-01,LT,25.67,28.66,25.31,27.94,190910250,234221952,Saturday,True,1.7699999999999996,6.76,True,False,-1.9300000000000033,-7.79,False
1997-03-01,LT,28.33,29.99,22.29,22.34,206053650,847727360,Saturday,False,-5.600000000000001,-20.04,False,False,-1.9300000000000033,-7.79,False
1997-04-01,LT,21.89,26.06,21.89,25.31,126373500,150689696,Tuesday,True,2.969999999999999,13.29,True,False,-1.9300000000000033,-7.79,False
1997-05-01,LT,25.31,25.31,22.34,23.61,128972700,420006240,Thursday,False,-1.6999999999999993,-6.72,False,False,-1.9300000000000033,-7.79,False
1997-06-01,LT,23.68,27.82,23.54,27.28,168627600,226878832,Sunday,True,3.6700000000000017,15.54,True,False,-1.9300000000000033,-7.79,False
1997-07-01,LT,27.33,30.61,27.23,30.04,457298550,261598480,Tuesday,False,2.759999999999998,10.12,True,False,-1.9300000000000033,-7.79,False
1997-08-01,LT,29.89,32.2,24.74,25.18,160513200,300686880,Friday,True,-4.859999999999999,-16.18,False,False,-1.9300000000000033,-7.79,False
1997-09-01,LT,25.43,26.53,23.97,24.87,116418150,69874776,Monday,False,-0.3099999999999987,-1.23,False,False,-1.9300000000000033,-7.79,False
1997-10-01,LT,24.98,26.67,20.17,20.99,108807300,132843920,Wednesday,True,-3.8800000000000026,-15.6,False,False,-1.9300000000000033,-7.79,False
1997-11-01,LT,21.06,21.63,19.58,20.71,110750400,83684280,Saturday,False,-0.2799999999999976,-1.33,False,False,-1.9300000000000033,-7.79,False
1997-12-01,LT,20.44,23.39,19.02,22.83,108841950,132722176,Monday,True,2.1199999999999974,10.24,True,False,-1.9300000000000033,-7.79,False
1998-01-01,LT,22.57,23.81,19.96,20.78,176420700,89409904,Thursday,False,-2.049999999999997,-8.98,False,True,-4.939999999999998,-21.64,False
1998-02-01,LT,20.72,25.44,20.72,25.28,119452050,413845184,Sunday,True,4.5,21.66,True,True,-4.939999999999998,-21.64,False
1998-03-01,LT,25.43,28.25,24.59,26.62,150557850,241646064,Sunday,False,1.3399999999999999,5.3,True,True,-4.939999999999998,-21.64,False
