Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2016-09-01,LTTS,920.0,931.45,833.55,847.15,9715907,80840984,Thursday,False,,,False,True,,,False
2016-10-01,LTTS,847.5,864.95,823.0,834.3,1071644,3255439,Saturday,True,-12.850000000000023,-1.52,False,True,,,False
2016-11-01,LTTS,830.05,867.0,750.0,860.6,1413108,23499542,Tuesday,False,26.300000000000068,3.15,True,True,,,False
2016-12-01,LTTS,860.0,861.95,773.0,787.9,892515,10245064,Thursday,True,-72.70000000000005,-8.45,False,True,,,False
2017-01-01,LTTS,799.0,872.5,780.1,837.7,406814,27527660,Sunday,False,49.80000000000007,6.32,True,False,240.35000000000002,30.51,True
2017-02-01,LTTS,830.05,845.85,770.2,773.5,404190,7810803,Wednesday,True,-64.20000000000005,-7.66,False,False,240.35000000000002,30.51,True
2017-03-01,LTTS,773.75,788.6,759.0,778.6,1201720,33438534,Wednesday,False,5.100000000000023,0.66,True,False,240.35000000000002,30.51,True
2017-04-01,LTTS,779.95,804.0,729.0,768.25,601459,19470528,Saturday,True,-10.350000000000023,-1.33,False,False,240.35000000000002,30.51,True
2017-05-01,LTTS,769.0,795.7,731.05,736.1,885790,8526246,Monday,False,-32.14999999999998,-4.18,False,False,240.35000000000002,30.51,True
2017-06-01,LTTS,735.0,777.0,712.25,717.05,356779,9833624,Thursday,True,-19.050000000000068,-2.59,False,False,240.35000000000002,30.51,True
2017-07-01,LTTS,718.0,781.2,716.05,761.15,689747,6772713,Saturday,False,44.10000000000002,6.15,True,False,240.35000000000002,30.51,True
2017-08-01,LTTS,764.95,773.9,725.05,768.95,316865,7521100,Tuesday,True,7.800000000000068,1.02,True,False,240.35000000000002,30.51,True
2017-09-01,LTTS,773.8,805.0,766.0,781.95,431292,13895252,Friday,False,13.0,1.69,True,False,240.35000000000002,30.51,True
2017-10-01,LTTS,789.95,847.0,765.55,833.0,296519,26912564,Sunday,True,51.049999999999955,6.53,True,False,240.35000000000002,30.51,True
2017-11-01,LTTS,829.0,1036.2,812.2,1022.35,1089933,86112536,Wednesday,False,189.35000000000002,22.73,True,False,240.35000000000002,30.51,True
2017-12-01,LTTS,1025.0,1128.0,965.0,1028.25,956292,13174967,Friday,True,5.899999999999977,0.58,True,False,240.35000000000002,30.51,True
2018-01-01,LTTS,1016.0,1425.8,976.0,1209.4,2332231,94284824,Monday,False,181.1500000000001,17.62,True,True,680.0999999999999,66.14,True
2018-02-01,LTTS,1229.0,1545.0,1203.25,1393.7,2919998,83936976,Thursday,True,184.29999999999995,15.24,True,True,680.0999999999999,66.14,True
2018-03-01,LTTS,1398.0,1435.0,1151.7,1235.6,1740342,293070720,Thursday,False,-158.10000000000014,-11.34,False,True,680.0999999999999,66.14,True
2018-04-01,LTTS,1238.0,1375.0,1145.5,1329.6,3763607,62234588,Sunday,True,94.0,7.61,True,True,680.0999999999999,66.14,True
2018-05-01,LTTS,1338.9,1375.0,1203.1,1326.0,2168536,160528208,Tuesday,False,-3.599999999999909,-0.27,False,True,680.0999999999999,66.14,True
2018-06-01,LTTS,1337.0,1362.1,1156.0,1218.1,1170680,210027232,Friday,True,-107.90000000000009,-8.14,False,True,680.0999999999999,66.14,True
2018-07-01,LTTS,1224.9,1559.0,1191.95,1466.75,2686124,112017168,Sunday,False,248.6500000000001,20.41,True,True,680.0999999999999,66.14,True
2018-08-01,LTTS,1470.25,1775.0,1405.0,1761.65,3754406,291674624,Wednesday,True,294.9000000000001,20.11,True,True,680.0999999999999,66.14,True
2018-09-01,LTTS,1774.0,1855.0,1450.0,1736.25,2941930,333752384,Saturday,False,-25.40000000000009,-1.44,False,True,680.0999999999999,66.14,True
2018-10-01,LTTS,1690.0,1775.0,1366.45,1700.8,3231710,221464576,Monday,True,-35.450000000000045,-2.04,False,True,680.0999999999999,66.14,True
2018-11-01,LTTS,1719.0,1769.0,1471.0,1549.1,1510449,102356784,Thursday,False,-151.70000000000005,-8.92,False,True,680.0999999999999,66.14,True
2018-12-01,LTTS,1564.7,1739.95,1501.0,1708.35,1802961,362194112,Saturday,True,159.25,10.28,True,True,680.0999999999999,66.14,True
2019-01-01,LTTS,1716.9,1757.65,1575.0,1585.25,2576274,342247552,Tuesday,False,-123.09999999999991,-7.21,False,False,-239.89999999999986,-14.04,False
2019-02-01,LTTS,1582.0,1615.0,1404.9,1535.75,2169577,126616448,Friday,True,-49.5,-3.12,False,False,-239.89999999999986,-14.04,False
