Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-07,M&M,28.8,29.2,28.8,29.2,6875,200750,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-14,M&M,28.4,28.56,28.4,28.4,15000,355000,Monday,,,False,False,-0.8000000000000007,-2.74,False,False,,,False,True,,,False
1994-11-21,M&M,28.8,28.8,28.8,28.8,60625,180000,Monday,,,False,False,0.40000000000000213,1.41,True,False,,,False,True,,,False
1994-11-28,M&M,28.8,28.8,28.4,28.4,5625,17750,Monday,,,False,False,-0.40000000000000213,-1.39,False,False,,,False,True,,,False
1994-12-05,M&M,27.6,28.68,27.6,28.4,48125,17750,Monday,1,,False,False,0.0,0.0,False,True,-0.4800000000000004,-1.67,False,True,,,False
1994-12-12,M&M,26.8,28.0,26.16,28.0,96250,105000,Monday,2,,True,False,-0.3999999999999986,-1.41,False,True,-0.4800000000000004,-1.67,False,True,,,False
1994-12-19,M&M,28.0,28.12,27.76,28.0,66875,17500,Monday,3,,False,False,0.0,0.0,False,True,-0.4800000000000004,-1.67,False,True,,,False
1994-12-26,M&M,28.0,28.32,27.76,28.32,137500,212400,Monday,4,,True,False,0.3200000000000003,1.14,True,True,-0.4800000000000004,-1.67,False,True,,,False
1995-01-02,M&M,27.92,28.48,26.8,26.8,16875,16750,Monday,1,1,False,False,-1.5199999999999996,-5.37,False,False,-0.35999999999999943,-1.27,False,False,-1.5199999999999996,-5.37,False
1995-01-09,M&M,26.99,26.99,24.48,25.5,19375,79688,Monday,2,2,True,True,-1.3000000000000007,-4.85,False,False,-0.35999999999999943,-1.27,False,False,-1.5199999999999996,-5.37,False
1995-01-16,M&M,26.0,26.4,25.6,26.4,6250,82500,Monday,3,3,False,False,0.8999999999999986,3.53,True,False,-0.35999999999999943,-1.27,False,False,-1.5199999999999996,-5.37,False
1995-01-23,M&M,25.6,27.28,25.6,27.28,168750,51150,Monday,4,4,True,True,0.8800000000000026,3.33,True,False,-0.35999999999999943,-1.27,False,False,-1.5199999999999996,-5.37,False
1995-01-30,M&M,27.2,28.4,27.2,28.4,30000,142000,Monday,5,5,False,False,1.1199999999999974,4.11,True,False,-0.35999999999999943,-1.27,False,False,-1.5199999999999996,-5.37,False
1995-02-06,M&M,28.0,28.24,27.6,28.2,30625,17625,Monday,1,6,False,True,-0.1999999999999993,-0.7,False,True,-1.1600000000000001,-4.15,False,False,-1.5199999999999996,-5.37,False
1995-02-13,M&M,28.4,29.0,25.92,27.2,36250,204000,Monday,2,7,True,False,-1.0,-3.55,False,True,-1.1600000000000001,-4.15,False,False,-1.5199999999999996,-5.37,False
1995-02-20,M&M,25.6,27.2,25.6,27.2,5000,34000,Monday,3,8,False,True,0.0,0.0,False,True,-1.1600000000000001,-4.15,False,False,-1.5199999999999996,-5.37,False
1995-02-27,M&M,26.48,27.6,26.0,26.88,31875,705600,Monday,4,9,True,False,-0.3200000000000003,-1.18,False,True,-1.1600000000000001,-4.15,False,False,-1.5199999999999996,-5.37,False
1995-03-06,M&M,25.2,26.4,25.2,25.6,26250,48000,Monday,1,10,False,True,-1.2799999999999976,-4.76,False,False,-4.609999999999999,-17.2,False,False,-1.5199999999999996,-5.37,False
