Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
2006-01-01,M&MFIN,27.0,35.76,16.46,33.64,391654762,23402778,Sunday,True,,,False
2007-01-01,M&MFIN,30.96,40.2,23.56,38.77,149902264,10474256,Monday,False,5.130000000000003,15.25,True
2008-01-01,M&MFIN,39.24,43.79,20.46,30.42,65289428,9707022,Tuesday,True,-8.350000000000001,-21.54,False
2009-01-01,M&MFIN,30.19,42.48,21.14,41.11,218349438,62131540,Thursday,False,10.689999999999998,35.14,True
2010-01-01,M&MFIN,41.17,112.8,37.22,88.84,298400043,62828320,Friday,True,47.730000000000004,116.1,True
2011-01-01,M&MFIN,89.16,100.8,70.28,73.23,202271177,72315232,Saturday,False,-15.61,-17.57,False
2012-01-01,M&MFIN,72.24,140.72,68.11,131.82,263408656,57998604,Sunday,True,58.58999999999999,80.01,True
2013-01-01,M&MFIN,132.47,213.9,107.1,192.39,538183528,286359680,Tuesday,False,60.56999999999999,45.95,True
2014-01-01,M&MFIN,192.12,205.2,137.55,197.76,661824651,963823936,Wednesday,True,5.3700000000000045,2.79,True
2015-01-01,M&MFIN,197.58,203.64,132.66,145.29,601695594,177258880,Thursday,False,-52.47,-26.53,False
2016-01-01,M&MFIN,145.02,242.94,103.86,162.15,766041948,399075488,Friday,True,16.860000000000014,11.6,True
2017-01-01,M&MFIN,164.4,293.28,157.98,283.86,912285319,429756000,Sunday,False,121.71000000000001,75.06,True
2018-01-01,M&MFIN,284.28,320.4,205.59,284.19,730919798,396142848,Monday,True,0.3299999999999841,0.12,True
2019-01-01,M&MFIN,286.08,286.2,170.91,193.47,804494106,790443648,Tuesday,False,-90.72,-31.92,False
2020-01-01,M&MFIN,194.1,241.98,75.24,174.9,3550985889,796889472,Wednesday,True,-18.569999999999993,-9.6,False
2021-01-01,M&MFIN,176.0,224.3,138.55,148.95,2012648279,302149984,Friday,False,-25.950000000000017,-14.84,False
2022-01-01,M&MFIN,148.95,243.4,128.0,234.6,1711374181,0,Saturday,True,85.65,57.5,True
2023-01-01,M&MFIN,235.05,272.0,215.65,259.0,269888504,0,Sunday,False,24.400000000000006,10.4,True
