Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-12-01,MCDOWELL-N,13.6,13.6,13.15,13.15,2000,19725.0,Thursday,True,,,False,True,,,False
1995-01-01,MCDOWELL-N,13.0,13.0,10.0,11.2,15500,16800.0,Sunday,False,-1.950000000000001,-14.83,False,False,-6.390000000000001,-48.59,False
1995-02-01,MCDOWELL-N,11.2,11.9,10.2,10.8,29000,10800.0,Wednesday,True,-0.3999999999999986,-3.57,False,False,-6.390000000000001,-48.59,False
1995-03-01,MCDOWELL-N,11.2,12.0,10.6,10.9,50500,49050.0,Wednesday,False,0.09999999999999964,0.93,True,False,-6.390000000000001,-48.59,False
1995-04-01,MCDOWELL-N,10.5,11.4,9.8,10.0,58000,10000.0,Saturday,True,-0.9000000000000004,-8.26,False,False,-6.390000000000001,-48.59,False
1995-05-01,MCDOWELL-N,9.8,10.2,9.0,9.4,119500,32900.0,Monday,False,-0.5999999999999996,-6.0,False,False,-6.390000000000001,-48.59,False
1995-06-01,MCDOWELL-N,9.4,9.5,7.9,8.06,112500,48360.0,Thursday,True,-1.3399999999999999,-14.26,False,False,-6.390000000000001,-48.59,False
1995-07-01,MCDOWELL-N,8.1,8.8,7.6,7.88,66500,27580.0,Saturday,False,-0.1800000000000006,-2.23,False,False,-6.390000000000001,-48.59,False
1995-08-01,MCDOWELL-N,8.4,8.4,6.8,7.0,65500,35000.0,Tuesday,True,-0.8799999999999999,-11.17,False,False,-6.390000000000001,-48.59,False
1995-09-01,MCDOWELL-N,7.0,7.2,6.2,6.41,84000,9615.0,Friday,False,-0.5899999999999999,-8.43,False,False,-6.390000000000001,-48.59,False
1995-10-01,MCDOWELL-N,6.5,7.1,6.2,6.49,99500,107085.0,Sunday,True,0.08000000000000007,1.25,True,False,-6.390000000000001,-48.59,False
1995-11-01,MCDOWELL-N,6.6,6.8,5.7,6.2,160500,21700.0,Wednesday,False,-0.29000000000000004,-4.47,False,False,-6.390000000000001,-48.59,False
1995-12-01,MCDOWELL-N,6.39,7.2,6.2,6.76,165000,87880.0,Friday,True,0.5599999999999996,9.03,True,False,-6.390000000000001,-48.59,False
1996-01-01,MCDOWELL-N,6.6,6.9,5.12,5.45,271500,57225.0,Monday,False,-1.3099999999999996,-19.38,False,True,-3.03,-44.82,False
1996-02-01,MCDOWELL-N,5.55,6.4,5.26,5.74,256500,20090.0,Thursday,True,0.29000000000000004,5.32,True,True,-3.03,-44.82,False
1996-03-01,MCDOWELL-N,5.7,5.78,4.0,4.8,682000,247200.0,Friday,False,-0.9400000000000004,-16.38,False,True,-3.03,-44.82,False
1996-04-01,MCDOWELL-N,4.8,5.82,4.62,5.32,362000,71820.0,Monday,True,0.5200000000000005,10.83,True,True,-3.03,-44.82,False
1996-05-01,MCDOWELL-N,5.32,5.59,4.4,4.6,326000,34500.0,Wednesday,False,-0.7200000000000006,-13.53,False,True,-3.03,-44.82,False
1996-06-01,MCDOWELL-N,4.6,5.0,4.1,4.36,343500,21800.0,Saturday,True,-0.23999999999999932,-5.22,False,True,-3.03,-44.82,False
1996-07-01,MCDOWELL-N,4.25,4.38,3.4,3.61,251000,61370.0,Monday,False,-0.7500000000000004,-17.2,False,True,-3.03,-44.82,False
1996-08-01,MCDOWELL-N,3.6,3.8,3.31,3.8,297000,53200.0,Thursday,True,0.18999999999999995,5.26,True,True,-3.03,-44.82,False
1996-09-01,MCDOWELL-N,3.8,3.92,3.39,3.65,216000,58400.0,Sunday,False,-0.1499999999999999,-3.95,False,True,-3.03,-44.82,False
1996-10-01,MCDOWELL-N,3.51,4.18,3.38,3.8,228000,51300.0,Tuesday,True,0.1499999999999999,4.11,True,True,-3.03,-44.82,False
1996-11-01,MCDOWELL-N,3.76,3.83,3.4,3.4,118000,28900.0,Friday,False,-0.3999999999999999,-10.53,False,True,-3.03,-44.82,False
1996-12-01,MCDOWELL-N,3.55,3.9,3.2,3.73,172000,37300.0,Sunday,True,0.33000000000000007,9.71,True,True,-3.03,-44.82,False
1997-01-01,MCDOWELL-N,3.9,4.7,3.5,3.5,495500,40250.0,Wednesday,False,-0.22999999999999998,-6.17,False,False,-0.8900000000000001,-23.86,False
