Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1994-01-01,MCDOWELL-N,13.6,13.6,13.15,13.15,2000,19725,Saturday,True,,,False
1995-01-01,MCDOWELL-N,13.0,13.0,5.7,6.76,1026000,87880,Sunday,False,-6.390000000000001,-48.59,False
1996-01-01,MCDOWELL-N,6.6,6.9,3.2,3.73,3523500,37300,Monday,True,-3.03,-44.82,False
1997-01-01,MCDOWELL-N,3.9,4.7,2.48,2.84,5677500,26980,Wednesday,False,-0.8900000000000001,-23.86,False
1998-01-01,MCDOWELL-N,2.85,6.3,2.26,5.18,18193500,468790,Thursday,True,2.34,82.39,True
1999-01-01,MCDOWELL-N,5.22,58.4,3.8,55.1,158135000,77002248,Friday,False,49.92,963.71,True
2000-01-01,MCDOWELL-N,59.41,70.4,12.41,16.33,143003640,14125369,Saturday,True,-38.77,-70.36,False
2001-01-01,MCDOWELL-N,16.44,18.8,5.51,11.41,159646730,5462309,Monday,False,-4.919999999999998,-30.13,False
2002-01-01,MCDOWELL-N,11.92,13.96,7.0,8.72,207154730,7739785,Tuesday,True,-2.6899999999999995,-23.58,False
2003-01-01,MCDOWELL-N,8.78,15.0,6.63,13.82,255903775,23466912,Wednesday,False,5.1,58.49,True
2004-01-01,MCDOWELL-N,13.83,30.2,8.2,25.35,680765486,102702360,Thursday,True,11.530000000000001,83.43,True
2005-01-01,MCDOWELL-N,25.58,102.05,19.52,99.24,1986619099,1271078912,Saturday,False,73.88999999999999,291.48,True
2006-01-01,MCDOWELL-N,99.94,182.9,72.64,172.89,753491475,546356608,Sunday,True,73.64999999999999,74.21,True
2007-01-01,MCDOWELL-N,173.92,437.99,132.45,399.7,531370105,488743168,Monday,False,226.81,131.19,True
2008-01-01,MCDOWELL-N,398.0,432.0,121.2,176.96,269284950,142274064,Tuesday,True,-222.73999999999998,-55.73,False
2009-01-01,MCDOWELL-N,179.4,283.4,85.21,252.06,1708810493,524160064,Thursday,False,75.1,42.44,True
2010-01-01,MCDOWELL-N,253.0,337.64,211.4,292.75,407954655,154823760,Friday,True,40.69,16.14,True
2011-01-01,MCDOWELL-N,294.6,328.0,95.82,98.38,439796195,547579136,Saturday,False,-194.37,-66.39,False
2012-01-01,MCDOWELL-N,100.0,430.0,95.54,379.75,3499349019,1396107264,Sunday,True,281.37,286.0,True
2013-01-01,MCDOWELL-N,381.91,562.0,341.54,521.71,1494554025,1652910336,Tuesday,False,141.96000000000004,37.38,True
2014-01-01,MCDOWELL-N,524.32,589.0,445.0,556.73,780453809,217141392,Wednesday,True,35.01999999999998,6.71,True
2015-01-01,MCDOWELL-N,556.0,816.4,550.55,598.29,294609435,491351648,Thursday,False,41.559999999999945,7.47,True
2016-01-01,MCDOWELL-N,600.2,610.0,354.69,388.56,410470600,255480144,Friday,True,-209.72999999999996,-35.05,False
2017-01-01,MCDOWELL-N,389.93,737.6,366.07,733.77,618474280,951798784,Sunday,False,345.21,88.84,True
2018-01-01,MCDOWELL-N,738.4,801.03,438.2,635.8,454747685,861445376,Monday,True,-97.97000000000003,-13.35,False
2019-01-01,MCDOWELL-N,634.0,674.0,496.8,599.55,372688786,1478606592,Tuesday,False,-36.25,-5.7,False
2020-01-01,MCDOWELL-N,601.0,742.7,442.65,578.25,752486374,953083776,Wednesday,True,-21.299999999999955,-3.55,False
2021-01-01,MCDOWELL-N,579.0,1019.95,507.5,898.25,604958719,1157262208,Friday,False,320.0,55.34,True
2022-01-01,MCDOWELL-N,892.3,958.0,712.0,877.55,1959988310,0,Saturday,True,-20.700000000000045,-2.3,False
2023-01-01,MCDOWELL-N,875.0,882.2,730.55,777.15,77447441,0,Sunday,False,-100.39999999999998,-11.44,False
