Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2019-04-01,METROPOLIS,958.0,1005.6,927.1,947.85,9385099,61022580,Monday,True,,,False,False,,,False
2019-05-01,METROPOLIS,956.7,980.0,907.0,966.45,1332168,178236576,Wednesday,False,18.600000000000023,1.96,True,False,,,False
2019-06-01,METROPOLIS,960.35,995.95,927.4,971.3,440057,17797130,Saturday,True,4.849999999999909,0.5,True,False,,,False
2019-07-01,METROPOLIS,965.0,1080.0,946.15,1018.95,511989,13733408,Monday,False,47.65000000000009,4.91,True,False,,,False
2019-08-01,METROPOLIS,1000.0,1174.0,1000.0,1162.0,732985,135427616,Thursday,True,143.04999999999995,14.04,True,False,,,False
2019-09-01,METROPOLIS,1162.0,1360.0,1142.3,1272.8,785817,54077456,Sunday,False,110.79999999999995,9.54,True,False,,,False
2019-10-01,METROPOLIS,1268.0,1480.0,1218.7,1447.15,754151,23668138,Tuesday,True,174.35000000000014,13.7,True,False,,,False
2019-11-01,METROPOLIS,1435.0,1488.0,1336.6,1394.75,844293,24484836,Friday,False,-52.40000000000009,-3.62,False,False,,,False
2019-12-01,METROPOLIS,1385.0,1465.0,1250.0,1451.55,761696,62466004,Sunday,True,56.799999999999955,4.07,True,False,,,False
2020-01-01,METROPOLIS,1430.2,1730.0,1340.0,1654.6,944585,20869470,Wednesday,False,203.04999999999995,13.99,True,True,509.75,35.12,True
2020-02-01,METROPOLIS,1664.0,1950.0,1515.0,1850.55,1176726,153021984,Saturday,True,195.95000000000005,11.84,True,True,509.75,35.12,True
2020-03-01,METROPOLIS,1890.0,2109.0,998.05,1284.45,2569959,136817040,Sunday,False,-566.0999999999999,-30.59,False,True,509.75,35.12,True
2020-04-01,METROPOLIS,1299.9,1383.0,1151.0,1262.65,8373666,235075136,Wednesday,True,-21.799999999999955,-1.7,False,True,509.75,35.12,True
2020-05-01,METROPOLIS,1245.0,1399.0,1176.0,1384.95,1795667,157434192,Friday,False,122.29999999999995,9.69,True,True,509.75,35.12,True
2020-06-01,METROPOLIS,1381.0,1547.9,1338.9,1359.3,3443993,380966944,Monday,True,-25.65000000000009,-1.85,False,True,509.75,35.12,True
2020-07-01,METROPOLIS,1355.0,1646.0,1339.0,1574.15,2453294,79028624,Wednesday,False,214.85000000000014,15.81,True,True,509.75,35.12,True
2020-08-01,METROPOLIS,1548.95,1918.0,1515.2,1838.65,2865158,447474080,Saturday,True,264.5,16.8,True,True,509.75,35.12,True
2020-09-01,METROPOLIS,1843.65,2040.0,1675.0,1794.05,2944168,118726648,Tuesday,False,-44.600000000000136,-2.43,False,True,509.75,35.12,True
2020-10-01,METROPOLIS,1799.0,2144.9,1770.0,1967.5,2535873,132493416,Thursday,True,173.45000000000005,9.67,True,True,509.75,35.12,True
2020-11-01,METROPOLIS,1965.0,2323.0,1821.5,2234.4,2232711,265229968,Sunday,False,266.9000000000001,13.57,True,True,509.75,35.12,True
2020-12-01,METROPOLIS,2235.5,2264.95,1822.0,1961.3,2653342,157965072,Tuesday,True,-273.10000000000014,-12.22,False,True,509.75,35.12,True
2021-01-01,METROPOLIS,1971.0,2320.0,1961.45,2063.35,2085487,40140412,Friday,False,102.04999999999995,5.2,True,False,1479.6000000000001,75.44,True
2021-02-01,METROPOLIS,2090.0,2298.0,1915.0,1959.3,1929817,78673736,Monday,True,-104.04999999999995,-5.04,False,False,1479.6000000000001,75.44,True
2021-03-01,METROPOLIS,1999.8,2348.0,1848.0,2241.2,2808806,402990176,Monday,False,281.89999999999986,14.39,True,False,1479.6000000000001,75.44,True
2021-04-01,METROPOLIS,2219.0,2605.0,2142.05,2395.05,3789882,84444672,Thursday,True,153.85000000000036,6.86,True,False,1479.6000000000001,75.44,True
2021-05-01,METROPOLIS,2375.0,2675.0,2250.0,2584.05,3377910,1630184192,Saturday,False,189.0,7.89,True,False,1479.6000000000001,75.44,True
2021-06-01,METROPOLIS,2563.0,3098.0,2430.8,2835.75,5758064,381045408,Tuesday,True,251.69999999999982,9.74,True,False,1479.6000000000001,75.44,True
2021-07-01,METROPOLIS,2835.0,3231.8,2767.25,2844.75,5170928,2161546240,Thursday,False,9.0,0.32,True,False,1479.6000000000001,75.44,True
2021-08-01,METROPOLIS,2880.0,3145.0,2608.8,2823.55,5817127,598835456,Sunday,True,-21.199999999999818,-0.75,False,False,1479.6000000000001,75.44,True
