Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-12-15,MFSL,34.33,34.33,31.67,31.67,3000,47500.0,Thursday,1994-12-09,,,False,False,,,False,True,,,False,True,,,False
1994-12-22,MFSL,30.07,30.07,30.0,30.0,2250,67500.0,Thursday,1994-12-16,,,False,False,-1.6700000000000017,-5.27,False,True,,,False,True,,,False
1994-12-29,,,,,,0,,Thursday,1994-12-23,,,False,False,,,False,True,,,False,True,,,False
1995-01-05,MFSL,29.67,30.67,29.67,30.67,2250,46000.0,Thursday,1994-12-30,1,1,False,False,,,False,False,-0.6700000000000017,-2.23,False,False,-14.99,-49.97,False
1995-01-12,MFSL,30.0,30.0,29.33,29.33,4500,66000.0,Thursday,1995-01-06,2,2,True,True,-1.3400000000000034,-4.37,False,False,-0.6700000000000017,-2.23,False,False,-14.99,-49.97,False
1995-01-19,MFSL,31.0,32.0,30.6,31.8,9750,143100.0,Thursday,1995-01-13,3,3,False,False,2.4700000000000024,8.42,True,False,-0.6700000000000017,-2.23,False,False,-14.99,-49.97,False
1995-01-26,MFSL,32.0,32.0,29.33,29.33,8250,22000.0,Thursday,1995-01-20,4,4,True,True,-2.4700000000000024,-7.77,False,False,-0.6700000000000017,-2.23,False,False,-14.99,-49.97,False
1995-02-02,,,,,,0,,Thursday,1995-01-27,1,5,False,False,,,False,True,-2.0,-6.82,False,False,-14.99,-49.97,False
1995-02-09,MFSL,29.67,29.93,29.33,29.93,6000,112250.0,Thursday,1995-02-03,2,6,True,True,,,False,True,-2.0,-6.82,False,False,-14.99,-49.97,False
1995-02-16,MFSL,28.67,29.0,27.33,27.33,3000,20500.0,Thursday,1995-02-10,3,7,False,False,-2.6000000000000014,-8.69,False,True,-2.0,-6.82,False,False,-14.99,-49.97,False
1995-02-23,MFSL,27.33,27.67,27.33,27.33,3750,61500.0,Thursday,1995-02-17,4,8,True,True,0.0,0.0,False,True,-2.0,-6.82,False,False,-14.99,-49.97,False
1995-03-02,MFSL,26.67,27.33,26.13,27.27,5250,102250.0,Thursday,1995-02-24,1,9,False,False,-0.05999999999999872,-0.22,False,False,-1.3299999999999983,-4.87,False,False,-14.99,-49.97,False
1995-03-09,MFSL,27.33,28.13,27.33,28.0,752250,8400000.0,Thursday,1995-03-03,2,10,True,True,0.7300000000000004,2.68,True,False,-1.3299999999999983,-4.87,False,False,-14.99,-49.97,False
