Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1996-09-19,MPHASIS,7.33,7.33,6.67,6.77,63750,91350,Thursday,1996-09-13,,,False,False,,,False,False,,,False,True,,,False
1996-09-26,MPHASIS,6.77,7.4,5.54,5.6,118500,121800,Thursday,1996-09-20,,,False,False,-1.17,-17.28,False,False,,,False,True,,,False
1996-10-03,MPHASIS,5.49,5.53,4.93,4.94,77250,62985,Thursday,1996-09-27,1,,False,False,-0.6599999999999993,-11.79,False,True,-0.03000000000000025,-0.56,False,True,,,False
1996-10-10,MPHASIS,4.83,5.06,4.07,4.95,201750,185750,Thursday,1996-10-04,2,,True,False,0.009999999999999787,0.2,True,True,-0.03000000000000025,-0.56,False,True,,,False
1996-10-17,MPHASIS,5.19,5.4,4.91,5.23,462000,196250,Thursday,1996-10-11,3,,False,False,0.28000000000000025,5.66,True,True,-0.03000000000000025,-0.56,False,True,,,False
1996-10-24,MPHASIS,5.23,5.6,5.1,5.33,320250,211735,Thursday,1996-10-18,4,,True,False,0.09999999999999964,1.91,True,True,-0.03000000000000025,-0.56,False,True,,,False
1996-10-31,MPHASIS,5.27,5.47,5.1,5.29,478500,1812005,Thursday,1996-10-25,5,,False,False,-0.040000000000000036,-0.75,False,True,-0.03000000000000025,-0.56,False,True,,,False
1996-11-07,MPHASIS,5.12,5.32,4.73,4.79,86250,107700,Thursday,1996-11-01,1,,False,False,-0.5,-9.45,False,False,0.0,0.0,False,True,,,False
1996-11-14,MPHASIS,4.81,4.81,4.13,4.2,519000,321300,Thursday,1996-11-08,2,,True,False,-0.5899999999999999,-12.32,False,False,0.0,0.0,False,True,,,False
1996-11-21,MPHASIS,4.2,4.38,3.87,3.95,215250,56240,Thursday,1996-11-15,3,,False,False,-0.25,-5.95,False,False,0.0,0.0,False,True,,,False
1996-11-28,MPHASIS,4.0,5.07,3.93,5.01,631500,1210720,Thursday,1996-11-22,4,,True,False,1.0599999999999996,26.84,True,False,0.0,0.0,False,True,,,False
1996-12-05,MPHASIS,4.77,5.33,4.73,4.82,499500,14460,Thursday,1996-11-29,1,,False,False,-0.1899999999999995,-3.79,False,True,2.5700000000000003,48.58,True,True,,,False
