Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1995-01-19,MRF,2250.0,2250.0,2250.0,2250.0,100,225000.0,Thursday,1995-01-13,,,False,False,,,False,False,,,False,False,,,False
1995-01-26,,,,,,0,,Thursday,1995-01-20,,,False,False,,,False,False,,,False,False,,,False
1995-02-02,MRF,2150.0,2150.0,2150.0,2150.0,150,322500.0,Thursday,1995-01-27,1,,False,False,,,False,True,-100.0,-4.44,False,False,,,False
1995-02-09,MRF,2175.0,2200.0,2150.0,2150.0,250,107500.0,Thursday,1995-02-03,2,,True,False,0.0,0.0,False,True,-100.0,-4.44,False,False,,,False
1995-02-16,MRF,2150.0,2150.0,2150.0,2150.0,250,537500.0,Thursday,1995-02-10,3,,False,False,0.0,0.0,False,True,-100.0,-4.44,False,False,,,False
1995-02-23,,,,,,0,,Thursday,1995-02-17,4,,True,False,,,False,True,-100.0,-4.44,False,False,,,False
1995-03-02,,,,,,0,,Thursday,1995-02-24,1,,False,False,,,False,False,50.0,2.33,True,False,,,False
1995-03-09,MRF,2050.0,2300.0,2050.0,2200.0,150,220000.0,Thursday,1995-03-03,2,,True,False,,,False,False,50.0,2.33,True,False,,,False
1995-03-16,MRF,2200.0,2200.0,2200.0,2200.0,50,110000.0,Thursday,1995-03-10,3,,False,False,0.0,0.0,False,False,50.0,2.33,True,False,,,False
1995-03-23,,,,,,0,,Thursday,1995-03-17,4,,True,False,,,False,False,50.0,2.33,True,False,,,False
1995-03-30,,,,,,0,,Thursday,1995-03-24,5,,False,False,,,False,False,50.0,2.33,True,False,,,False
1995-04-06,MRF,2000.0,2000.0,2000.0,2000.0,50,100000.0,Thursday,1995-03-31,1,,False,False,,,False,True,-200.0,-9.09,False,False,,,False
1995-04-13,MRF,2075.0,2075.0,2075.0,2075.0,50,103750.0,Thursday,1995-04-07,2,,True,False,75.0,3.75,True,True,-200.0,-9.09,False,False,,,False
1995-04-20,MRF,2000.0,2000.0,2000.0,2000.0,100,100000.0,Thursday,1995-04-14,3,,False,False,-75.0,-3.61,False,True,-200.0,-9.09,False,False,,,False
1995-04-27,,,,,,0,,Thursday,1995-04-21,4,,True,False,,,False,True,-200.0,-9.09,False,False,,,False
1995-05-04,,,,,,0,,Thursday,1995-04-28,1,,False,False,,,False,False,-150.0,-7.5,False,False,,,False
1995-05-11,,,,,,0,,Thursday,1995-05-05,2,,True,False,,,False,False,-150.0,-7.5,False,False,,,False
1995-05-18,MRF,1800.0,1850.0,1799.5,1850.0,450,92500.0,Thursday,1995-05-12,3,,False,False,,,False,False,-150.0,-7.5,False,False,,,False
1995-05-25,MRF,1850.0,1850.0,1850.0,1850.0,150,92500.0,Thursday,1995-05-19,4,,True,False,0.0,0.0,False,False,-150.0,-7.5,False,False,,,False
1995-06-01,,,,,,0,,Thursday,1995-05-26,1,,False,False,,,False,True,-150.0,-8.11,False,False,,,False
1995-06-08,MRF,1760.0,1760.0,1750.0,1750.0,100,175000.0,Thursday,1995-06-02,2,,True,False,,,False,True,-150.0,-8.11,False,False,,,False
1995-06-15,,,,,,0,,Thursday,1995-06-09,3,,False,False,,,False,True,-150.0,-8.11,False,False,,,False
1995-06-22,,,,,,0,,Thursday,1995-06-16,4,,True,False,,,False,True,-150.0,-8.11,False,False,,,False
1995-06-29,MRF,1650.0,1700.0,1650.0,1700.0,10050,17000000.0,Thursday,1995-06-23,5,,False,False,,,False,True,-150.0,-8.11,False,False,,,False
1995-07-06,MRF,1670.0,1670.0,1670.0,1670.0,100,167000.0,Thursday,1995-06-30,1,,False,False,-30.0,-1.76,False,False,25.0,1.47,True,False,,,False
1995-07-13,MRF,1550.0,1550.0,1475.0,1506.0,400,75300.0,Thursday,1995-07-07,2,,True,False,-164.0,-9.82,False,False,25.0,1.47,True,False,,,False
1995-07-20,MRF,1550.0,1850.0,1550.0,1850.0,300,92500.0,Thursday,1995-07-14,3,,False,False,344.0,22.84,True,False,25.0,1.47,True,False,,,False
1995-07-27,MRF,1725.0,1725.0,1725.0,1725.0,50,86250.0,Thursday,1995-07-21,4,,True,False,-125.0,-6.76,False,False,25.0,1.47,True,False,,,False
1995-08-03,,,,,,0,,Thursday,1995-07-28,1,,False,False,,,False,True,125.0,7.25,True,False,,,False
1995-08-10,MRF,1750.0,1750.0,1750.0,1750.0,50,87500.0,Thursday,1995-08-04,2,,True,False,,,False,True,125.0,7.25,True,False,,,False
1995-08-17,MRF,1700.0,1700.0,1675.0,1675.0,100,167500.0,Thursday,1995-08-11,3,,False,False,-75.0,-4.29,False,True,125.0,7.25,True,False,,,False
1995-08-24,MRF,1840.0,1850.0,1800.0,1820.0,350,91000.0,Thursday,1995-08-18,4,,True,False,145.0,8.66,True,True,125.0,7.25,True,False,,,False
1995-08-31,MRF,1775.0,1850.0,1775.0,1850.0,150,277500.0,Thursday,1995-08-25,5,,False,False,30.0,1.65,True,True,125.0,7.25,True,False,,,False
1995-09-07,MRF,1800.0,1800.0,1800.0,1800.0,50,90000.0,Thursday,1995-09-01,1,,False,False,-50.0,-2.7,False,False,0.0,0.0,False,False,,,False
1995-09-14,MRF,1800.0,1800.0,1720.0,1720.0,15050,86000.0,Thursday,1995-09-08,2,,True,False,-80.0,-4.44,False,False,0.0,0.0,False,False,,,False
1995-09-21,,,,,,0,,Thursday,1995-09-15,3,,False,False,,,False,False,0.0,0.0,False,False,,,False
1995-09-28,MRF,1725.0,1850.0,1725.0,1850.0,800,185000.0,Thursday,1995-09-22,4,,True,False,,,False,False,0.0,0.0,False,False,,,False
1995-10-05,,,,,,0,,Thursday,1995-09-29,1,,False,False,,,False,True,-60.0,-3.24,False,False,,,False
1995-10-12,MRF,1725.0,1850.0,1711.0,1850.0,150,92500.0,Thursday,1995-10-06,2,,True,False,,,False,True,-60.0,-3.24,False,False,,,False
1995-10-19,MRF,1725.0,1780.0,1725.0,1775.0,350,266250.0,Thursday,1995-10-13,3,,False,False,-75.0,-4.05,False,True,-60.0,-3.24,False,False,,,False
1995-10-26,MRF,1750.0,1800.0,1750.0,1750.0,250,87500.0,Thursday,1995-10-20,4,,True,False,-25.0,-1.41,False,True,-60.0,-3.24,False,False,,,False
1995-11-02,MRF,1750.0,1852.5,1750.0,1852.5,2250,3705000.0,Thursday,1995-10-27,1,,False,False,102.5,5.86,True,False,-140.0,-7.82,False,False,,,False
1995-11-09,MRF,1850.0,1850.0,1775.0,1798.0,2100,179800.0,Thursday,1995-11-03,2,,True,False,-54.5,-2.94,False,False,-140.0,-7.82,False,False,,,False
1995-11-16,MRF,1700.0,1750.0,1695.0,1700.0,1500,170000.0,Thursday,1995-11-10,3,,False,False,-98.0,-5.45,False,False,-140.0,-7.82,False,False,,,False
1995-11-23,MRF,1700.0,1700.0,1625.0,1627.5,300,244125.0,Thursday,1995-11-17,4,,True,False,-72.5,-4.26,False,False,-140.0,-7.82,False,False,,,False
1995-11-30,MRF,1629.0,1700.0,1629.0,1650.0,550,247500.0,Thursday,1995-11-24,5,,False,False,22.5,1.38,True,False,-140.0,-7.82,False,False,,,False
1995-12-07,MRF,1650.0,1725.0,1650.0,1725.0,7900,8797500.0,Thursday,1995-12-01,1,,False,False,75.0,4.55,True,True,149.0,9.03,True,False,,,False
1995-12-14,MRF,1700.0,1775.0,1700.0,1775.0,550,266250.0,Thursday,1995-12-08,2,,True,False,50.0,2.9,True,True,149.0,9.03,True,False,,,False
1995-12-21,MRF,1705.0,1720.0,1685.0,1685.0,300,337000.0,Thursday,1995-12-15,3,,False,False,-90.0,-5.07,False,True,149.0,9.03,True,False,,,False
1995-12-28,MRF,1685.0,1799.0,1735.0,1799.0,500,899500.0,Thursday,1995-12-22,4,,True,False,114.0,6.77,True,True,149.0,9.03,True,False,,,False
1996-01-04,MRF,1799.0,1799.0,1620.0,1620.0,50,81000.0,Thursday,1995-12-29,1,1,False,False,-179.0,-9.95,False,False,60.25,3.35,True,True,1027.0,57.09,True
1996-01-11,MRF,1700.0,1730.0,1650.0,1725.0,1200,517500.0,Thursday,1996-01-05,2,2,True,True,105.0,6.48,True,False,60.25,3.35,True,True,1027.0,57.09,True
1996-01-18,MRF,1700.0,1890.0,1700.0,1700.0,300,255000.0,Thursday,1996-01-12,3,3,False,False,-25.0,-1.45,False,False,60.25,3.35,True,True,1027.0,57.09,True
