Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
2010-01-01,NESTLEIND,2555.0,4224.0,2295.0,3813.75,6845466,39182468,Friday,True,,,False
2011-01-01,NESTLEIND,3838.7,4588.7,3162.25,4094.85,5697283,80856912,Saturday,False,281.0999999999999,7.37,True
2012-01-01,NESTLEIND,4143.5,5544.45,3925.0,4992.3,6719959,58729416,Sunday,True,897.4500000000003,21.92,True
2013-01-01,NESTLEIND,5001.0,5844.0,4433.0,5289.25,8274184,61275960,Tuesday,False,296.9499999999998,5.95,True
2014-01-01,NESTLEIND,5290.0,6620.0,4525.0,6384.85,8622362,124025712,Wednesday,True,1095.6000000000004,20.71,True
2015-01-01,NESTLEIND,6385.0,7505.0,5501.0,5828.0,15187353,111955880,Thursday,False,-556.8500000000004,-8.72,False
2016-01-01,NESTLEIND,5820.05,7369.0,4981.0,6028.35,9486041,100420256,Friday,True,200.35000000000036,3.44,True
2017-01-01,NESTLEIND,6030.0,8039.05,5828.0,7870.9,10304925,240274960,Sunday,False,1842.5499999999993,30.56,True
2018-01-01,NESTLEIND,7900.0,11705.0,6887.25,11084.85,16403012,514669568,Monday,True,3213.9500000000007,40.83,True
2019-01-01,NESTLEIND,11150.0,15146.9,10031.65,14785.35,20124934,928002496,Tuesday,False,3700.5,33.38,True
2020-01-01,NESTLEIND,14819.0,18844.0,12200.0,18390.25,36101515,1571299712,Wednesday,True,3604.8999999999996,24.38,True
2021-01-01,NESTLEIND,18389.7,20609.15,16002.1,19705.7,19397274,786001280,Friday,False,1315.4500000000007,7.15,True
2022-01-01,NESTLEIND,19695.0,21048.8,16000.0,19606.0,1082264741,0,Saturday,True,-99.70000000000073,-0.51,False
2023-01-01,NESTLEIND,19616.65,21849.6,17880.0,21761.4,4853544,0,Sunday,False,2155.4000000000015,10.99,True
