Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2004-01-15,NIFTYCPSE,726.03,726.03,707.87,708.46,0,0,Thursday,2004-01-09,,,False,False,,,False,False,,,False,True,,,False
2004-01-22,NIFTYCPSE,680.81,692.96,604.04,604.04,0,0,Thursday,2004-01-16,,,False,False,-104.42000000000007,-14.74,False,False,,,False,True,,,False
2004-01-29,NIFTYCPSE,650.07,679.23,650.07,661.39,0,0,Thursday,2004-01-23,,,False,False,57.35000000000002,9.49,True,False,,,False,True,,,False
2004-02-05,NIFTYCPSE,640.38,640.38,603.38,625.88,0,0,Thursday,2004-01-30,1,,False,False,-35.50999999999999,-5.37,False,True,-27.279999999999973,-4.26,False,True,,,False
2004-02-12,NIFTYCPSE,647.34,664.85,647.34,659.41,0,0,Thursday,2004-02-06,2,,True,False,33.52999999999997,5.36,True,True,-27.279999999999973,-4.26,False,True,,,False
2004-02-19,NIFTYCPSE,663.67,672.41,656.89,660.68,0,0,Thursday,2004-02-13,3,,False,False,1.2699999999999818,0.19,True,True,-27.279999999999973,-4.26,False,True,,,False
2004-02-26,NIFTYCPSE,654.74,654.74,598.23,598.23,0,0,Thursday,2004-02-20,4,,True,False,-62.44999999999993,-9.45,False,True,-27.279999999999973,-4.26,False,True,,,False
2004-03-04,NIFTYCPSE,613.1,638.35,613.1,638.35,0,0,Thursday,2004-02-27,1,,False,False,40.120000000000005,6.71,True,False,53.27999999999997,8.69,True,True,,,False
2004-03-11,NIFTYCPSE,664.16,702.37,664.16,683.7,0,0,Thursday,2004-03-05,2,,True,False,45.35000000000002,7.1,True,False,53.27999999999997,8.69,True,True,,,False
2004-03-18,NIFTYCPSE,676.27,676.27,652.59,652.59,0,0,Thursday,2004-03-12,3,,False,False,-31.110000000000014,-4.55,False,False,53.27999999999997,8.69,True,True,,,False
2004-03-25,NIFTYCPSE,653.61,653.61,634.43,637.33,0,0,Thursday,2004-03-19,4,,True,False,-15.259999999999991,-2.34,False,False,53.27999999999997,8.69,True,True,,,False
2004-04-01,NIFTYCPSE,645.81,676.31,645.81,676.31,0,0,Thursday,2004-03-26,1,,False,False,38.979999999999905,6.12,True,True,20.039999999999964,3.01,True,True,,,False
2004-04-08,NIFTYCPSE,695.06,708.54,692.32,708.54,0,0,Thursday,2004-04-02,2,,True,False,32.23000000000002,4.77,True,True,20.039999999999964,3.01,True,True,,,False
2004-04-15,NIFTYCPSE,711.85,726.6,711.85,726.6,0,0,Thursday,2004-04-09,3,,False,False,18.06000000000006,2.55,True,True,20.039999999999964,3.01,True,True,,,False
2004-04-22,NIFTYCPSE,727.94,728.7,706.1,728.7,0,0,Thursday,2004-04-16,4,,True,False,2.1000000000000227,0.29,True,True,20.039999999999964,3.01,True,True,,,False
2004-04-29,NIFTYCPSE,729.9,729.9,692.6,695.37,0,0,Thursday,2004-04-23,5,,False,False,-33.33000000000004,-4.57,False,True,20.039999999999964,3.01,True,True,,,False
2004-05-06,NIFTYCPSE,686.42,702.08,668.7,702.08,0,0,Thursday,2004-04-30,1,,False,False,6.710000000000036,0.96,True,False,-196.18999999999994,-28.58,False,True,,,False
2004-05-13,NIFTYCPSE,697.03,697.03,632.81,632.81,0,0,Thursday,2004-05-07,2,,True,False,-69.2700000000001,-9.87,False,False,-196.18999999999994,-28.58,False,True,,,False
2004-05-20,NIFTYCPSE,539.04,546.7,461.82,539.77,0,0,Thursday,2004-05-14,3,,False,False,-93.03999999999996,-14.7,False,False,-196.18999999999994,-28.58,False,True,,,False
2004-05-27,NIFTYCPSE,544.93,548.74,538.78,538.78,0,0,Thursday,2004-05-21,4,,True,False,-0.9900000000000091,-0.18,False,False,-196.18999999999994,-28.58,False,True,,,False
2004-06-03,NIFTYCPSE,507.0,521.35,490.23,511.38,0,0,Thursday,2004-05-28,1,,False,False,-27.399999999999977,-5.09,False,True,27.710000000000036,5.65,True,True,,,False
2004-06-10,NIFTYCPSE,529.14,542.97,529.14,541.25,0,0,Thursday,2004-06-04,2,,True,False,29.870000000000005,5.84,True,True,27.710000000000036,5.65,True,True,,,False
2004-06-17,NIFTYCPSE,529.62,532.67,520.93,532.67,0,0,Thursday,2004-06-11,3,,False,False,-8.580000000000041,-1.59,False,True,27.710000000000036,5.65,True,True,,,False
2004-06-24,NIFTYCPSE,523.72,523.72,498.49,503.0,0,0,Thursday,2004-06-18,4,,True,False,-29.66999999999996,-5.57,False,True,27.710000000000036,5.65,True,True,,,False
2004-07-01,NIFTYCPSE,510.61,529.76,510.61,529.76,0,0,Thursday,2004-06-25,1,,False,False,26.75999999999999,5.32,True,False,64.77999999999997,12.51,True,True,,,False
2004-07-08,NIFTYCPSE,528.51,541.38,520.58,522.56,0,0,Thursday,2004-07-02,2,,True,False,-7.2000000000000455,-1.36,False,False,64.77999999999997,12.51,True,True,,,False
2004-07-15,NIFTYCPSE,537.44,537.44,519.98,527.64,0,0,Thursday,2004-07-09,3,,False,False,5.080000000000041,0.97,True,False,64.77999999999997,12.51,True,True,,,False
