Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2001-01-11,NIFTYENERGY,1032.7,1036.0,1032.7,1036.0,0,0,Thursday,2001-01-05,,,False,False,,,False,False,,,False,False,,,False
2001-01-18,NIFTYENERGY,1055.5,1093.2,1055.5,1093.2,0,0,Thursday,2001-01-12,,,False,False,57.200000000000045,5.52,True,False,,,False,False,,,False
2001-01-25,NIFTYENERGY,1105.6,1169.8,1105.6,1169.8,0,0,Thursday,2001-01-19,,,False,False,76.59999999999991,7.01,True,False,,,False,False,,,False
2001-02-01,NIFTYENERGY,1126.4,1155.7,1126.4,1155.7,0,0,Thursday,2001-01-26,1,,False,False,-14.099999999999909,-1.21,False,True,75.0,6.52,True,False,,,False
2001-02-08,NIFTYENERGY,1198.2,1251.8,1198.2,1251.8,0,0,Thursday,2001-02-02,2,,True,False,96.09999999999991,8.32,True,True,75.0,6.52,True,False,,,False
2001-02-15,NIFTYENERGY,1256.0,1296.8,1256.0,1296.8,0,0,Thursday,2001-02-09,3,,False,False,45.0,3.59,True,True,75.0,6.52,True,False,,,False
2001-02-22,NIFTYENERGY,1268.8,1268.8,1252.6,1253.6,0,0,Thursday,2001-02-16,4,,True,False,-43.200000000000045,-3.33,False,True,75.0,6.52,True,False,,,False
2001-03-01,NIFTYENERGY,1222.1,1273.5,1204.1,1273.5,0,0,Thursday,2001-02-23,1,,False,False,19.90000000000009,1.59,True,False,-89.89999999999986,-7.34,False,False,,,False
2001-03-08,NIFTYENERGY,1255.9,1255.9,1215.5,1230.7,0,0,Thursday,2001-03-02,2,,True,False,-42.799999999999955,-3.36,False,False,-89.89999999999986,-7.34,False,False,,,False
2001-03-15,NIFTYENERGY,1205.4,1205.4,1110.0,1129.1,0,0,Thursday,2001-03-09,3,,False,False,-101.60000000000014,-8.26,False,False,-89.89999999999986,-7.34,False,False,,,False
2001-03-22,NIFTYENERGY,1107.5,1152.8,1101.3,1131.3,0,0,Thursday,2001-03-16,4,,True,False,2.2000000000000455,0.19,True,False,-89.89999999999986,-7.34,False,False,,,False
2001-03-29,NIFTYENERGY,1094.1,1156.4,1094.1,1156.4,0,0,Thursday,2001-03-23,5,,False,False,25.100000000000136,2.22,True,False,-89.89999999999986,-7.34,False,False,,,False
2001-04-05,NIFTYENERGY,1135.4,1135.4,1110.7,1123.6,0,0,Thursday,2001-03-30,1,,False,False,-32.80000000000018,-2.84,False,True,-38.700000000000045,-3.41,False,False,,,False
2001-04-12,NIFTYENERGY,1119.6,1119.6,1002.2,1002.2,0,0,Thursday,2001-04-06,2,,True,False,-121.39999999999986,-10.8,False,True,-38.700000000000045,-3.41,False,False,,,False
2001-04-19,NIFTYENERGY,1030.4,1135.2,1030.4,1135.2,0,0,Thursday,2001-04-13,3,,False,False,133.0,13.27,True,True,-38.700000000000045,-3.41,False,False,,,False
2001-04-26,NIFTYENERGY,1122.8,1140.2,1118.4,1121.6,0,0,Thursday,2001-04-20,4,,True,False,-13.600000000000136,-1.2,False,True,-38.700000000000045,-3.41,False,False,,,False
2001-05-03,NIFTYENERGY,1091.4,1107.2,1091.4,1107.2,0,0,Thursday,2001-04-27,1,,False,False,-14.399999999999864,-1.28,False,False,99.5,9.07,True,False,,,False
2001-05-10,NIFTYENERGY,1105.0,1117.7,1102.0,1117.7,0,0,Thursday,2001-05-04,2,,True,False,10.5,0.95,True,False,99.5,9.07,True,False,,,False
2001-05-17,NIFTYENERGY,1115.4,1162.8,1115.4,1162.8,0,0,Thursday,2001-05-11,3,,False,False,45.09999999999991,4.04,True,False,99.5,9.07,True,False,,,False
2001-05-24,NIFTYENERGY,1169.1,1190.3,1169.1,1190.3,0,0,Thursday,2001-05-18,4,,True,False,27.5,2.36,True,False,99.5,9.07,True,False,,,False
