Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1996-01-01,NIFTYFMCG,974.81,1309.2,920.82,1189.0,0,0,Monday,True,,,False
1997-01-01,NIFTYFMCG,1230.4,2106.5,1199.1,1945.5,0,0,Wednesday,False,756.5,63.62,True
1998-01-01,NIFTYFMCG,1952.1,2422.3,1790.4,2384.9,0,0,Thursday,True,439.4000000000001,22.59,True
1999-01-01,NIFTYFMCG,2393.7,3679.3,2393.7,2837.1,0,0,Friday,False,452.1999999999998,18.96,True
2000-01-01,NIFTYFMCG,3042.5,3607.5,2387.8,2787.4,0,0,Saturday,True,-49.69999999999982,-1.75,False
2001-01-01,NIFTYFMCG,2746.5,2859.8,2207.6,2500.6,0,0,Monday,False,-286.8000000000002,-10.29,False
2002-01-01,NIFTYFMCG,2502.6,2781.1,1980.9,2185.1,0,0,Tuesday,True,-315.5,-12.62,False
2003-01-01,NIFTYFMCG,2186.5,2902.5,1883.1,2863.3,0,0,Wednesday,False,678.2000000000003,31.04,True
2004-01-01,NIFTYFMCG,2943.4,3023.8,1993.9,2786.3,0,0,Thursday,True,-77.0,-2.69,False
2005-01-01,NIFTYFMCG,2805.1,4421.4,2679.4,4421.4,0,0,Saturday,False,1635.0999999999995,58.68,True
2006-01-01,NIFTYFMCG,4392.2,6275.2,4251.1,5176.7,0,0,Sunday,True,755.3000000000002,17.08,True
2007-01-01,NIFTYFMCG,5196.5,6329.6,4376.8,6329.6,0,0,Monday,False,1152.9000000000005,22.27,True
2008-01-01,NIFTYFMCG,6477.5,6778.9,4362.9,5090.1,0,0,Tuesday,True,-1239.5,-19.58,False
2009-01-01,NIFTYFMCG,5111.5,7526.7,4550.7,7207.3,0,0,Thursday,False,2117.2,41.59,True
2010-01-01,NIFTYFMCG,7293.5,9674.3,6885.7,9409.7,0,0,Friday,True,2202.4000000000005,30.56,True
2011-01-01,NIFTYFMCG,9424.5,10862.35,8104.65,10217.0,0,0,Saturday,False,807.2999999999993,8.58,True
2012-01-01,NIFTYFMCG,10236.75,15890.6,10056.1,15175.0,0,0,Sunday,True,4958.0,48.53,True
2013-01-01,NIFTYFMCG,15194.55,19539.4,14374.65,17024.0,0,0,Tuesday,False,1849.0,12.18,True
2014-01-01,NIFTYFMCG,17054.6,21526.25,16320.0,20126.0,0,0,Wednesday,True,3102.0,18.22,True
2015-01-01,NIFTYFMCG,20085.95,22716.7,18731.6,20192.0,0,0,Thursday,False,66.0,0.33,True
2016-01-01,NIFTYFMCG,20181.5,23219.3,17406.9,20754.0,0,0,Friday,True,562.0,2.78,True
2017-01-01,NIFTYFMCG,20793.35,29037.85,20574.7,26851.0,0,0,Sunday,False,6097.0,29.38,True
2018-01-01,NIFTYFMCG,26885.6,33167.9,25695.95,30516.65,0,0,Monday,True,3665.6500000000015,13.65,True
2019-01-01,NIFTYFMCG,30579.1,32644.9,28099.15,30121.5,0,0,Tuesday,False,-395.15000000000146,-1.29,False
2020-01-01,NIFTYFMCG,30202.75,34596.05,22699.05,34177.1,0,0,Wednesday,True,4055.5999999999985,13.46,True
2021-01-01,NIFTYFMCG,34236.7,42021.45,32312.45,37579.95,0,0,Friday,False,3402.8499999999985,9.96,True
2022-01-01,NIFTYFMCG,37673.25,46331.2,33407.55,44171.45,0,0,Saturday,True,6591.5,17.54,True
2023-01-01,NIFTYFMCG,44284.2,47955.3,43550.1,47814.1,0,0,Sunday,False,3642.6500000000015,8.25,True
