Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2003-08-25,NIFTYIT,1393.34,1554.66,1314.26,1505.63,1932862240,0,Monday,,,False,False,,,False,True,,,False,False,,,False
2003-09-01,NIFTYIT,1505.78,1677.81,1505.07,1671.26,1955773760,0,Monday,1,,False,False,165.62999999999988,11.0,True,False,225.92999999999984,15.01,True,False,,,False
2003-09-08,NIFTYIT,1675.56,1761.71,1614.02,1626.46,2369307456,0,Monday,2,,True,False,-44.799999999999955,-2.68,False,False,225.92999999999984,15.01,True,False,,,False
2003-09-15,NIFTYIT,1618.91,1684.73,1526.11,1614.49,1857650880,0,Monday,3,,False,False,-11.970000000000027,-0.74,False,False,225.92999999999984,15.01,True,False,,,False
2003-09-22,NIFTYIT,1624.82,1723.97,1577.55,1719.84,1781407936,0,Monday,4,,True,False,105.34999999999991,6.53,True,False,225.92999999999984,15.01,True,False,,,False
2003-09-29,NIFTYIT,1717.73,1762.97,1704.29,1719.59,1277258048,0,Monday,5,,False,False,-0.25,-0.01,False,False,225.92999999999984,15.01,True,False,,,False
2003-10-06,NIFTYIT,1630.2,1831.98,1630.2,1823.1,1589009536,0,Monday,1,,False,False,103.50999999999999,6.02,True,True,123.5,7.13,True,False,,,False
2003-10-13,NIFTYIT,1835.4,1896.94,1800.15,1892.68,1603444320,0,Monday,2,,True,False,69.58000000000015,3.82,True,True,123.5,7.13,True,False,,,False
2003-10-20,NIFTYIT,1892.91,1895.27,1700.61,1786.17,1566734152,0,Monday,3,,False,False,-106.50999999999999,-5.63,False,True,123.5,7.13,True,False,,,False
2003-10-27,NIFTYIT,1785.35,1860.27,1719.43,1855.06,1307376016,0,Monday,4,,True,False,68.88999999999987,3.86,True,True,123.5,7.13,True,False,,,False
2003-11-03,NIFTYIT,1856.64,2041.36,1856.64,1974.29,1992741056,0,Monday,1,,False,False,119.23000000000002,6.43,True,False,209.42000000000007,11.29,True,False,,,False
2003-11-10,NIFTYIT,1976.07,2013.82,1876.57,1896.61,1618207800,0,Monday,2,,True,False,-77.68000000000006,-3.93,False,False,209.42000000000007,11.29,True,False,,,False
2003-11-17,NIFTYIT,1913.27,1950.56,1879.12,1935.66,1622626208,0,Monday,3,,False,False,39.05000000000018,2.06,True,False,209.42000000000007,11.29,True,False,,,False
2003-11-24,NIFTYIT,1944.83,2074.27,1916.36,2064.48,1247805408,0,Monday,4,,True,False,128.81999999999994,6.66,True,False,209.42000000000007,11.29,True,False,,,False
2003-12-01,NIFTYIT,2076.76,2202.33,2064.09,2070.85,1782696928,0,Monday,1,,False,False,6.369999999999891,0.31,True,True,289.75,14.04,True,False,,,False
