Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
2005-01-01,NIFTYMEDIA,1000.0,1000.0,1000.0,1000.0,0,0,Saturday,False,,,False
2006-01-01,NIFTYMEDIA,1014.4,1805.5,939.04,1742.2,0,0,Sunday,True,742.2,74.22,True
2007-01-01,NIFTYMEDIA,1748.8,2808.1,1724.9,2808.1,0,0,Monday,False,1065.8999999999999,61.18,True
2008-01-01,NIFTYMEDIA,2848.7,2942.9,695.84,882.47,0,0,Tuesday,True,-1925.6299999999999,-68.57,False
2009-01-01,NIFTYMEDIA,914.27,1607.4,610.47,1602.1,0,0,Thursday,False,719.6299999999999,81.55,True
2010-01-01,NIFTYMEDIA,1609.5,1981.0,1534.4,1670.0,0,0,Friday,True,67.90000000000009,4.24,True
2011-01-01,NIFTYMEDIA,1668.7,1668.7,1091.7,1114.3,0,0,Saturday,False,-555.7,-33.28,False
2012-01-01,NIFTYMEDIA,1114.3,1807.1,1098.45,1768.0,0,0,Sunday,True,653.7,58.66,True
2013-01-01,NIFTYMEDIA,1772.5,1859.7,1441.5,1794.5,0,0,Tuesday,False,26.5,1.5,True
2014-01-01,NIFTYMEDIA,1793.5,2400.8,1651.3,2387.1,0,0,Wednesday,True,592.5999999999999,33.02,True
2015-01-01,NIFTYMEDIA,2390.3,2646.55,1991.5,2633.0,0,0,Thursday,False,245.9000000000001,10.3,True
2016-01-01,NIFTYMEDIA,2634.05,3158.3,2099.75,2610.7,0,0,Friday,True,-22.300000000000182,-0.85,False
2017-01-01,NIFTYMEDIA,2617.45,3505.8,2612.0,3464.3,0,0,Sunday,False,853.6000000000004,32.7,True
2018-01-01,NIFTYMEDIA,3471.4,3675.85,2314.65,2566.2,0,0,Monday,True,-898.1000000000004,-25.92,False
2019-01-01,NIFTYMEDIA,2571.6,2586.95,1630.5,1803.6,0,0,Tuesday,False,-762.5999999999999,-29.72,False
2020-01-01,NIFTYMEDIA,1809.6,1918.5,972.95,1648.95,0,0,Wednesday,True,-154.64999999999986,-8.57,False
2021-01-01,NIFTYMEDIA,1652.6,2494.55,1409.05,2218.8,0,0,Friday,False,569.8500000000001,34.56,True
2022-01-01,NIFTYMEDIA,2212.9,2484.7,1752.2,1992.05,0,0,Saturday,True,-226.75000000000023,-10.22,False
2023-01-01,NIFTYMEDIA,1995.6,2045.75,1636.65,1714.85,0,0,Sunday,False,-277.20000000000005,-13.92,False
