Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2004-01-15,NIFTYMETAL,959.66,961.24,950.29,950.29,0,0,Thursday,2004-01-09,,,False,False,,,False,False,,,False,True,,,False
2004-01-22,NIFTYMETAL,918.37,949.56,818.36,818.36,0,0,Thursday,2004-01-16,,,False,False,-131.92999999999995,-13.88,False,False,,,False,True,,,False
2004-01-29,NIFTYMETAL,878.19,908.21,877.13,877.13,0,0,Thursday,2004-01-23,,,False,False,58.76999999999998,7.18,True,False,,,False,True,,,False
2004-02-05,NIFTYMETAL,844.77,859.2,799.15,838.07,0,0,Thursday,2004-01-30,1,,False,False,-39.059999999999945,-4.45,False,True,13.25,1.57,True,True,,,False
2004-02-12,NIFTYMETAL,861.86,892.27,861.86,886.36,0,0,Thursday,2004-02-06,2,,True,False,48.289999999999964,5.76,True,True,13.25,1.57,True,True,,,False
2004-02-19,NIFTYMETAL,918.17,932.1,880.72,880.72,0,0,Thursday,2004-02-13,3,,False,False,-5.639999999999986,-0.64,False,True,13.25,1.57,True,True,,,False
2004-02-26,NIFTYMETAL,881.9,881.9,848.34,848.34,0,0,Thursday,2004-02-20,4,,True,False,-32.379999999999995,-3.68,False,True,13.25,1.57,True,True,,,False
2004-03-04,NIFTYMETAL,858.02,871.78,846.63,846.63,0,0,Thursday,2004-02-27,1,,False,False,-1.7100000000000364,-0.2,False,False,-97.14999999999998,-11.32,False,True,,,False
2004-03-11,NIFTYMETAL,871.56,892.53,844.8,844.8,0,0,Thursday,2004-03-05,2,,True,False,-1.830000000000041,-0.22,False,False,-97.14999999999998,-11.32,False,True,,,False
2004-03-18,NIFTYMETAL,848.73,848.73,781.77,781.77,0,0,Thursday,2004-03-12,3,,False,False,-63.02999999999997,-7.46,False,False,-97.14999999999998,-11.32,False,True,,,False
2004-03-25,NIFTYMETAL,786.83,786.83,721.59,739.51,0,0,Thursday,2004-03-19,4,,True,False,-42.25999999999999,-5.41,False,False,-97.14999999999998,-11.32,False,True,,,False
2004-04-01,NIFTYMETAL,759.2,791.39,759.2,791.39,0,0,Thursday,2004-03-26,1,,False,False,51.879999999999995,7.02,True,True,-6.0,-0.79,False,True,,,False
2004-04-08,NIFTYMETAL,813.27,828.83,797.88,803.94,0,0,Thursday,2004-04-02,2,,True,False,12.550000000000068,1.59,True,True,-6.0,-0.79,False,True,,,False
2004-04-15,NIFTYMETAL,801.81,812.83,801.5,801.5,0,0,Thursday,2004-04-09,3,,False,False,-2.4400000000000546,-0.3,False,True,-6.0,-0.79,False,True,,,False
2004-04-22,NIFTYMETAL,808.25,866.88,808.25,866.65,0,0,Thursday,2004-04-16,4,,True,False,65.14999999999998,8.13,True,True,-6.0,-0.79,False,True,,,False
