Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2001-01-08,NIFTYMIDCAP,1133.5,1133.5,1116.5,1116.5,0,0,Monday,,,False,False,,,False,False,,,False,False,,,False
2001-01-15,NIFTYMIDCAP,1110.8,1135.3,1110.3,1135.3,0,0,Monday,,,False,False,18.799999999999955,1.68,True,False,,,False,False,,,False
2001-01-22,NIFTYMIDCAP,1143.1,1157.9,1136.2,1157.9,0,0,Monday,,,False,False,22.600000000000136,1.99,True,False,,,False,False,,,False
2001-01-29,NIFTYMIDCAP,1128.3,1147.1,1128.3,1138.2,0,0,Monday,,,False,False,-19.700000000000045,-1.7,False,False,,,False,False,,,False
2001-02-05,NIFTYMIDCAP,1158.7,1221.7,1158.7,1221.7,0,0,Monday,1,,False,False,83.5,7.34,True,True,-36.09999999999991,-3.15,False,False,,,False
2001-02-12,NIFTYMIDCAP,1219.6,1219.6,1174.3,1174.3,0,0,Monday,2,,True,False,-47.40000000000009,-3.88,False,True,-36.09999999999991,-3.15,False,False,,,False
2001-02-19,NIFTYMIDCAP,1176.1,1176.1,1117.5,1117.5,0,0,Monday,3,,False,False,-56.799999999999955,-4.84,False,True,-36.09999999999991,-3.15,False,False,,,False
2001-02-26,NIFTYMIDCAP,1118.8,1118.8,1065.2,1065.2,0,0,Monday,4,,True,False,-52.299999999999955,-4.68,False,True,-36.09999999999991,-3.15,False,False,,,False
2001-03-05,NIFTYMIDCAP,1020.1,1032.9,968.89,968.89,0,0,Monday,1,,False,False,-96.31000000000006,-9.04,False,False,-249.97000000000003,-22.5,False,False,,,False
2001-03-12,NIFTYMIDCAP,919.41,919.41,859.74,898.72,0,0,Monday,2,,True,False,-70.16999999999996,-7.24,False,False,-249.97000000000003,-22.5,False,False,,,False
2001-03-19,NIFTYMIDCAP,891.13,891.13,858.62,858.62,0,0,Monday,3,,False,False,-40.10000000000002,-4.46,False,False,-249.97000000000003,-22.5,False,False,,,False
2001-03-26,NIFTYMIDCAP,861.32,897.67,861.03,861.03,0,0,Monday,4,,True,False,2.409999999999968,0.28,True,False,-249.97000000000003,-22.5,False,False,,,False
2001-04-02,NIFTYMIDCAP,834.35,836.12,826.97,826.97,0,0,Monday,1,,False,False,-34.059999999999945,-3.96,False,True,-34.620000000000005,-4.02,False,False,,,False
2001-04-09,NIFTYMIDCAP,828.25,828.25,767.93,767.93,0,0,Monday,2,,True,False,-59.04000000000008,-7.14,False,True,-34.620000000000005,-4.02,False,False,,,False
2001-04-16,NIFTYMIDCAP,781.5,842.1,781.5,836.06,0,0,Monday,3,,False,False,68.13,8.87,True,True,-34.620000000000005,-4.02,False,False,,,False
2001-04-23,NIFTYMIDCAP,840.98,864.51,818.3,818.3,0,0,Monday,4,,True,False,-17.75999999999999,-2.12,False,True,-34.620000000000005,-4.02,False,False,,,False
2001-04-30,NIFTYMIDCAP,826.41,839.52,826.41,836.31,0,0,Monday,5,,False,False,18.00999999999999,2.2,True,True,-34.620000000000005,-4.02,False,False,,,False
2001-05-07,NIFTYMIDCAP,840.15,851.01,840.15,844.0,0,0,Monday,1,,False,False,7.690000000000055,0.92,True,False,95.97000000000003,11.61,True,False,,,False
2001-05-14,NIFTYMIDCAP,843.58,882.45,836.41,882.45,0,0,Monday,2,,True,False,38.450000000000045,4.56,True,False,95.97000000000003,11.61,True,False,,,False
2001-05-21,NIFTYMIDCAP,889.07,909.86,889.07,907.58,0,0,Monday,3,,False,False,25.129999999999995,2.85,True,False,95.97000000000003,11.61,True,False,,,False
2001-05-28,NIFTYMIDCAP,919.54,931.31,908.61,908.61,0,0,Monday,4,,True,False,1.0299999999999727,0.11,True,False,95.97000000000003,11.61,True,False,,,False
2001-06-04,NIFTYMIDCAP,885.8,885.8,860.14,867.02,0,0,Monday,1,,False,False,-41.59000000000003,-4.58,False,True,-121.67999999999995,-13.19,False,False,,,False
2001-06-11,NIFTYMIDCAP,868.52,874.26,845.49,845.49,0,0,Monday,2,,True,False,-21.529999999999973,-2.48,False,True,-121.67999999999995,-13.19,False,False,,,False
2001-06-18,NIFTYMIDCAP,834.58,834.66,810.06,810.06,0,0,Monday,3,,False,False,-35.430000000000064,-4.19,False,True,-121.67999999999995,-13.19,False,False,,,False
2001-06-25,NIFTYMIDCAP,789.25,803.56,789.25,800.7,0,0,Monday,4,,True,False,-9.3599999999999,-1.16,False,True,-121.67999999999995,-13.19,False,False,,,False
2001-07-02,NIFTYMIDCAP,806.52,806.52,786.44,786.44,0,0,Monday,1,,False,False,-14.259999999999991,-1.78,False,False,-64.67000000000007,-8.08,False,False,,,False
2001-07-09,NIFTYMIDCAP,783.02,798.43,783.02,792.65,0,0,Monday,2,,True,False,6.209999999999923,0.79,True,False,-64.67000000000007,-8.08,False,False,,,False
2001-07-16,NIFTYMIDCAP,795.35,795.35,765.39,765.39,0,0,Monday,3,,False,False,-27.25999999999999,-3.44,False,False,-64.67000000000007,-8.08,False,False,,,False
2001-07-23,NIFTYMIDCAP,760.79,760.79,722.76,727.99,0,0,Monday,4,,True,False,-37.39999999999998,-4.89,False,False,-64.67000000000007,-8.08,False,False,,,False
2001-07-30,NIFTYMIDCAP,735.92,744.66,731.46,744.66,0,0,Monday,5,,False,False,16.66999999999996,2.29,True,False,-64.67000000000007,-8.08,False,False,,,False
2001-08-06,NIFTYMIDCAP,748.15,748.15,742.35,742.45,0,0,Monday,1,,False,False,-2.2099999999999227,-0.3,False,True,-5.949999999999932,-0.81,False,False,,,False
2001-08-13,NIFTYMIDCAP,739.36,739.36,736.47,736.47,0,0,Monday,2,,True,False,-5.980000000000018,-0.81,False,True,-5.949999999999932,-0.81,False,False,,,False
2001-08-20,NIFTYMIDCAP,733.04,736.62,733.04,734.28,0,0,Monday,3,,False,False,-2.1900000000000546,-0.3,False,True,-5.949999999999932,-0.81,False,False,,,False
2001-08-27,NIFTYMIDCAP,738.83,740.75,730.08,730.08,0,0,Monday,4,,True,False,-4.199999999999932,-0.57,False,True,-5.949999999999932,-0.81,False,False,,,False
2001-09-03,NIFTYMIDCAP,731.31,731.31,722.28,722.28,0,0,Monday,1,,False,False,-7.800000000000068,-1.07,False,False,-69.28000000000009,-9.49,False,False,,,False
2001-09-10,NIFTYMIDCAP,723.45,723.45,656.24,656.24,0,0,Monday,2,,True,False,-66.03999999999996,-9.14,False,False,-69.28000000000009,-9.49,False,False,,,False
2001-09-17,NIFTYMIDCAP,608.43,651.38,608.43,633.92,0,0,Monday,3,,False,False,-22.32000000000005,-3.4,False,False,-69.28000000000009,-9.49,False,False,,,False
2001-09-24,NIFTYMIDCAP,647.28,660.8,641.02,660.8,0,0,Monday,4,,True,False,26.879999999999995,4.24,True,False,-69.28000000000009,-9.49,False,False,,,False
2001-10-01,NIFTYMIDCAP,651.47,651.47,642.26,645.95,0,0,Monday,1,,False,False,-14.849999999999909,-2.25,False,True,56.97000000000003,8.62,True,False,,,False
2001-10-08,NIFTYMIDCAP,641.21,658.57,641.21,658.57,0,0,Monday,2,,True,False,12.620000000000005,1.95,True,True,56.97000000000003,8.62,True,False,,,False
2001-10-15,NIFTYMIDCAP,662.52,683.86,662.52,683.86,0,0,Monday,3,,False,False,25.289999999999964,3.84,True,True,56.97000000000003,8.62,True,False,,,False
2001-10-22,NIFTYMIDCAP,698.06,710.91,698.06,710.91,0,0,Monday,4,,True,False,27.049999999999955,3.96,True,True,56.97000000000003,8.62,True,False,,,False
2001-10-29,NIFTYMIDCAP,722.39,726.18,716.63,726.18,0,0,Monday,5,,False,False,15.269999999999982,2.15,True,True,56.97000000000003,8.62,True,False,,,False
2001-11-05,NIFTYMIDCAP,733.22,751.01,733.22,751.01,0,0,Monday,1,,False,False,24.83000000000004,3.42,True,False,110.57000000000005,15.4,True,False,,,False
2001-11-12,NIFTYMIDCAP,757.4,776.72,757.08,776.72,0,0,Monday,2,,True,False,25.710000000000036,3.42,True,False,110.57000000000005,15.4,True,False,,,False
2001-11-19,NIFTYMIDCAP,798.38,811.36,787.68,811.36,0,0,Monday,3,,False,False,34.639999999999986,4.46,True,False,110.57000000000005,15.4,True,False,,,False
2001-11-26,NIFTYMIDCAP,832.93,832.93,826.4,828.34,0,0,Monday,4,,True,False,16.980000000000018,2.09,True,False,110.57000000000005,15.4,True,False,,,False
2001-12-03,NIFTYMIDCAP,834.88,866.63,834.88,850.27,0,0,Monday,1,,False,False,21.92999999999995,2.65,True,True,-21.340000000000032,-2.58,False,False,,,False
2001-12-10,NIFTYMIDCAP,860.24,865.97,840.55,840.89,0,0,Monday,2,,True,False,-9.379999999999995,-1.1,False,True,-21.340000000000032,-2.58,False,False,,,False
2001-12-17,NIFTYMIDCAP,834.5,834.5,777.15,777.15,0,0,Monday,3,,False,False,-63.74000000000001,-7.58,False,True,-21.340000000000032,-2.58,False,False,,,False
2001-12-24,NIFTYMIDCAP,769.89,776.42,762.32,776.42,0,0,Monday,4,,True,False,-0.7300000000000182,-0.09,False,True,-21.340000000000032,-2.58,False,False,,,False
2001-12-31,NIFTYMIDCAP,807.0,824.24,799.13,824.24,0,0,Monday,5,,False,False,47.82000000000005,6.16,True,True,-21.340000000000032,-2.58,False,False,,,False
2002-01-07,NIFTYMIDCAP,832.99,832.99,805.43,805.43,0,0,Monday,1,1,False,False,-18.81000000000006,-2.28,False,False,34.92999999999995,4.33,True,True,195.39999999999998,24.21,True
2002-01-14,NIFTYMIDCAP,833.59,844.83,827.72,842.39,0,0,Monday,2,2,True,True,36.960000000000036,4.59,True,False,34.92999999999995,4.33,True,True,195.39999999999998,24.21,True
2002-01-21,NIFTYMIDCAP,849.01,849.96,838.66,838.66,0,0,Monday,3,3,False,False,-3.730000000000018,-0.44,False,False,34.92999999999995,4.33,True,True,195.39999999999998,24.21,True
2002-01-28,NIFTYMIDCAP,835.37,853.2,828.94,853.2,0,0,Monday,4,4,True,True,14.540000000000077,1.73,True,False,34.92999999999995,4.33,True,True,195.39999999999998,24.21,True
2002-02-04,NIFTYMIDCAP,862.09,906.96,862.09,906.96,0,0,Monday,1,5,False,False,53.75999999999999,6.3,True,True,74.36000000000001,8.83,True,True,195.39999999999998,24.21,True
2002-02-11,NIFTYMIDCAP,923.53,953.89,923.53,953.89,0,0,Monday,2,6,True,True,46.92999999999995,5.17,True,True,74.36000000000001,8.83,True,True,195.39999999999998,24.21,True
2002-02-18,NIFTYMIDCAP,956.62,965.98,941.25,965.98,0,0,Monday,3,7,False,False,12.090000000000032,1.27,True,True,74.36000000000001,8.83,True,True,195.39999999999998,24.21,True
2002-02-25,NIFTYMIDCAP,965.52,982.78,916.29,945.57,0,0,Monday,4,8,True,True,-20.409999999999968,-2.11,False,True,74.36000000000001,8.83,True,True,195.39999999999998,24.21,True
2002-03-04,NIFTYMIDCAP,956.33,958.46,951.81,958.46,0,0,Monday,1,9,False,False,12.889999999999986,1.36,True,False,48.92000000000007,5.34,True,True,195.39999999999998,24.21,True
2002-03-11,NIFTYMIDCAP,948.52,962.75,934.1,962.75,0,0,Monday,2,10,True,True,4.289999999999964,0.45,True,False,48.92000000000007,5.34,True,True,195.39999999999998,24.21,True
2002-03-18,NIFTYMIDCAP,975.43,975.43,956.08,956.34,0,0,Monday,3,11,False,False,-6.409999999999968,-0.67,False,False,48.92000000000007,5.34,True,True,195.39999999999998,24.21,True
2002-03-25,NIFTYMIDCAP,951.6,965.21,951.6,965.21,0,0,Monday,4,12,True,True,8.870000000000005,0.93,True,False,48.92000000000007,5.34,True,True,195.39999999999998,24.21,True
2002-04-01,NIFTYMIDCAP,990.68,1025.4,990.68,1025.4,0,0,Monday,1,13,False,False,60.190000000000055,6.24,True,True,112.78999999999996,11.69,True,True,195.39999999999998,24.21,True
2002-04-08,NIFTYMIDCAP,1031.2,1058.1,1030.9,1058.1,0,0,Monday,2,14,True,True,32.69999999999982,3.19,True,True,112.78999999999996,11.69,True,True,195.39999999999998,24.21,True
2002-04-15,NIFTYMIDCAP,1047.0,1064.0,1043.6,1048.2,0,0,Monday,3,15,False,False,-9.899999999999864,-0.94,False,True,112.78999999999996,11.69,True,True,195.39999999999998,24.21,True
2002-04-22,NIFTYMIDCAP,1043.9,1063.9,1043.9,1062.7,0,0,Monday,4,16,True,True,14.5,1.38,True,True,112.78999999999996,11.69,True,True,195.39999999999998,24.21,True
2002-04-29,NIFTYMIDCAP,1061.6,1087.7,1061.6,1087.7,0,0,Monday,5,17,False,False,25.0,2.35,True,True,112.78999999999996,11.69,True,True,195.39999999999998,24.21,True
2002-05-06,NIFTYMIDCAP,1098.0,1106.9,1098.0,1099.2,0,0,Monday,1,18,False,True,11.5,1.06,True,False,-38.90000000000009,-3.61,False,True,195.39999999999998,24.21,True
2002-05-13,NIFTYMIDCAP,1102.7,1102.7,1057.4,1057.4,0,0,Monday,2,19,True,False,-41.799999999999955,-3.8,False,False,-38.90000000000009,-3.61,False,True,195.39999999999998,24.21,True
2002-05-20,NIFTYMIDCAP,1031.7,1064.8,989.85,1064.8,0,0,Monday,3,20,False,True,7.399999999999864,0.7,True,False,-38.90000000000009,-3.61,False,True,195.39999999999998,24.21,True
2002-05-27,NIFTYMIDCAP,1071.1,1071.1,1035.2,1039.1,0,0,Monday,4,21,True,False,-25.700000000000045,-2.41,False,False,-38.90000000000009,-3.61,False,True,195.39999999999998,24.21,True
2002-06-03,NIFTYMIDCAP,1057.3,1087.0,1050.8,1050.8,0,0,Monday,1,22,False,True,11.700000000000045,1.13,True,True,58.200000000000045,5.6,True,True,195.39999999999998,24.21,True
2002-06-10,NIFTYMIDCAP,1078.9,1128.3,1078.9,1128.3,0,0,Monday,2,23,True,False,77.5,7.38,True,True,58.200000000000045,5.6,True,True,195.39999999999998,24.21,True
2002-06-17,NIFTYMIDCAP,1138.9,1138.9,1106.2,1108.4,0,0,Monday,3,24,False,True,-19.899999999999864,-1.76,False,True,58.200000000000045,5.6,True,True,195.39999999999998,24.21,True
2002-06-24,NIFTYMIDCAP,1100.6,1100.6,1075.0,1097.3,0,0,Monday,4,25,True,False,-11.100000000000136,-1.0,False,True,58.200000000000045,5.6,True,True,195.39999999999998,24.21,True
2002-07-01,NIFTYMIDCAP,1113.7,1154.4,1113.7,1154.4,0,0,Monday,1,26,False,True,57.100000000000136,5.2,True,False,-132.0999999999999,-12.04,False,True,195.39999999999998,24.21,True
2002-07-08,NIFTYMIDCAP,1168.6,1168.6,1126.7,1129.8,0,0,Monday,2,27,True,False,-24.600000000000136,-2.13,False,False,-132.0999999999999,-12.04,False,True,195.39999999999998,24.21,True
2002-07-15,NIFTYMIDCAP,1102.2,1102.6,1082.6,1098.0,0,0,Monday,3,28,False,True,-31.799999999999955,-2.81,False,False,-132.0999999999999,-12.04,False,True,195.39999999999998,24.21,True
2002-07-22,NIFTYMIDCAP,1058.2,1068.5,1013.7,1013.7,0,0,Monday,4,29,True,False,-84.29999999999995,-7.68,False,False,-132.0999999999999,-12.04,False,True,195.39999999999998,24.21,True
2002-07-29,NIFTYMIDCAP,987.75,987.75,960.87,960.87,0,0,Monday,5,30,False,True,-52.83000000000004,-5.21,False,False,-132.0999999999999,-12.04,False,True,195.39999999999998,24.21,True
2002-08-05,NIFTYMIDCAP,979.97,991.76,969.02,972.54,0,0,Monday,1,31,False,False,11.669999999999959,1.21,True,True,9.620000000000005,1.0,True,True,195.39999999999998,24.21,True
2002-08-12,NIFTYMIDCAP,977.28,978.37,973.54,975.58,0,0,Monday,2,32,True,True,3.0400000000000773,0.31,True,True,9.620000000000005,1.0,True,True,195.39999999999998,24.21,True
2002-08-19,NIFTYMIDCAP,975.16,987.52,975.16,987.31,0,0,Monday,3,33,False,False,11.729999999999905,1.2,True,True,9.620000000000005,1.0,True,True,195.39999999999998,24.21,True
2002-08-26,NIFTYMIDCAP,984.23,984.23,966.11,974.82,0,0,Monday,4,34,True,True,-12.489999999999895,-1.27,False,True,9.620000000000005,1.0,True,True,195.39999999999998,24.21,True
2002-09-02,NIFTYMIDCAP,988.12,988.12,968.55,968.55,0,0,Monday,1,35,False,False,-6.2700000000000955,-0.64,False,False,-61.42000000000007,-6.3,False,True,195.39999999999998,24.21,True
2002-09-09,NIFTYMIDCAP,953.77,964.46,953.77,958.78,0,0,Monday,2,36,True,True,-9.769999999999982,-1.01,False,False,-61.42000000000007,-6.3,False,True,195.39999999999998,24.21,True
2002-09-16,NIFTYMIDCAP,947.51,953.63,930.2,930.2,0,0,Monday,3,37,False,False,-28.579999999999927,-2.98,False,False,-61.42000000000007,-6.3,False,True,195.39999999999998,24.21,True
2002-09-23,NIFTYMIDCAP,927.19,927.19,916.15,927.1,0,0,Monday,4,38,True,True,-3.1000000000000227,-0.33,False,False,-61.42000000000007,-6.3,False,True,195.39999999999998,24.21,True
2002-09-30,NIFTYMIDCAP,913.4,913.4,899.67,901.33,0,0,Monday,5,39,False,False,-25.769999999999982,-2.78,False,False,-61.42000000000007,-6.3,False,True,195.39999999999998,24.21,True
