Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2001-01-11,NIFTYMIDCAP,1133.5,1133.5,1123.4,1123.4,0,0,Thursday,2001-01-05,,,False,False,,,False,False,,,False,False,,,False
2001-01-18,NIFTYMIDCAP,1116.5,1124.3,1110.3,1124.3,0,0,Thursday,2001-01-12,,,False,False,0.8999999999998636,0.08,True,False,,,False,False,,,False
2001-01-25,NIFTYMIDCAP,1135.3,1157.9,1135.3,1157.9,0,0,Thursday,2001-01-19,,,False,False,33.600000000000136,2.99,True,False,,,False,False,,,False
2001-02-01,NIFTYMIDCAP,1128.3,1147.1,1128.3,1128.4,0,0,Thursday,2001-01-26,1,,False,False,-29.5,-2.55,False,True,-36.09999999999991,-3.15,False,False,,,False
2001-02-08,NIFTYMIDCAP,1138.2,1207.3,1138.2,1207.3,0,0,Thursday,2001-02-02,2,,True,False,78.89999999999986,6.99,True,True,-36.09999999999991,-3.15,False,False,,,False
2001-02-15,NIFTYMIDCAP,1221.7,1221.7,1191.7,1211.6,0,0,Thursday,2001-02-09,3,,False,False,4.2999999999999545,0.36,True,True,-36.09999999999991,-3.15,False,False,,,False
2001-02-22,NIFTYMIDCAP,1174.3,1176.1,1157.7,1157.7,0,0,Thursday,2001-02-16,4,,True,False,-53.899999999999864,-4.45,False,True,-36.09999999999991,-3.15,False,False,,,False
2001-03-01,NIFTYMIDCAP,1117.5,1118.8,1091.3,1117.5,0,0,Thursday,2001-02-23,1,,False,False,-40.200000000000045,-3.47,False,False,-249.97000000000003,-22.5,False,False,,,False
2001-03-08,NIFTYMIDCAP,1065.2,1065.2,1015.9,1015.9,0,0,Thursday,2001-03-02,2,,True,False,-101.60000000000002,-9.09,False,False,-249.97000000000003,-22.5,False,False,,,False
2001-03-15,NIFTYMIDCAP,968.89,968.89,859.74,915.31,0,0,Thursday,2001-03-09,3,,False,False,-100.59000000000003,-9.9,False,False,-249.97000000000003,-22.5,False,False,,,False
2001-03-22,NIFTYMIDCAP,898.72,898.72,880.24,880.55,0,0,Thursday,2001-03-16,4,,True,False,-34.75999999999999,-3.8,False,False,-249.97000000000003,-22.5,False,False,,,False
2001-03-29,NIFTYMIDCAP,858.62,897.67,858.62,890.04,0,0,Thursday,2001-03-23,5,,False,False,9.490000000000009,1.08,True,False,-249.97000000000003,-22.5,False,False,,,False
2001-04-05,NIFTYMIDCAP,861.03,861.03,831.91,831.91,0,0,Thursday,2001-03-30,1,,False,False,-58.129999999999995,-6.53,False,True,-34.620000000000005,-4.02,False,False,,,False
2001-04-12,NIFTYMIDCAP,826.97,828.25,767.93,767.93,0,0,Thursday,2001-04-06,2,,True,False,-63.98000000000002,-7.69,False,True,-34.620000000000005,-4.02,False,False,,,False
