Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1996-11-04,NIFTYNEXT50,1000.46,1008.38,1000.46,1003.9,0,0,Monday,,,False,False,,,False,False,,,False,True,,,False
1996-11-11,NIFTYNEXT50,1001.0,1010.51,994.93,1008.7,0,0,Monday,,,False,False,4.800000000000068,0.48,True,False,,,False,True,,,False
1996-11-18,NIFTYNEXT50,1009.88,1013.37,986.22,986.57,0,0,Monday,,,False,False,-22.129999999999995,-2.19,False,False,,,False,True,,,False
1996-11-25,NIFTYNEXT50,983.42,989.81,958.86,960.45,0,0,Monday,,,False,False,-26.120000000000005,-2.65,False,False,,,False,True,,,False
1996-12-02,NIFTYNEXT50,960.65,960.65,907.02,928.39,0,0,Monday,1,,False,False,-32.06000000000006,-3.34,False,True,74.54999999999995,7.76,True,True,,,False
1996-12-09,NIFTYNEXT50,929.12,965.14,924.56,947.55,0,0,Monday,2,,True,False,19.159999999999968,2.06,True,True,74.54999999999995,7.76,True,True,,,False
1996-12-16,NIFTYNEXT50,951.6,1001.46,951.6,999.54,0,0,Monday,3,,False,False,51.99000000000001,5.49,True,True,74.54999999999995,7.76,True,True,,,False
1996-12-23,NIFTYNEXT50,1004.12,1040.65,1000.25,1040.6,0,0,Monday,4,,True,False,41.059999999999945,4.11,True,True,74.54999999999995,7.76,True,True,,,False
1996-12-30,NIFTYNEXT50,1048.91,1086.24,1033.89,1067.0,0,0,Monday,5,,False,False,26.40000000000009,2.54,True,True,74.54999999999995,7.76,True,True,,,False
1997-01-06,NIFTYNEXT50,1075.0,1114.66,1056.96,1113.1,0,0,Monday,1,1,False,False,46.09999999999991,4.32,True,False,32.799999999999955,3.17,True,False,154.0,14.88,True
1997-01-13,NIFTYNEXT50,1107.35,1207.05,1107.35,1122.9,0,0,Monday,2,2,True,True,9.800000000000182,0.88,True,False,32.799999999999955,3.17,True,False,154.0,14.88,True
1997-01-20,NIFTYNEXT50,1114.8,1117.14,1072.06,1085.0,0,0,Monday,3,3,False,False,-37.90000000000009,-3.38,False,False,32.799999999999955,3.17,True,False,154.0,14.88,True
1997-01-27,NIFTYNEXT50,1095.56,1111.63,1065.28,1067.8,0,0,Monday,4,4,True,True,-17.200000000000045,-1.59,False,False,32.799999999999955,3.17,True,False,154.0,14.88,True
1997-02-03,NIFTYNEXT50,1062.43,1062.43,1037.07,1061.2,0,0,Monday,1,5,False,False,-6.599999999999909,-0.62,False,True,-14.700000000000045,-1.38,False,False,154.0,14.88,True
1997-02-10,NIFTYNEXT50,1062.79,1078.16,1060.98,1075.2,0,0,Monday,2,6,True,True,14.0,1.32,True,True,-14.700000000000045,-1.38,False,False,154.0,14.88,True
1997-02-17,NIFTYNEXT50,1083.79,1083.79,1049.97,1050.4,0,0,Monday,3,7,False,False,-24.799999999999955,-2.31,False,True,-14.700000000000045,-1.38,False,False,154.0,14.88,True
