Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1996-11-01,NIFTYNEXT50,1000.46,1013.37,958.86,960.45,0,0,Friday,False,,,False,True,,,False
1996-12-01,NIFTYNEXT50,960.65,1048.91,907.02,1035.0,0,0,Sunday,True,74.54999999999995,7.76,True,True,,,False
1997-01-01,NIFTYNEXT50,1051.89,1207.05,1051.89,1067.8,0,0,Wednesday,False,32.799999999999955,3.17,True,False,154.0,14.88,True
1997-02-01,NIFTYNEXT50,1062.43,1083.79,1020.94,1053.1,0,0,Saturday,True,-14.700000000000045,-1.38,False,False,154.0,14.88,True
1997-03-01,NIFTYNEXT50,1133.33,1208.87,1032.65,1032.9,0,0,Saturday,False,-20.199999999999818,-1.92,False,False,154.0,14.88,True
1997-04-01,NIFTYNEXT50,1028.3,1113.85,1016.65,1104.6,0,0,Tuesday,True,71.69999999999982,6.94,True,False,154.0,14.88,True
1997-05-01,NIFTYNEXT50,1104.25,1146.15,1079.95,1116.1,0,0,Thursday,False,11.5,1.04,True,False,154.0,14.88,True
1997-06-01,NIFTYNEXT50,1116.65,1200.3,1112.45,1163.9,0,0,Sunday,True,47.80000000000018,4.28,True,False,154.0,14.88,True
1997-07-01,NIFTYNEXT50,1166.45,1331.15,1166.45,1322.0,0,0,Tuesday,False,158.0999999999999,13.58,True,False,154.0,14.88,True
1997-08-01,NIFTYNEXT50,1322.2,1395.25,1252.7,1255.1,0,0,Friday,True,-66.90000000000009,-5.06,False,False,154.0,14.88,True
1997-09-01,NIFTYNEXT50,1254.8,1318.05,1220.95,1261.5,0,0,Monday,False,6.400000000000091,0.51,True,False,154.0,14.88,True
1997-10-01,NIFTYNEXT50,1262.75,1319.45,1179.7,1246.0,0,0,Wednesday,True,-15.5,-1.23,False,False,154.0,14.88,True
1997-11-01,NIFTYNEXT50,1246.25,1247.9,1121.7,1159.2,0,0,Saturday,False,-86.79999999999995,-6.97,False,False,154.0,14.88,True
1997-12-01,NIFTYNEXT50,1158.55,1196.95,1080.95,1189.0,0,0,Monday,True,29.799999999999955,2.57,True,False,154.0,14.88,True
1998-01-01,NIFTYNEXT50,1189.35,1241.9,1076.2,1106.3,0,0,Thursday,False,-82.70000000000005,-6.96,False,True,330.0,27.75,True
1998-02-01,NIFTYNEXT50,1105.9,1217.25,1051.55,1213.1,0,0,Sunday,True,106.79999999999995,9.65,True,True,330.0,27.75,True
1998-03-01,NIFTYNEXT50,1213.55,1384.3,1194.0,1339.4,0,0,Sunday,False,126.30000000000018,10.41,True,True,330.0,27.75,True
1998-04-01,NIFTYNEXT50,1339.75,1791.7,1339.75,1588.9,0,0,Wednesday,True,249.5,18.63,True,True,330.0,27.75,True
1998-05-01,NIFTYNEXT50,1589.25,1684.6,1467.3,1620.2,0,0,Friday,False,31.299999999999955,1.97,True,True,330.0,27.75,True
1998-06-01,NIFTYNEXT50,1620.8,1669.3,1177.2,1342.2,0,0,Monday,True,-278.0,-17.16,False,True,330.0,27.75,True
1998-07-01,NIFTYNEXT50,1343.15,1502.1,1280.15,1450.4,0,0,Wednesday,False,108.20000000000005,8.06,True,True,330.0,27.75,True
1998-08-01,NIFTYNEXT50,1450.25,1548.6,1412.95,1483.6,0,0,Saturday,True,33.19999999999982,2.29,True,True,330.0,27.75,True
1998-09-01,NIFTYNEXT50,1483.5,1573.4,1442.25,1538.5,0,0,Tuesday,False,54.90000000000009,3.7,True,True,330.0,27.75,True
1998-10-01,NIFTYNEXT50,1532.25,1534.7,1359.5,1419.7,0,0,Thursday,True,-118.79999999999995,-7.72,False,True,330.0,27.75,True
1998-11-01,NIFTYNEXT50,1420.15,1475.7,1355.15,1379.5,0,0,Sunday,False,-40.200000000000045,-2.83,False,True,330.0,27.75,True
1998-12-01,NIFTYNEXT50,1379.35,1549.5,1373.45,1519.0,0,0,Tuesday,True,139.5,10.11,True,True,330.0,27.75,True
1999-01-01,NIFTYNEXT50,1523.65,1736.05,1517.3,1692.5,0,0,Friday,False,173.5,11.42,True,False,2464.8,162.26,True
1999-02-01,NIFTYNEXT50,1687.85,1810.35,1612.8,1773.4,0,0,Monday,True,80.90000000000009,4.78,True,False,2464.8,162.26,True
1999-03-01,NIFTYNEXT50,1800.5,2079.1,1798.5,2069.2,0,0,Monday,False,295.7999999999997,16.68,True,False,2464.8,162.26,True
1999-04-01,NIFTYNEXT50,2099.75,2103.15,1631.9,1809.0,0,0,Thursday,True,-260.1999999999998,-12.57,False,False,2464.8,162.26,True
1999-05-01,NIFTYNEXT50,1819.4,2063.0,1786.1,1968.4,0,0,Saturday,False,159.4000000000001,8.81,True,False,2464.8,162.26,True
1999-06-01,NIFTYNEXT50,1961.4,2020.5,1847.35,1955.6,0,0,Tuesday,True,-12.800000000000182,-0.65,False,False,2464.8,162.26,True
1999-07-01,NIFTYNEXT50,1955.85,2278.75,1927.45,2227.6,0,0,Thursday,False,272.0,13.91,True,False,2464.8,162.26,True
1999-08-01,NIFTYNEXT50,2227.15,2579.85,2196.3,2524.4,0,0,Sunday,True,296.8000000000002,13.32,True,False,2464.8,162.26,True
1999-09-01,NIFTYNEXT50,2525.2,2860.8,2431.45,2763.6,0,0,Wednesday,False,239.19999999999982,9.48,True,False,2464.8,162.26,True
1999-10-01,NIFTYNEXT50,2760.3,3122.75,2552.25,2588.5,0,0,Friday,True,-175.0999999999999,-6.34,False,False,2464.8,162.26,True
1999-11-01,NIFTYNEXT50,2591.1,3062.25,2308.35,3057.4,0,0,Monday,False,468.9000000000001,18.11,True,False,2464.8,162.26,True
1999-12-01,NIFTYNEXT50,3135.75,4004.85,3027.45,3983.8,0,0,Wednesday,True,926.4000000000001,30.3,True,False,2464.8,162.26,True
2000-01-01,NIFTYNEXT50,3998.25,4579.35,3721.3,4351.9,0,0,Saturday,False,368.09999999999945,9.24,True,True,-1557.75,-39.1,False
2000-02-01,NIFTYNEXT50,4353.3,5365.9,4353.3,4447.2,0,0,Tuesday,True,95.30000000000018,2.19,True,True,-1557.75,-39.1,False
2000-03-01,NIFTYNEXT50,4446.45,5065.65,3569.9,3695.7,0,0,Wednesday,False,-751.5,-16.9,False,True,-1557.75,-39.1,False
2000-04-01,NIFTYNEXT50,3720.45,3771.8,2572.65,2788.6,0,0,Saturday,True,-907.0999999999999,-24.54,False,True,-1557.75,-39.1,False
2000-05-01,NIFTYNEXT50,2780.95,2870.0,2059.2,2448.7,0,0,Monday,False,-339.9000000000001,-12.19,False,True,-1557.75,-39.1,False
2000-06-01,NIFTYNEXT50,2444.65,2989.5,2424.55,2672.4,0,0,Thursday,True,223.70000000000027,9.14,True,True,-1557.75,-39.1,False
2000-07-01,NIFTYNEXT50,2687.3,2812.5,2348.0,2464.9,0,0,Saturday,False,-207.5,-7.76,False,True,-1557.75,-39.1,False
2000-08-01,NIFTYNEXT50,2472.4,2612.65,2284.75,2548.2,0,0,Tuesday,True,83.29999999999973,3.38,True,True,-1557.75,-39.1,False
2000-09-01,NIFTYNEXT50,2552.1,2855.85,2346.55,2369.3,0,0,Friday,False,-178.89999999999964,-7.02,False,True,-1557.75,-39.1,False
2000-10-01,NIFTYNEXT50,2366.0,2393.9,2054.05,2234.3,0,0,Sunday,True,-135.0,-5.7,False,True,-1557.75,-39.1,False
2000-11-01,NIFTYNEXT50,2249.65,2516.7,2238.75,2477.25,0,0,Wednesday,False,242.94999999999982,10.87,True,True,-1557.75,-39.1,False
2000-12-01,NIFTYNEXT50,2467.45,2737.7,2228.1,2426.05,0,0,Friday,True,-51.19999999999982,-2.07,False,True,-1557.75,-39.1,False
2001-01-01,NIFTYNEXT50,2424.6,2555.75,2282.85,2407.7,0,0,Monday,False,-18.350000000000364,-0.76,False,False,-1127.7500000000002,-46.49,False
2001-02-01,NIFTYNEXT50,2400.9,2516.35,2023.1,2141.45,0,0,Thursday,True,-266.25,-11.06,False,False,-1127.7500000000002,-46.49,False
2001-03-01,NIFTYNEXT50,2158.2,2258.75,1570.2,1601.8,0,0,Thursday,False,-539.6499999999999,-25.2,False,False,-1127.7500000000002,-46.49,False
2001-04-01,NIFTYNEXT50,1601.8,1638.05,1362.5,1525.2,0,0,Sunday,True,-76.59999999999991,-4.78,False,False,-1127.7500000000002,-46.49,False
2001-05-01,NIFTYNEXT50,1529.05,1676.25,1472.4,1627.15,0,0,Tuesday,False,101.95000000000005,6.68,True,False,-1127.7500000000002,-46.49,False
2001-06-01,NIFTYNEXT50,1627.55,1638.9,1397.6,1415.4,0,0,Friday,True,-211.75,-13.01,False,False,-1127.7500000000002,-46.49,False
2001-07-01,NIFTYNEXT50,1416.45,1438.25,1304.25,1342.55,0,0,Sunday,False,-72.85000000000014,-5.15,False,False,-1127.7500000000002,-46.49,False
2001-08-01,NIFTYNEXT50,1341.9,1370.25,1275.2,1277.35,0,0,Wednesday,True,-65.20000000000005,-4.86,False,False,-1127.7500000000002,-46.49,False
2001-09-01,NIFTYNEXT50,1278.25,1292.0,1038.75,1084.4,0,0,Saturday,False,-192.94999999999982,-15.11,False,False,-1127.7500000000002,-46.49,False
2001-10-01,NIFTYNEXT50,1083.7,1206.65,1044.9,1174.2,0,0,Monday,True,89.79999999999995,8.28,True,False,-1127.7500000000002,-46.49,False
2001-11-01,NIFTYNEXT50,1174.15,1376.75,1173.35,1334.15,0,0,Thursday,False,159.95000000000005,13.62,True,False,-1127.7500000000002,-46.49,False
2001-12-01,NIFTYNEXT50,1335.45,1415.85,1215.45,1298.3,0,0,Saturday,True,-35.850000000000136,-2.69,False,False,-1127.7500000000002,-46.49,False
2002-01-01,NIFTYNEXT50,1298.6,1358.55,1273.8,1348.55,0,0,Tuesday,False,50.25,3.87,True,True,114.70000000000005,8.83,True
2002-02-01,NIFTYNEXT50,1350.6,1617.05,1350.6,1495.55,0,0,Friday,True,147.0,10.9,True,True,114.70000000000005,8.83,True
2002-03-01,NIFTYNEXT50,1496.4,1611.2,1489.25,1566.95,0,0,Friday,False,71.40000000000009,4.77,True,True,114.70000000000005,8.83,True
2002-04-01,NIFTYNEXT50,1568.4,1658.5,1564.15,1607.75,0,0,Monday,True,40.799999999999955,2.6,True,True,114.70000000000005,8.83,True
