Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2005-04-01,NIFTYOIL&GAS,992.35,992.35,943.68,943.68,0,0,Friday,True,,,False,False,,,False
2005-05-01,NIFTYOIL&GAS,959.97,1008.76,959.97,1008.76,0,0,Sunday,False,65.08000000000004,6.9,True,False,,,False
2005-06-01,NIFTYOIL&GAS,1015.54,1059.0,1006.43,1059.0,0,0,Wednesday,True,50.24000000000001,4.98,True,False,,,False
2005-07-01,NIFTYOIL&GAS,1047.26,1077.63,1012.04,1065.1,0,0,Friday,False,6.099999999999909,0.58,True,False,,,False
2005-08-01,NIFTYOIL&GAS,1074.64,1121.12,1074.64,1105.08,0,0,Monday,True,39.98000000000002,3.75,True,False,,,False
2005-09-01,NIFTYOIL&GAS,1115.09,1213.87,1115.09,1199.67,0,0,Thursday,False,94.59000000000015,8.56,True,False,,,False
2005-10-01,NIFTYOIL&GAS,1218.05,1229.92,1089.57,1100.6,0,0,Saturday,True,-99.07000000000016,-8.26,False,False,,,False
2005-11-01,NIFTYOIL&GAS,1112.89,1253.66,1112.89,1236.04,0,0,Tuesday,False,135.44000000000005,12.31,True,False,,,False
2005-12-01,NIFTYOIL&GAS,1253.21,1312.52,1225.46,1308.2,0,0,Thursday,True,72.16000000000008,5.84,True,False,,,False
2006-01-01,NIFTYOIL&GAS,1319.68,1362.93,1319.68,1333.0,0,0,Sunday,False,24.799999999999955,1.9,True,True,214.23000000000002,16.38,True
2006-02-01,NIFTYOIL&GAS,1316.76,1337.38,1306.67,1308.12,0,0,Wednesday,True,-24.88000000000011,-1.87,False,True,214.23000000000002,16.38,True
2006-03-01,NIFTYOIL&GAS,1304.09,1433.87,1304.09,1432.28,0,0,Wednesday,False,124.16000000000008,9.49,True,True,214.23000000000002,16.38,True
2006-04-01,NIFTYOIL&GAS,1462.61,1556.18,1438.83,1545.18,0,0,Saturday,True,112.90000000000009,7.88,True,True,214.23000000000002,16.38,True
2006-05-01,NIFTYOIL&GAS,1557.52,1702.36,1340.42,1340.42,0,0,Monday,False,-204.76,-13.25,False,True,214.23000000000002,16.38,True
2006-06-01,NIFTYOIL&GAS,1287.39,1332.21,1110.18,1322.61,0,0,Thursday,True,-17.810000000000173,-1.33,False,True,214.23000000000002,16.38,True
