Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2011-01-31,NIFTYPSUBANK,4061.5,4223.25,4028.69995,4116.5498,81597563,0,Monday,,,False,False,,,False,False,,,False,False,,,False
2011-02-07,NIFTYPSUBANK,4132.6001,4148.1001,3851.75,4048.3501,72040616,0,Monday,1,,False,False,-68.19969999999967,-1.66,False,True,-43.60009999999966,-1.05,False,False,,,False
2011-02-14,NIFTYPSUBANK,4066.05005,4394.7002,4066.05005,4279.3999,76101443,0,Monday,2,,True,False,231.04980000000023,5.71,True,True,-43.60009999999966,-1.05,False,False,,,False
2011-02-21,NIFTYPSUBANK,4281.6001,4315.8999,3955.1499,4070.5,64766217,0,Monday,3,,False,False,-208.89990000000034,-4.88,False,True,-43.60009999999966,-1.05,False,False,,,False
2011-02-28,NIFTYPSUBANK,4081.05005,4297.2002,4069.75,4244.6499,55487306,0,Monday,4,,True,False,174.14990000000034,4.28,True,True,-43.60009999999966,-1.05,False,False,,,False
2011-03-07,NIFTYPSUBANK,4230.6001,4256.1001,4116.1499,4124.6499,42933166,0,Monday,1,,False,False,-120.0,-2.83,False,False,328.5,7.96,True,False,,,False
2011-03-14,NIFTYPSUBANK,4131.25,4262.0498,4070.19995,4155.3999,48674715,0,Monday,2,,True,False,30.75,0.75,True,False,328.5,7.96,True,False,,,False
2011-03-21,NIFTYPSUBANK,4173.6001,4330.0498,4122.0,4323.25,45935955,0,Monday,3,,False,False,167.85009999999966,4.04,True,False,328.5,7.96,True,False,,,False
2011-03-28,NIFTYPSUBANK,4320.7998,4567.75,4320.7998,4399.3501,76690095,0,Monday,4,,True,False,76.10009999999966,1.76,True,False,328.5,7.96,True,False,,,False
2011-04-04,NIFTYPSUBANK,4407.1001,4550.8501,4407.1001,4456.3999,63230265,0,Monday,1,,False,False,57.04980000000069,1.3,True,True,-68.25,-1.53,False,False,,,False
2011-04-11,NIFTYPSUBANK,4458.0,4557.8999,4428.1499,4504.0,31509074,0,Monday,2,,True,False,47.60009999999966,1.07,True,True,-68.25,-1.53,False,False,,,False
2011-04-18,NIFTYPSUBANK,4503.7998,4556.4502,4401.6499,4528.1001,50439553,0,Monday,3,,False,False,24.100099999999657,0.54,True,True,-68.25,-1.53,False,False,,,False
2011-04-25,NIFTYPSUBANK,4536.9502,4639.8999,4360.7998,4385.75,51048594,0,Monday,4,,True,False,-142.35009999999966,-3.14,False,True,-68.25,-1.53,False,False,,,False
2011-05-02,NIFTYPSUBANK,4389.75,4402.5,4015.19995,4166.2998,107315523,0,Monday,1,,False,False,-219.45020000000022,-5.0,False,False,-496.3000499999998,-11.32,False,False,,,False
2011-05-09,NIFTYPSUBANK,4174.5,4190.5,4095.6001,4145.6001,48800408,0,Monday,2,,True,False,-20.69970000000012,-0.5,False,False,-496.3000499999998,-11.32,False,False,,,False
2011-05-16,NIFTYPSUBANK,4140.2002,4140.2002,3807.19995,3825.05005,56061881,0,Monday,3,,False,False,-320.5500499999998,-7.73,False,False,-496.3000499999998,-11.32,False,False,,,False
2011-05-23,NIFTYPSUBANK,3820.3501,3820.3501,3703.25,3796.0,56350430,0,Monday,4,,True,False,-29.05004999999983,-0.76,False,False,-496.3000499999998,-11.32,False,False,,,False
2011-05-30,NIFTYPSUBANK,3801.25,3933.6001,3780.25,3861.6499,46458287,0,Monday,5,,False,False,65.64989999999989,1.73,True,False,-496.3000499999998,-11.32,False,False,,,False
2011-06-06,NIFTYPSUBANK,3854.3999,3901.1499,3806.30005,3826.05005,27982965,0,Monday,1,,False,False,-35.59985000000006,-0.92,False,True,28.0,0.72,True,False,,,False
2011-06-13,NIFTYPSUBANK,3822.80005,3838.8999,3693.30005,3740.55005,36430816,0,Monday,2,,True,False,-85.5,-2.23,False,True,28.0,0.72,True,False,,,False
2011-06-20,NIFTYPSUBANK,3745.8501,3816.3501,3639.3501,3807.0,32830732,0,Monday,3,,False,False,66.44995000000017,1.78,True,True,28.0,0.72,True,False,,,False
2011-06-27,NIFTYPSUBANK,3798.6001,3947.5,3782.94995,3931.55005,50351368,0,Monday,4,,True,False,124.55004999999983,3.27,True,True,28.0,0.72,True,False,,,False
2011-07-04,NIFTYPSUBANK,3953.80005,4074.8501,3946.6499,4018.19995,43876467,0,Monday,1,,False,False,86.64990000000034,2.2,True,False,-75.14990000000034,-1.92,False,False,,,False
2011-07-11,NIFTYPSUBANK,4009.69995,4040.3999,3888.6499,4002.6499,33582133,0,Monday,2,,True,False,-15.550050000000283,-0.39,False,False,-75.14990000000034,-1.92,False,False,,,False
2011-07-18,NIFTYPSUBANK,3998.3501,4079.55005,3972.55005,4066.19995,36813142,0,Monday,3,,False,False,63.55005000000028,1.59,True,False,-75.14990000000034,-1.92,False,False,,,False
2011-07-25,NIFTYPSUBANK,4062.25,4109.0,3818.75,3842.30005,65717290,0,Monday,4,,True,False,-223.89990000000034,-5.51,False,False,-75.14990000000034,-1.92,False,False,,,False
2011-08-01,NIFTYPSUBANK,3862.30005,3899.8999,3591.75,3668.6001,41891757,0,Monday,1,,False,False,-173.69994999999972,-4.52,False,True,-587.5,-15.29,False,False,,,False
2011-08-08,NIFTYPSUBANK,3620.19995,3741.1001,3556.8999,3609.05005,49042745,0,Monday,2,,True,False,-59.55005000000028,-1.62,False,True,-587.5,-15.29,False,False,,,False
2011-08-15,NIFTYPSUBANK,3598.1001,3640.75,3295.3999,3324.25,43227029,0,Monday,3,,False,False,-284.8000499999998,-7.89,False,True,-587.5,-15.29,False,False,,,False
2011-08-22,NIFTYPSUBANK,3333.6499,3380.94995,3084.6001,3106.3501,56820720,0,Monday,4,,True,False,-217.8998999999999,-6.55,False,True,-587.5,-15.29,False,False,,,False
2011-08-29,NIFTYPSUBANK,3137.5,3283.1499,3137.5,3246.1499,27445987,0,Monday,5,,False,False,139.79979999999978,4.5,True,True,-587.5,-15.29,False,False,,,False
2011-09-05,NIFTYPSUBANK,3229.44995,3384.30005,3183.3501,3269.6001,52960358,0,Monday,1,,False,False,23.450200000000223,0.72,True,False,-54.5,-1.67,False,False,,,False
2011-09-12,NIFTYPSUBANK,3246.0,3280.19995,3101.25,3251.5,59407548,0,Monday,2,,True,False,-18.10010000000011,-0.55,False,False,-54.5,-1.67,False,False,,,False
2011-09-19,NIFTYPSUBANK,3236.3999,3337.8501,3134.6001,3225.75,50269509,0,Monday,3,,False,False,-25.75,-0.79,False,False,-54.5,-1.67,False,False,,,False
2011-09-26,NIFTYPSUBANK,3227.05005,3331.1001,3171.5,3200.30005,43557235,0,Monday,4,,True,False,-25.44995000000017,-0.79,False,False,-54.5,-1.67,False,False,,,False
2011-10-03,NIFTYPSUBANK,3171.5,3171.5,2954.94995,3020.3999,46731788,0,Monday,1,,False,False,-179.90014999999994,-5.62,False,True,30.59985000000006,0.96,True,False,,,False
2011-10-10,NIFTYPSUBANK,3025.80005,3272.25,2993.3501,3225.3999,50652705,0,Monday,2,,True,False,205.0,6.79,True,True,30.59985000000006,0.96,True,False,,,False
2011-10-17,NIFTYPSUBANK,3242.44995,3280.5,3148.5,3231.55005,36208173,0,Monday,3,,False,False,6.15014999999994,0.19,True,True,30.59985000000006,0.96,True,False,,,False
2011-10-24,NIFTYPSUBANK,3253.8999,3292.19995,3060.6499,3200.75,54267296,0,Monday,4,,True,False,-30.80004999999983,-0.95,False,True,30.59985000000006,0.96,True,False,,,False
2011-10-31,NIFTYPSUBANK,3209.0,3353.19995,3156.94995,3329.5,77418941,0,Monday,5,,False,False,128.75,4.02,True,True,30.59985000000006,0.96,True,False,,,False
2011-11-07,NIFTYPSUBANK,3341.1499,3359.75,3114.69995,3136.19995,42628706,0,Monday,1,,False,False,-193.30004999999983,-5.81,False,False,-262.2997999999998,-8.12,False,False,,,False
2011-11-14,NIFTYPSUBANK,3158.55005,3172.3999,2924.0,2959.05005,50498577,0,Monday,2,,True,False,-177.14990000000034,-5.65,False,False,-262.2997999999998,-8.12,False,False,,,False
2011-11-21,NIFTYPSUBANK,2955.8999,2955.8999,2822.5,2929.05005,51359622,0,Monday,3,,False,False,-30.0,-1.01,False,False,-262.2997999999998,-8.12,False,False,,,False
2011-11-28,NIFTYPSUBANK,2958.8501,3142.3999,2939.5,3127.75,59167710,0,Monday,4,,True,False,198.69995000000017,6.78,True,False,-262.2997999999998,-8.12,False,False,,,False
2011-12-05,NIFTYPSUBANK,3128.3501,3207.8999,3016.6001,3083.30005,38921997,0,Monday,1,,False,False,-44.44995000000017,-1.42,False,True,-356.5500500000003,-12.01,False,False,,,False
2011-12-12,NIFTYPSUBANK,3096.19995,3120.55005,2795.8501,2813.19995,56652569,0,Monday,2,,True,False,-270.10009999999966,-8.76,False,True,-356.5500500000003,-12.01,False,False,,,False
2011-12-19,NIFTYPSUBANK,2801.1499,2801.1499,2593.8501,2690.19995,65107441,0,Monday,3,,False,False,-123.0,-4.37,False,True,-356.5500500000003,-12.01,False,False,,,False
2011-12-26,NIFTYPSUBANK,2687.0,2728.8999,2566.94995,2612.05005,46513462,0,Monday,4,,True,False,-78.14990000000034,-2.9,False,True,-356.5500500000003,-12.01,False,False,,,False
2012-01-02,NIFTYPSUBANK,2621.1499,2776.55005,2589.80005,2732.8501,44601194,0,Monday,1,1,False,False,120.80005000000028,4.62,True,False,674.8498500000001,25.84,True,True,1061.34985,40.63,True
2012-01-09,NIFTYPSUBANK,2727.94995,2955.3501,2686.5,2918.8999,53799432,0,Monday,2,2,True,True,186.04979999999978,6.81,True,False,674.8498500000001,25.84,True,True,1061.34985,40.63,True
2012-01-16,NIFTYPSUBANK,2903.5,3134.94995,2863.8501,3122.8999,49693668,0,Monday,3,3,False,False,204.0,6.99,True,False,674.8498500000001,25.84,True,True,1061.34985,40.63,True
2012-01-23,NIFTYPSUBANK,3121.94995,3357.75,3118.80005,3278.6001,88667234,0,Monday,4,4,True,True,155.70020000000022,4.99,True,False,674.8498500000001,25.84,True,True,1061.34985,40.63,True
2012-01-30,NIFTYPSUBANK,3256.94995,3375.05005,3183.0,3365.3999,91020259,0,Monday,5,5,False,False,86.79979999999978,2.65,True,False,674.8498500000001,25.84,True,True,1061.34985,40.63,True
2012-02-06,NIFTYPSUBANK,3387.94995,3585.3999,3387.94995,3537.80005,84398881,0,Monday,1,6,False,True,172.40014999999994,5.12,True,True,276.8000500000003,8.42,True,True,1061.34985,40.63,True
2012-02-13,NIFTYPSUBANK,3540.30005,3902.19995,3469.6499,3842.3999,86172966,0,Monday,2,7,True,False,304.59985000000006,8.61,True,True,276.8000500000003,8.42,True,True,1061.34985,40.63,True
2012-02-20,NIFTYPSUBANK,3845.1001,3921.3999,3511.55005,3528.25,72697936,0,Monday,3,8,False,True,-314.1498999999999,-8.18,False,True,276.8000500000003,8.42,True,True,1061.34985,40.63,True
2012-02-27,NIFTYPSUBANK,3534.05005,3636.5,3344.80005,3572.6499,81875421,0,Monday,4,9,True,False,44.39989999999989,1.26,True,True,276.8000500000003,8.42,True,True,1061.34985,40.63,True
2012-03-05,NIFTYPSUBANK,3562.5,3594.55005,3386.25,3559.44995,48958233,0,Monday,1,10,False,True,-13.199949999999717,-0.37,False,False,-178.59985000000006,-5.01,False,True,1061.34985,40.63,True
2012-03-12,NIFTYPSUBANK,3628.75,3765.44995,3511.94995,3528.25,70671823,0,Monday,2,11,True,False,-31.19995000000017,-0.88,False,False,-178.59985000000006,-5.01,False,True,1061.34985,40.63,True
2012-03-19,NIFTYPSUBANK,3530.8501,3573.94995,3382.30005,3452.3501,55003144,0,Monday,3,12,False,True,-75.89989999999989,-2.15,False,False,-178.59985000000006,-5.01,False,True,1061.34985,40.63,True
2012-03-26,NIFTYPSUBANK,3446.5,3446.5,3278.1499,3385.1001,73888081,0,Monday,4,13,True,False,-67.25,-1.95,False,False,-178.59985000000006,-5.01,False,True,1061.34985,40.63,True
2012-04-02,NIFTYPSUBANK,3390.5,3471.94995,3390.5,3455.44995,21132501,0,Monday,1,14,False,True,70.34985000000006,2.08,True,True,-71.65014999999994,-2.12,False,True,1061.34985,40.63,True
2012-04-09,NIFTYPSUBANK,3442.05005,3561.05005,3353.19995,3459.94995,51182964,0,Monday,2,15,True,False,4.5,0.13,True,True,-71.65014999999994,-2.12,False,True,1061.34985,40.63,True
2012-04-16,NIFTYPSUBANK,3456.80005,3620.6499,3449.30005,3476.55005,52396786,0,Monday,3,16,False,True,16.600099999999657,0.48,True,True,-71.65014999999994,-2.12,False,True,1061.34985,40.63,True
2012-04-23,NIFTYPSUBANK,3479.8999,3502.6499,3239.5,3285.1001,67722522,0,Monday,4,17,True,False,-191.44994999999972,-5.51,False,True,-71.65014999999994,-2.12,False,True,1061.34985,40.63,True
2012-04-30,NIFTYPSUBANK,3279.55005,3351.44995,3100.8501,3112.3999,53588385,0,Monday,5,18,False,True,-172.70020000000022,-5.26,False,True,-71.65014999999994,-2.12,False,True,1061.34985,40.63,True
