Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2011-02-03,NIFTYPSUBANK,4061.5,4199.7002,4028.69995,4165.1499,65489237,0,Thursday,2011-01-28,,,False,False,,,False,True,-43.60009999999966,-1.05,False,False,,,False
2011-02-10,NIFTYPSUBANK,4170.1001,4223.25,3851.75,3898.80005,74087776,0,Thursday,2011-02-04,,,False,False,-266.3498500000005,-6.39,False,True,-43.60009999999966,-1.05,False,False,,,False
2011-02-17,NIFTYPSUBANK,3903.25,4345.4502,3878.44995,4337.3999,73010873,0,Thursday,2011-02-11,,,False,False,438.5998500000005,11.25,True,True,-43.60009999999966,-1.05,False,False,,,False
2011-02-24,NIFTYPSUBANK,4338.7998,4394.7002,3955.1499,3976.0,68821379,0,Thursday,2011-02-18,,,False,False,-361.39990000000034,-8.33,False,True,-43.60009999999966,-1.05,False,False,,,False
2011-03-03,NIFTYPSUBANK,3993.94995,4293.3501,3980.8501,4231.1499,56708994,0,Thursday,2011-02-25,1,,False,False,255.14990000000034,6.42,True,False,328.5,7.96,True,False,,,False
2011-03-10,NIFTYPSUBANK,4257.1001,4297.2002,4133.1001,4170.6001,46944932,0,Thursday,2011-03-04,2,,True,False,-60.54980000000069,-1.43,False,False,328.5,7.96,True,False,,,False
2011-03-17,NIFTYPSUBANK,4158.75,4262.0498,4070.19995,4207.5498,46406643,0,Thursday,2011-03-11,3,,False,False,36.94970000000012,0.89,True,False,328.5,7.96,True,False,,,False
2011-03-24,NIFTYPSUBANK,4222.5498,4253.9502,4122.0,4241.8501,44381003,0,Thursday,2011-03-18,4,,True,False,34.30029999999988,0.82,True,False,328.5,7.96,True,False,,,False
2011-03-31,NIFTYPSUBANK,4257.1001,4567.75,4252.5,4454.0,77606141,0,Thursday,2011-03-25,5,,False,False,212.14990000000034,5.0,True,False,328.5,7.96,True,False,,,False
2011-04-07,NIFTYPSUBANK,4454.8999,4550.8501,4386.2002,4530.25,60474290,0,Thursday,2011-04-01,1,,False,False,76.25,1.71,True,True,-68.25,-1.53,False,False,,,False
2011-04-14,NIFTYPSUBANK,4527.6001,4547.7002,4428.1499,4509.8501,32908795,0,Thursday,2011-04-08,2,,True,False,-20.399900000000343,-0.45,False,True,-68.25,-1.53,False,False,,,False
2011-04-21,NIFTYPSUBANK,4508.3501,4557.8999,4401.6499,4528.1001,62565905,0,Thursday,2011-04-15,3,,False,False,18.25,0.4,True,True,-68.25,-1.53,False,False,,,False
2011-04-28,NIFTYPSUBANK,4536.9502,4639.8999,4489.75,4499.7002,38013312,0,Thursday,2011-04-22,4,,True,False,-28.399899999999434,-0.63,False,True,-68.25,-1.53,False,False,,,False
2011-05-05,NIFTYPSUBANK,4499.1001,4505.2002,4015.19995,4041.6499,102481009,0,Thursday,2011-04-29,1,,False,False,-458.05030000000033,-10.18,False,False,-496.3000499999998,-11.32,False,False,,,False
2011-05-12,NIFTYPSUBANK,4043.44995,4190.5,4043.44995,4126.7998,55577986,0,Thursday,2011-05-06,2,,True,False,85.14989999999989,2.11,True,False,-496.3000499999998,-11.32,False,False,,,False
2011-05-19,NIFTYPSUBANK,4131.7002,4184.75,3807.19995,3815.80005,56291245,0,Thursday,2011-05-13,3,,False,False,-310.99974999999995,-7.54,False,False,-496.3000499999998,-11.32,False,False,,,False
2011-05-26,NIFTYPSUBANK,3808.05005,3872.3501,3703.25,3730.8501,56199577,0,Thursday,2011-05-20,4,,True,False,-84.94994999999972,-2.23,False,False,-496.3000499999998,-11.32,False,False,,,False
2011-06-02,NIFTYPSUBANK,3737.0,3933.6001,3737.0,3894.1001,50086080,0,Thursday,2011-05-27,1,,False,False,163.25,4.38,True,True,28.0,0.72,True,False,,,False
2011-06-09,NIFTYPSUBANK,3896.5,3926.69995,3810.94995,3852.3999,28876737,0,Thursday,2011-06-03,2,,True,False,-41.70020000000022,-1.07,False,True,28.0,0.72,True,False,,,False
2011-06-16,NIFTYPSUBANK,3857.69995,3868.75,3693.30005,3736.25,35904623,0,Thursday,2011-06-10,3,,False,False,-116.14989999999989,-3.02,False,True,28.0,0.72,True,False,,,False
2011-06-23,NIFTYPSUBANK,3747.30005,3753.44995,3639.3501,3666.25,30934832,0,Thursday,2011-06-17,4,,True,False,-70.0,-1.87,False,True,28.0,0.72,True,False,,,False
2011-06-30,NIFTYPSUBANK,3678.0,3940.94995,3677.1499,3917.44995,49367439,0,Thursday,2011-06-24,5,,False,False,251.19995000000017,6.85,True,True,28.0,0.72,True,False,,,False
2011-07-07,NIFTYPSUBANK,3929.75,4032.05005,3898.1499,4027.8501,43990623,0,Thursday,2011-07-01,1,,False,False,110.40014999999994,2.82,True,False,-75.14990000000034,-1.92,False,False,,,False
2011-07-14,NIFTYPSUBANK,4026.8999,4074.8501,3888.6499,4001.5,38099225,0,Thursday,2011-07-08,2,,True,False,-26.35010000000011,-0.65,False,False,-75.14990000000034,-1.92,False,False,,,False
2011-07-21,NIFTYPSUBANK,4000.1001,4079.55005,3972.55005,3983.44995,28467841,0,Thursday,2011-07-15,3,,False,False,-18.05004999999983,-0.45,False,False,-75.14990000000034,-1.92,False,False,,,False
2011-07-28,NIFTYPSUBANK,3994.6001,4109.0,3839.6001,3850.19995,69440921,0,Thursday,2011-07-22,4,,True,False,-133.25,-3.35,False,False,-75.14990000000034,-1.92,False,False,,,False
2011-08-04,NIFTYPSUBANK,3851.5,3899.8999,3679.55005,3704.69995,40011348,0,Thursday,2011-07-29,1,,False,False,-145.5,-3.78,False,True,-587.5,-15.29,False,False,,,False
2011-08-11,NIFTYPSUBANK,3654.6499,3741.1001,3556.8999,3688.94995,51646810,0,Thursday,2011-08-05,2,,True,False,-15.75,-0.43,False,True,-587.5,-15.29,False,False,,,False
2011-08-18,NIFTYPSUBANK,3714.8501,3723.1001,3369.8999,3384.80005,39785151,0,Thursday,2011-08-12,3,,False,False,-304.14990000000034,-8.24,False,True,-587.5,-15.29,False,False,,,False
2011-08-25,NIFTYPSUBANK,3355.0,3409.30005,3201.3501,3224.25,59581099,0,Thursday,2011-08-19,4,,True,False,-160.55004999999983,-4.74,False,True,-587.5,-15.29,False,False,,,False
2011-09-01,NIFTYPSUBANK,3230.8999,3260.30005,3084.6001,3254.80005,27135413,0,Thursday,2011-08-26,1,,False,False,30.55004999999983,0.95,True,False,-54.5,-1.67,False,False,,,False
2011-09-08,NIFTYPSUBANK,3268.3501,3363.94995,3183.3501,3345.6001,51985445,0,Thursday,2011-09-02,2,,True,False,90.80005000000028,2.79,True,False,-54.5,-1.67,False,False,,,False
2011-09-15,NIFTYPSUBANK,3350.80005,3384.30005,3101.25,3218.6499,53812198,0,Thursday,2011-09-09,3,,False,False,-126.95020000000022,-3.79,False,False,-54.5,-1.67,False,False,,,False
2011-09-22,NIFTYPSUBANK,3232.0,3337.8501,3191.44995,3204.75,53666056,0,Thursday,2011-09-16,4,,True,False,-13.899899999999889,-0.43,False,False,-54.5,-1.67,False,False,,,False
2011-09-29,NIFTYPSUBANK,3180.8999,3331.1001,3134.6001,3264.0,49190174,0,Thursday,2011-09-23,5,,False,False,59.25,1.85,True,False,-54.5,-1.67,False,False,,,False
2011-10-06,NIFTYPSUBANK,3246.6499,3256.25,2954.94995,2962.3999,44574578,0,Thursday,2011-09-30,1,,False,False,-301.6001000000001,-9.24,False,True,30.59985000000006,0.96,True,False,,,False
2011-10-13,NIFTYPSUBANK,3002.3999,3272.25,2993.3501,3215.6499,53907177,0,Thursday,2011-10-07,2,,True,False,253.25,8.55,True,True,30.59985000000006,0.96,True,False,,,False
2011-10-20,NIFTYPSUBANK,3203.1001,3271.44995,3148.5,3244.80005,35900763,0,Thursday,2011-10-14,3,,False,False,29.15014999999994,0.91,True,True,30.59985000000006,0.96,True,False,,,False
2011-10-27,NIFTYPSUBANK,3252.5,3292.19995,3060.6499,3111.69995,46879014,0,Thursday,2011-10-21,4,,True,False,-133.10009999999966,-4.1,False,True,30.59985000000006,0.96,True,False,,,False
2011-11-03,NIFTYPSUBANK,3163.19995,3307.3999,3156.94995,3300.44995,81261175,0,Thursday,2011-10-28,1,,False,False,188.75,6.07,True,False,-262.2997999999998,-8.12,False,False,,,False
2011-11-10,NIFTYPSUBANK,3327.5,3359.75,3189.3501,3200.1499,39011238,0,Thursday,2011-11-04,2,,True,False,-100.30005000000028,-3.04,False,False,-262.2997999999998,-8.12,False,False,,,False
2011-11-17,NIFTYPSUBANK,3198.30005,3206.3999,2982.25,2999.80005,51206040,0,Thursday,2011-11-11,3,,False,False,-200.34985000000006,-6.26,False,False,-262.2997999999998,-8.12,False,False,,,False
2011-11-24,NIFTYPSUBANK,2989.69995,2989.69995,2822.5,2892.6001,54179630,0,Thursday,2011-11-18,4,,True,False,-107.19994999999972,-3.57,False,False,-262.2997999999998,-8.12,False,False,,,False
2011-12-01,NIFTYPSUBANK,2886.6001,3090.44995,2863.75,3046.75,56419257,0,Thursday,2011-11-25,1,,False,False,154.1498999999999,5.33,True,True,-356.5500500000003,-12.01,False,False,,,False
2011-12-08,NIFTYPSUBANK,3048.55005,3207.8999,3023.3999,3090.0,41584022,0,Thursday,2011-12-02,2,,True,False,43.25,1.42,True,True,-356.5500500000003,-12.01,False,False,,,False
2011-12-15,NIFTYPSUBANK,3061.6001,3120.55005,2885.5,2901.94995,53155502,0,Thursday,2011-12-09,3,,False,False,-188.05004999999983,-6.09,False,True,-356.5500500000003,-12.01,False,False,,,False
2011-12-22,NIFTYPSUBANK,2916.69995,2958.3999,2593.8501,2737.69995,68414979,0,Thursday,2011-12-16,4,,True,False,-164.25,-5.66,False,True,-356.5500500000003,-12.01,False,False,,,False
2011-12-29,NIFTYPSUBANK,2741.75,2765.8501,2566.94995,2624.6499,48189761,0,Thursday,2011-12-23,5,,False,False,-113.05005000000028,-4.13,False,True,-356.5500500000003,-12.01,False,False,,,False
2012-01-05,NIFTYPSUBANK,2632.30005,2776.55005,2589.80005,2750.0,45351542,0,Thursday,2011-12-30,1,1,False,False,125.35010000000011,4.78,True,False,674.8498500000001,25.84,True,True,1061.34985,40.63,True
2012-01-12,NIFTYPSUBANK,2736.1001,2933.8501,2686.5,2911.69995,52826188,0,Thursday,2012-01-06,2,2,True,True,161.69995000000017,5.88,True,False,674.8498500000001,25.84,True,True,1061.34985,40.63,True
2012-01-19,NIFTYPSUBANK,2924.6499,3055.0,2863.8501,3025.05005,43273353,0,Thursday,2012-01-13,3,3,False,False,113.35009999999966,3.89,True,False,674.8498500000001,25.84,True,True,1061.34985,40.63,True
2012-01-26,NIFTYPSUBANK,3036.6001,3357.75,3036.6001,3309.19995,82793218,0,Thursday,2012-01-20,4,4,True,True,284.14990000000034,9.39,True,False,674.8498500000001,25.84,True,True,1061.34985,40.63,True
2012-02-02,NIFTYPSUBANK,3313.1001,3374.8501,3183.0,3326.6001,96782962,0,Thursday,2012-01-27,1,5,False,False,17.40014999999994,0.53,True,True,276.8000500000003,8.42,True,True,1061.34985,40.63,True
2012-02-09,NIFTYPSUBANK,3322.25,3545.80005,3282.44995,3537.25,85114145,0,Thursday,2012-02-03,2,6,True,True,210.6498999999999,6.33,True,True,276.8000500000003,8.42,True,True,1061.34985,40.63,True
2012-02-16,NIFTYPSUBANK,3539.25,3783.8999,3469.6499,3768.0,82197017,0,Thursday,2012-02-10,3,7,False,False,230.75,6.52,True,True,276.8000500000003,8.42,True,True,1061.34985,40.63,True
2012-02-23,NIFTYPSUBANK,3789.3501,3921.3999,3579.55005,3598.6499,77931150,0,Thursday,2012-02-17,4,8,True,True,-169.3501000000001,-4.49,False,True,276.8000500000003,8.42,True,True,1061.34985,40.63,True
2012-03-01,NIFTYPSUBANK,3615.3501,3657.8999,3344.80005,3534.94995,79012133,0,Thursday,2012-02-24,1,9,False,False,-63.69994999999972,-1.77,False,False,-178.59985000000006,-5.01,False,True,1061.34985,40.63,True
2012-03-08,NIFTYPSUBANK,3545.1499,3621.5,3386.25,3433.1499,55043825,0,Thursday,2012-03-02,2,10,True,True,-101.80005000000028,-2.88,False,False,-178.59985000000006,-5.01,False,True,1061.34985,40.63,True
2012-03-15,NIFTYPSUBANK,3474.25,3765.44995,3474.25,3646.1001,66139079,0,Thursday,2012-03-09,3,11,False,False,212.95020000000022,6.2,True,False,-178.59985000000006,-5.01,False,True,1061.34985,40.63,True
