Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2016-04-14,NIFTYPVTBANK,8882.40039,9227.84961,8880.2002,9186.34961,85336320,0,Thursday,2016-04-08,,,False,False,,,False,True,,,False,True,,,False
2016-04-21,NIFTYPVTBANK,9226.5,9466.65039,9050.75,9400.5,155606672,0,Thursday,2016-04-15,,,False,False,214.1503900000007,2.33,True,True,,,False,True,,,False
2016-04-28,NIFTYPVTBANK,9411.5498,9614.25,9349.0,9447.25,326182700,0,Thursday,2016-04-22,,,False,False,46.75,0.5,True,True,,,False,True,,,False
2016-05-05,NIFTYPVTBANK,9443.7998,9532.34961,9169.40039,9207.25,351062484,0,Thursday,2016-04-29,1,,False,False,-240.0,-2.54,False,False,512.5,5.39,True,True,,,False
2016-05-12,NIFTYPVTBANK,9191.84961,9644.0498,9148.0498,9602.90039,258115316,0,Thursday,2016-05-06,2,,True,False,395.6503900000007,4.3,True,False,512.5,5.39,True,True,,,False
2016-05-19,NIFTYPVTBANK,9585.5498,9666.25,9364.2002,9490.7998,214657404,0,Thursday,2016-05-13,3,,False,False,-112.10059000000001,-1.17,False,False,512.5,5.39,True,True,,,False
2016-05-26,NIFTYPVTBANK,9512.34961,9994.34961,9399.90039,9959.34961,232687688,0,Thursday,2016-05-20,4,,True,False,468.5498099999986,4.94,True,False,512.5,5.39,True,True,,,False
2016-06-02,NIFTYPVTBANK,9950.7998,10066.65039,9889.40039,10018.7998,193924644,0,Thursday,2016-05-27,1,,False,False,59.450190000001385,0.6,True,True,123.5996099999993,1.23,True,True,,,False
2016-06-09,NIFTYPVTBANK,10074.2002,10294.4502,10067.0498,10218.09961,257229320,0,Thursday,2016-06-03,2,,True,False,199.29980999999862,1.99,True,True,123.5996099999993,1.23,True,True,,,False
2016-06-16,NIFTYPVTBANK,10180.4502,10307.5498,9930.84961,9995.7998,174021060,0,Thursday,2016-06-10,3,,False,False,-222.29980999999862,-2.18,False,True,123.5996099999993,1.23,True,True,,,False
2016-06-23,NIFTYPVTBANK,10056.25,10111.5,9871.40039,10104.7002,157931284,0,Thursday,2016-06-17,4,,True,False,108.90039999999863,1.09,True,True,123.5996099999993,1.23,True,True,,,False
2016-06-30,NIFTYPVTBANK,9725.65039,10161.34961,9558.0498,10141.59961,213361338,0,Thursday,2016-06-24,5,,False,False,36.89940999999999,0.37,True,True,123.5996099999993,1.23,True,True,,,False
2016-07-07,NIFTYPVTBANK,10188.0498,10253.2998,10160.4502,10219.75,117501510,0,Thursday,2016-07-01,1,,False,False,78.1503900000007,0.77,True,False,574.5507800000014,5.67,True,True,,,False
2016-07-14,NIFTYPVTBANK,10213.5,10677.90039,10131.7998,10670.15039,191298728,0,Thursday,2016-07-08,2,,True,False,450.4003900000007,4.41,True,False,574.5507800000014,5.67,True,True,,,False
2016-07-21,NIFTYPVTBANK,10675.09961,10832.65039,10538.2002,10553.0,178122714,0,Thursday,2016-07-15,3,,False,False,-117.1503900000007,-1.1,False,False,574.5507800000014,5.67,True,True,,,False
2016-07-28,NIFTYPVTBANK,10566.90039,10819.59961,10498.75,10784.4502,242854760,0,Thursday,2016-07-22,4,,True,False,231.4501999999993,2.19,True,False,574.5507800000014,5.67,True,True,,,False
2016-08-04,NIFTYPVTBANK,10769.84961,10790.4502,10382.9502,10449.5498,231173324,0,Thursday,2016-07-29,1,,False,False,-334.9003999999986,-3.11,False,True,393.2998099999986,3.67,True,True,,,False
2016-08-11,NIFTYPVTBANK,10539.2998,10723.7998,10452.5498,10543.2998,166401104,0,Thursday,2016-08-05,2,,True,False,93.75,0.9,True,True,393.2998099999986,3.67,True,True,,,False
2016-08-18,NIFTYPVTBANK,10582.34961,10897.4502,10582.34961,10892.0,156629100,0,Thursday,2016-08-12,3,,False,False,348.7001999999993,3.31,True,True,393.2998099999986,3.67,True,True,,,False
2016-08-25,NIFTYPVTBANK,10906.09961,10919.40039,10786.40039,10824.90039,187930478,0,Thursday,2016-08-19,4,,True,False,-67.0996099999993,-0.62,False,True,393.2998099999986,3.67,True,True,,,False
2016-09-01,NIFTYPVTBANK,10847.15039,11206.25,10729.09961,11129.75,329718470,0,Thursday,2016-08-26,1,,False,False,304.8496099999993,2.82,True,False,-367.4003999999986,-3.31,False,True,,,False
2016-09-08,NIFTYPVTBANK,11156.2002,11584.34961,11125.34961,11440.40039,209101432,0,Thursday,2016-09-02,2,,True,False,310.6503900000007,2.79,True,False,-367.4003999999986,-3.31,False,True,,,False
2016-09-15,NIFTYPVTBANK,11335.40039,11405.90039,11054.0,11113.90039,182598360,0,Thursday,2016-09-09,3,,False,False,-326.5,-2.85,False,False,-367.4003999999986,-3.31,False,True,,,False
2016-09-22,NIFTYPVTBANK,11164.59961,11365.0,11070.5,11256.2002,246371778,0,Thursday,2016-09-16,4,,True,False,142.29980999999862,1.28,True,False,-367.4003999999986,-3.31,False,True,,,False
2016-09-29,NIFTYPVTBANK,11271.7998,11272.25,10628.59961,10696.9502,363869176,0,Thursday,2016-09-23,5,,False,False,-559.25,-4.97,False,False,-367.4003999999986,-3.31,False,True,,,False
2016-10-06,NIFTYPVTBANK,10652.59961,11005.7002,10635.90039,10762.2998,242521460,0,Thursday,2016-09-30,1,,False,False,65.34960000000137,0.61,True,True,195.79980999999862,1.82,True,True,,,False
2016-10-13,NIFTYPVTBANK,10761.9502,10815.2998,10476.5,10542.84961,123170296,0,Thursday,2016-10-07,2,,True,False,-219.45019000000138,-2.04,False,True,195.79980999999862,1.82,True,True,,,False
2016-10-20,NIFTYPVTBANK,10574.4502,11041.4502,10529.25,11002.90039,330302488,0,Thursday,2016-10-14,3,,False,False,460.0507800000014,4.36,True,True,195.79980999999862,1.82,True,True,,,False
2016-10-27,NIFTYPVTBANK,10988.75,11152.84961,10790.2002,10939.7002,374423460,0,Thursday,2016-10-21,4,,True,False,-63.200190000001385,-0.57,False,True,195.79980999999862,1.82,True,True,,,False
2016-11-03,NIFTYPVTBANK,10928.2002,11016.84961,10723.2998,10773.90039,197636918,0,Thursday,2016-10-28,1,,False,False,-165.79980999999862,-1.52,False,False,-647.1992199999986,-5.92,False,True,,,False
2016-11-10,NIFTYPVTBANK,10805.2002,11282.2998,10152.15039,11210.4502,393235048,0,Thursday,2016-11-04,2,,True,False,436.5498099999986,4.05,True,False,-647.1992199999986,-5.92,False,True,,,False
2016-11-17,NIFTYPVTBANK,11115.0,11247.40039,10414.90039,10461.15039,312296304,0,Thursday,2016-11-11,3,,False,False,-749.2998099999986,-6.68,False,False,-647.1992199999986,-5.92,False,True,,,False
2016-11-24,NIFTYPVTBANK,10513.0,10533.75,10018.4502,10040.7002,281875644,0,Thursday,2016-11-18,4,,True,False,-420.4501900000014,-4.02,False,False,-647.1992199999986,-5.92,False,True,,,False
