Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2016-04-01,NIFTYPVTBANK,8882.40039,9614.25,8880.2002,9505.5,661200428,0,Friday,True,,,False,True,,,False
2016-05-01,NIFTYPVTBANK,9390.0,10066.65039,9148.0498,10018.0,1088823352,0,Sunday,False,512.5,5.39,True,True,,,False
2016-06-01,NIFTYPVTBANK,10048.2002,10307.5498,9558.0498,10141.59961,870092450,0,Wednesday,True,123.5996099999993,1.23,True,True,,,False
2016-07-01,NIFTYPVTBANK,10188.0498,10832.65039,10131.7998,10716.15039,771047656,0,Friday,False,574.5507800000014,5.67,True,True,,,False
2016-08-01,NIFTYPVTBANK,10656.7002,11129.2998,10382.9502,11109.4502,987017748,0,Monday,True,393.2998099999986,3.67,True,True,,,False
2016-09-01,NIFTYPVTBANK,11130.4502,11584.34961,10628.59961,10742.0498,1099627682,0,Thursday,False,-367.4003999999986,-3.31,False,True,,,False
2016-10-01,NIFTYPVTBANK,10799.5498,11152.84961,10476.5,10937.84961,1077305954,0,Saturday,True,195.79980999999862,1.82,True,True,,,False
2016-11-01,NIFTYPVTBANK,10977.25,11282.2998,10018.4502,10290.65039,1588436596,0,Tuesday,False,-647.1992199999986,-5.92,False,True,,,False
2016-12-01,NIFTYPVTBANK,10316.34961,10332.7998,9697.9502,10042.7998,855574872,0,Thursday,True,-247.85059,-2.41,False,True,,,False
2017-01-01,NIFTYPVTBANK,10072.0498,10970.7998,9871.5498,10817.7998,1073946640,0,Sunday,False,775.0,7.72,True,False,4096.85059,40.79,True
2017-02-01,NIFTYPVTBANK,10810.9502,11676.0498,10770.15039,11420.75,1178683756,0,Wednesday,True,602.9501999999993,5.57,True,False,4096.85059,40.79,True
2017-03-01,NIFTYPVTBANK,11474.75,11944.2002,11334.2002,11803.15039,1102999242,0,Wednesday,False,382.4003900000007,3.35,True,False,4096.85059,40.79,True
2017-04-01,NIFTYPVTBANK,11858.0498,12332.2998,11785.4502,12308.84961,1518641640,0,Saturday,True,505.6992199999986,4.28,True,False,4096.85059,40.79,True
2017-05-01,NIFTYPVTBANK,12344.7998,13060.15039,12236.40039,13034.2002,2247999740,0,Monday,False,725.35059,5.89,True,False,4096.85059,40.79,True
2017-06-01,NIFTYPVTBANK,13007.7002,13272.75,12853.90039,12990.75,1232873912,0,Thursday,True,-43.45019999999931,-0.33,False,False,4096.85059,40.79,True
2017-07-01,NIFTYPVTBANK,13008.0,13974.09961,12949.0,13927.5,1500493556,0,Saturday,False,936.75,7.21,True,False,4096.85059,40.79,True
2017-08-01,NIFTYPVTBANK,13955.7998,13989.5498,13128.7002,13636.65039,979687532,0,Tuesday,True,-290.8496099999993,-2.09,False,False,4096.85059,40.79,True
2017-09-01,NIFTYPVTBANK,13681.2002,14162.4502,13298.2998,13568.90039,1319602972,0,Friday,False,-67.75,-0.5,False,False,4096.85059,40.79,True
2017-10-01,NIFTYPVTBANK,13658.7002,14102.09961,13485.7002,13809.59961,2194048896,0,Sunday,True,240.6992199999986,1.77,True,False,4096.85059,40.79,True
2017-11-01,NIFTYPVTBANK,13901.34961,14254.75,13842.84961,13927.5498,1563757364,0,Wednesday,False,117.95019000000138,0.85,True,False,4096.85059,40.79,True
2017-12-01,NIFTYPVTBANK,13975.34961,14213.5,13574.59961,14139.65039,1011963944,0,Friday,True,212.10059,1.52,True,False,4096.85059,40.79,True
2018-01-01,NIFTYPVTBANK,14152.09961,15515.34961,13984.5498,15309.25,1989961892,0,Monday,False,1169.5996099999993,8.27,True,True,1152.3496099999993,8.15,True
2018-02-01,NIFTYPVTBANK,15248.59961,15497.4502,13960.2998,14210.0498,1296943804,0,Thursday,True,-1099.2001999999993,-7.18,False,True,1152.3496099999993,8.15,True
2018-03-01,NIFTYPVTBANK,14170.09961,14275.90039,13379.25,13687.90039,1431962932,0,Thursday,False,-522.14941,-3.67,False,True,1152.3496099999993,8.15,True
2018-04-01,NIFTYPVTBANK,13645.2998,14649.09961,13541.15039,14593.34961,1727361948,0,Sunday,True,905.4492199999986,6.61,True,True,1152.3496099999993,8.15,True
2018-05-01,NIFTYPVTBANK,14647.4502,15456.5,14562.40039,15255.25,2049297244,0,Tuesday,False,661.9003900000007,4.54,True,True,1152.3496099999993,8.15,True
2018-06-01,NIFTYPVTBANK,15262.2998,15303.75,14807.0,14961.75,1648430224,0,Friday,True,-293.5,-1.92,False,True,1152.3496099999993,8.15,True
2018-07-01,NIFTYPVTBANK,14962.7998,15684.0498,14824.4502,15613.4502,2014687856,0,Sunday,False,651.7001999999993,4.36,True,True,1152.3496099999993,8.15,True
2018-08-01,NIFTYPVTBANK,15576.90039,16152.15039,15368.2998,15933.2002,2111389440,0,Wednesday,True,319.75,2.05,True,True,1152.3496099999993,8.15,True
2018-09-01,NIFTYPVTBANK,16005.4502,16008.34961,13967.4502,14151.0498,2503809280,0,Saturday,False,-1782.1503999999986,-11.19,False,True,1152.3496099999993,8.15,True
2018-10-01,NIFTYPVTBANK,14006.65039,14693.25,13607.59961,14206.65039,3416088184,0,Monday,True,55.60059000000001,0.39,True,True,1152.3496099999993,8.15,True
2018-11-01,NIFTYPVTBANK,14263.9502,15239.15039,14183.5,15154.4502,2909168270,0,Thursday,False,947.7998099999986,6.67,True,True,1152.3496099999993,8.15,True
2018-12-01,NIFTYPVTBANK,15267.75,15424.0,14398.59961,15292.0,2630709880,0,Saturday,True,137.5498000000007,0.91,True,True,1152.3496099999993,8.15,True
2019-01-01,NIFTYPVTBANK,15324.40039,15687.2998,14955.0,15495.09961,3359427272,0,Tuesday,False,203.0996099999993,1.33,True,False,2475.599610000001,16.19,True
2019-02-01,NIFTYPVTBANK,15503.0,15648.9502,15199.09961,15291.34961,2699484056,0,Friday,True,-203.75,-1.31,False,False,2475.599610000001,16.19,True
2019-03-01,NIFTYPVTBANK,15382.25,17370.5,15370.84961,17315.55078,2613443488,0,Friday,False,2024.201170000002,13.24,True,False,2475.599610000001,16.19,True
2019-04-01,NIFTYPVTBANK,17377.15039,17498.15039,16707.94922,16807.40039,1875864532,0,Monday,True,-508.1503900000025,-2.93,False,False,2475.599610000001,16.19,True
2019-05-01,NIFTYPVTBANK,16768.0,17750.40039,15939.75,17522.19922,3393600712,0,Wednesday,False,714.7988299999997,4.25,True,False,2475.599610000001,16.19,True
