Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2007-01-04,NIFTYREALTY,1000.0,1062.1,1000.0,1062.1,0,0,Thursday,2006-12-29,,,False,False,,,False,False,-41.33000000000004,-4.13,False,False,731.8,73.18,True
2007-01-11,NIFTYREALTY,1047.5,1047.5,936.75,961.59,0,0,Thursday,2007-01-05,,,False,False,-100.50999999999988,-9.46,False,False,-41.33000000000004,-4.13,False,False,731.8,73.18,True
2007-01-18,NIFTYREALTY,947.06,1009.0,943.09,1009.0,0,0,Thursday,2007-01-12,,,False,False,47.40999999999997,4.93,True,False,-41.33000000000004,-4.13,False,False,731.8,73.18,True
2007-01-25,NIFTYREALTY,982.65,993.04,965.02,974.93,0,0,Thursday,2007-01-19,,,False,False,-34.07000000000005,-3.38,False,False,-41.33000000000004,-4.13,False,False,731.8,73.18,True
2007-02-01,NIFTYREALTY,961.25,961.25,951.29,951.29,0,0,Thursday,2007-01-26,1,,False,False,-23.639999999999986,-2.42,False,True,-211.53999999999996,-22.07,False,False,731.8,73.18,True
2007-02-08,NIFTYREALTY,953.53,969.13,947.56,955.21,0,0,Thursday,2007-02-02,2,,True,False,3.9200000000000728,0.41,True,True,-211.53999999999996,-22.07,False,False,731.8,73.18,True
2007-02-15,NIFTYREALTY,932.94,932.94,783.97,818.72,0,0,Thursday,2007-02-09,3,,False,False,-136.49,-14.29,False,True,-211.53999999999996,-22.07,False,False,731.8,73.18,True
2007-02-22,NIFTYREALTY,829.37,836.68,806.99,806.99,0,0,Thursday,2007-02-16,4,,True,False,-11.730000000000018,-1.43,False,True,-211.53999999999996,-22.07,False,False,731.8,73.18,True
2007-03-01,NIFTYREALTY,775.92,786.67,736.64,736.64,0,0,Thursday,2007-02-23,1,,False,False,-70.35000000000002,-8.72,False,False,8.039999999999964,1.08,True,False,731.8,73.18,True
2007-03-08,NIFTYREALTY,718.86,718.86,682.43,699.7,0,0,Thursday,2007-03-02,2,,True,False,-36.93999999999994,-5.01,False,False,8.039999999999964,1.08,True,False,731.8,73.18,True
2007-03-15,NIFTYREALTY,695.67,809.28,695.67,809.28,0,0,Thursday,2007-03-09,3,,False,False,109.57999999999993,15.66,True,False,8.039999999999964,1.08,True,False,731.8,73.18,True
2007-03-22,NIFTYREALTY,812.75,812.75,793.31,798.13,0,0,Thursday,2007-03-16,4,,True,False,-11.149999999999977,-1.38,False,False,8.039999999999964,1.08,True,False,731.8,73.18,True
2007-03-29,NIFTYREALTY,773.68,773.68,746.83,760.77,0,0,Thursday,2007-03-23,5,,False,False,-37.360000000000014,-4.68,False,False,8.039999999999964,1.08,True,False,731.8,73.18,True
2007-04-05,NIFTYREALTY,755.17,755.17,684.05,687.89,0,0,Thursday,2007-03-30,1,,False,False,-72.88,-9.58,False,True,81.49000000000001,10.79,True,False,731.8,73.18,True
2007-04-12,NIFTYREALTY,718.71,723.61,696.78,696.78,0,0,Thursday,2007-04-06,2,,True,False,8.889999999999986,1.29,True,True,81.49000000000001,10.79,True,False,731.8,73.18,True
2007-04-19,NIFTYREALTY,720.65,734.3,710.38,734.3,0,0,Thursday,2007-04-13,3,,False,False,37.51999999999998,5.38,True,True,81.49000000000001,10.79,True,False,731.8,73.18,True
2007-04-26,NIFTYREALTY,776.24,881.96,776.24,872.86,0,0,Thursday,2007-04-20,4,,True,False,138.56000000000006,18.87,True,True,81.49000000000001,10.79,True,False,731.8,73.18,True
2007-05-03,NIFTYREALTY,840.93,840.93,832.47,832.47,0,0,Thursday,2007-04-27,1,,False,False,-40.389999999999986,-4.63,False,False,172.74,20.65,True,False,731.8,73.18,True
