Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2004-01-12,NIFTYSMALLCAP,986.77,1003.9,964.29,964.29,0,0,Monday,,,False,False,,,False,False,,,False,True,,,False
2004-01-19,NIFTYSMALLCAP,963.5,963.5,849.48,895.59,0,0,Monday,,,False,False,-68.69999999999993,-7.12,False,False,,,False,True,,,False
2004-01-26,NIFTYSMALLCAP,922.94,922.94,874.16,874.16,0,0,Monday,,,False,False,-21.430000000000064,-2.39,False,False,,,False,True,,,False
2004-02-02,NIFTYSMALLCAP,821.16,837.71,821.16,837.71,0,0,Monday,1,,False,False,-36.44999999999993,-4.17,False,True,-42.10000000000002,-4.82,False,True,,,False
2004-02-09,NIFTYSMALLCAP,858.19,886.71,858.19,886.71,0,0,Monday,2,,True,False,49.0,5.85,True,True,-42.10000000000002,-4.82,False,True,,,False
2004-02-16,NIFTYSMALLCAP,902.73,902.73,866.72,866.72,0,0,Monday,3,,False,False,-19.99000000000001,-2.25,False,True,-42.10000000000002,-4.82,False,True,,,False
2004-02-23,NIFTYSMALLCAP,848.67,851.57,832.06,832.06,0,0,Monday,4,,True,False,-34.66000000000008,-4.0,False,True,-42.10000000000002,-4.82,False,True,,,False
2004-03-01,NIFTYSMALLCAP,846.25,847.47,841.67,847.47,0,0,Monday,1,,False,False,15.410000000000082,1.85,True,False,-14.089999999999918,-1.69,False,True,,,False
2004-03-08,NIFTYSMALLCAP,855.65,855.65,830.6,830.6,0,0,Monday,2,,True,False,-16.870000000000005,-1.99,False,False,-14.089999999999918,-1.69,False,True,,,False
2004-03-15,NIFTYSMALLCAP,811.96,811.96,781.43,781.43,0,0,Monday,3,,False,False,-49.17000000000007,-5.92,False,False,-14.089999999999918,-1.69,False,True,,,False
2004-03-22,NIFTYSMALLCAP,752.06,780.97,744.51,780.97,0,0,Monday,4,,True,False,-0.4599999999999227,-0.06,False,False,-14.089999999999918,-1.69,False,True,,,False
2004-03-29,NIFTYSMALLCAP,793.91,853.09,793.91,853.09,0,0,Monday,5,,False,False,72.12,9.23,True,False,-14.089999999999918,-1.69,False,True,,,False
2004-04-05,NIFTYSMALLCAP,863.83,863.83,853.11,859.9,0,0,Monday,1,,False,False,6.809999999999945,0.8,True,True,72.91999999999996,8.91,True,True,,,False
2004-04-12,NIFTYSMALLCAP,866.3,913.83,866.3,913.83,0,0,Monday,2,,True,False,53.930000000000064,6.27,True,True,72.91999999999996,8.91,True,True,,,False
2004-04-19,NIFTYSMALLCAP,898.95,929.19,894.64,929.19,0,0,Monday,3,,False,False,15.360000000000014,1.68,True,True,72.91999999999996,8.91,True,True,,,False
2004-04-26,NIFTYSMALLCAP,883.22,893.29,883.22,890.89,0,0,Monday,4,,True,False,-38.30000000000007,-4.12,False,True,72.91999999999996,8.91,True,True,,,False
2004-05-03,NIFTYSMALLCAP,870.49,922.81,870.49,913.68,0,0,Monday,1,,False,False,22.789999999999964,2.56,True,False,-116.43999999999994,-13.07,False,True,,,False
2004-05-10,NIFTYSMALLCAP,901.07,901.07,808.44,808.44,0,0,Monday,2,,True,False,-105.2399999999999,-11.52,False,False,-116.43999999999994,-13.07,False,True,,,False
2004-05-17,NIFTYSMALLCAP,718.8,813.02,718.8,807.75,0,0,Monday,3,,False,False,-0.6900000000000546,-0.09,False,False,-116.43999999999994,-13.07,False,True,,,False
2004-05-24,NIFTYSMALLCAP,837.06,839.46,801.0,801.0,0,0,Monday,4,,True,False,-6.75,-0.84,False,False,-116.43999999999994,-13.07,False,True,,,False
2004-05-31,NIFTYSMALLCAP,774.45,787.18,774.45,776.34,0,0,Monday,5,,False,False,-24.659999999999968,-3.08,False,False,-116.43999999999994,-13.07,False,True,,,False
2004-06-07,NIFTYSMALLCAP,785.15,798.16,785.15,792.02,0,0,Monday,1,,False,False,15.67999999999995,2.02,True,True,12.019999999999982,1.55,True,True,,,False
2004-06-14,NIFTYSMALLCAP,771.01,780.08,771.01,778.25,0,0,Monday,2,,True,False,-13.769999999999982,-1.74,False,True,12.019999999999982,1.55,True,True,,,False
2004-06-21,NIFTYSMALLCAP,770.41,770.41,742.77,759.67,0,0,Monday,3,,False,False,-18.58000000000004,-2.39,False,True,12.019999999999982,1.55,True,True,,,False
2004-06-28,NIFTYSMALLCAP,780.09,799.97,780.09,799.97,0,0,Monday,4,,True,False,40.30000000000007,5.3,True,True,12.019999999999982,1.55,True,True,,,False
2004-07-05,NIFTYSMALLCAP,795.34,804.74,776.74,794.73,0,0,Monday,1,,False,False,-5.240000000000009,-0.66,False,False,85.75,10.9,True,True,,,False
2004-07-12,NIFTYSMALLCAP,805.79,848.52,803.08,848.52,0,0,Monday,2,,True,False,53.789999999999964,6.77,True,False,85.75,10.9,True,True,,,False
2004-07-19,NIFTYSMALLCAP,859.84,870.55,852.43,870.55,0,0,Monday,3,,False,False,22.029999999999973,2.6,True,False,85.75,10.9,True,True,,,False
2004-07-26,NIFTYSMALLCAP,871.64,872.22,859.0,872.22,0,0,Monday,4,,True,False,1.6700000000000728,0.19,True,False,85.75,10.9,True,True,,,False
2004-08-02,NIFTYSMALLCAP,873.57,897.92,873.57,893.72,0,0,Monday,1,,False,False,21.5,2.46,True,True,104.99000000000001,12.04,True,True,,,False
2004-08-09,NIFTYSMALLCAP,897.25,907.13,879.19,893.49,0,0,Monday,2,,True,False,-0.2300000000000182,-0.03,False,True,104.99000000000001,12.04,True,True,,,False
2004-08-16,NIFTYSMALLCAP,897.58,915.36,897.58,909.31,0,0,Monday,3,,False,False,15.819999999999936,1.77,True,True,104.99000000000001,12.04,True,True,,,False
2004-08-23,NIFTYSMALLCAP,902.09,943.62,902.09,943.62,0,0,Monday,4,,True,False,34.31000000000006,3.77,True,True,104.99000000000001,12.04,True,True,,,False
2004-08-30,NIFTYSMALLCAP,971.69,985.48,971.69,982.51,0,0,Monday,5,,False,False,38.889999999999986,4.12,True,True,104.99000000000001,12.04,True,True,,,False
2004-09-06,NIFTYSMALLCAP,997.92,1011.7,997.07,1007.2,0,0,Monday,1,,False,False,24.690000000000055,2.51,True,False,61.289999999999964,6.27,True,True,,,False
2004-09-13,NIFTYSMALLCAP,1010.7,1015.5,1000.6,1015.5,0,0,Monday,2,,True,False,8.299999999999955,0.82,True,False,61.289999999999964,6.27,True,True,,,False
2004-09-20,NIFTYSMALLCAP,1014.7,1028.8,1014.7,1028.8,0,0,Monday,3,,False,False,13.299999999999955,1.31,True,False,61.289999999999964,6.27,True,True,,,False
2004-09-27,NIFTYSMALLCAP,1029.7,1043.0,1023.0,1043.0,0,0,Monday,4,,True,False,14.200000000000045,1.38,True,False,61.289999999999964,6.27,True,True,,,False
